timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
21:25:17,86.12,0.00,2.41,4.93,0.00,6.54,309.80,0.00,5729.60,18.49,0.14,0.46,0.39,12.16,309.80,0.00,309.80,0.00,5729.60,2,683,2.91,2.85,3.00,0,1638744,14518084,89.86,116288,11475292,4461944,27.62,3721576,10329524,2332,lo,5.40,5.40,0.67,0.67,0.00,0.00,0.00,0.00,0.00,2792.80,9835.60,0.00,1061.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.40,5178.20
21:25:22,79.74,0.00,4.01,0.10,0.00,16.15,34.40,0.00,545.60,15.86,0.01,0.37,0.33,1.12,34.40,0.00,34.40,0.00,545.60,2,711,2.84,2.84,2.99,0,1418540,14738288,91.22,116348,11510364,4985432,30.86,3908816,10362024,36620,lo,305.40,305.40,6965.57,6965.57,0.00,0.00,0.00,0.00,0.00,344.80,10328.80,0.00,1375.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.60,4015.40
21:25:27,67.10,0.00,3.30,0.10,0.00,29.50,3.40,0.00,139.20,40.94,0.00,0.47,0.24,0.08,3.40,0.00,3.40,0.00,139.20,4,806,2.77,2.82,2.98,0,1129500,15027328,93.01,116352,11510868,5777908,35.76,4194000,10362372,37388,lo,48.60,48.60,56.19,56.19,0.00,0.00,0.00,0.00,0.00,69.60,16241.20,0.00,1660.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.80,4470.60
21:25:32,96.09,0.00,3.81,0.00,0.00,0.10,3.80,0.00,251.20,66.11,0.00,0.42,0.42,0.16,3.80,0.00,3.80,0.00,251.20,5,827,2.87,2.84,2.99,0,876288,15280540,94.58,116356,11513020,5761624,35.66,4444472,10363152,39236,lo,129.40,129.40,2115.23,2115.23,0.00,0.00,0.00,0.00,0.00,125.60,13400.00,0.00,917.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.60,5903.60
21:25:37,90.67,0.00,3.71,0.00,0.00,5.62,12.20,0.00,177.60,14.56,0.01,0.46,0.26,0.32,12.20,0.00,12.20,0.00,177.60,0,774,3.04,2.88,3.00,0,1119428,15037400,93.07,116364,11560432,5282444,32.69,4158148,10408068,86512,lo,606.20,606.20,17493.92,17493.92,0.00,0.00,0.00,0.00,0.00,88.80,2347.60,0.00,18176.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,4770.00
21:25:42,90.38,0.00,3.71,0.00,0.00,5.91,3.20,0.00,260.80,81.50,0.00,0.25,0.25,0.08,3.20,0.00,3.20,0.00,260.80,5,828,3.12,2.90,3.01,0,851636,15305192,94.73,116368,11561132,5753224,35.61,4424496,10408556,86888,lo,65.00,65.00,371.56,371.56,0.00,0.00,0.00,0.00,0.00,130.40,15255.40,0.00,1526.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.80,6402.60
21:25:47,96.10,0.00,3.80,0.00,0.00,0.10,21.80,0.00,470.40,21.58,0.01,0.66,0.11,0.24,21.80,0.00,21.80,0.00,470.40,5,830,3.19,2.92,3.01,0,762872,15393956,95.28,116372,11605160,5784912,35.80,4471028,10449956,129856,lo,600.20,600.20,17891.14,17891.14,0.00,0.00,0.00,0.00,0.00,235.20,2693.20,0.00,1566.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.20,4421.40
21:25:52,91.83,0.00,4.44,0.00,0.00,3.73,61.80,0.00,7092.80,114.77,2.36,38.27,0.38,2.32,61.80,0.00,61.80,0.00,7092.80,5,829,3.25,2.94,3.02,0,816364,15340464,94.95,116372,11610712,5807084,35.94,4413044,10455240,118416,lo,121.20,121.20,1637.88,1637.88,0.00,0.00,0.00,0.00,0.00,3545.60,14667.00,0.00,17465.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,5474.40
21:25:57,95.40,0.00,4.40,0.00,0.00,0.20,46.40,0.00,7323.20,157.83,2.03,43.81,0.48,2.24,46.40,0.00,46.40,0.00,7323.20,4,827,3.47,2.99,3.03,0,829800,15327028,94.86,116376,11645984,5786072,35.81,4366064,10488552,135768,lo,516.00,516.00,14596.00,14596.00,0.00,0.00,0.00,0.00,0.00,3662.40,6440.80,0.00,9651.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.80,5228.20
21:26:02,94.90,0.00,4.20,0.00,0.00,0.90,4.00,0.00,179.20,44.80,0.00,0.40,0.40,0.16,4.00,0.00,4.00,0.00,179.20,7,827,3.51,3.00,3.04,0,768984,15387844,95.24,116388,11660156,5769840,35.71,4413520,10501848,149920,lo,223.00,223.00,4941.89,4941.89,0.00,0.00,0.00,0.00,0.00,89.60,12231.60,0.00,10125.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,5864.60
21:26:07,95.19,0.00,4.21,0.00,0.00,0.60,37.40,0.00,19995.20,534.63,4.71,125.90,1.80,6.72,37.40,0.00,37.40,0.00,19995.20,2,810,3.55,3.02,3.04,0,823508,15333320,94.90,116396,11699840,5551280,34.36,4321632,10539176,139924,lo,564.60,564.60,16309.30,16309.30,0.00,0.00,0.00,0.00,0.00,9997.60,3044.20,0.00,8782.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.60,2842.40
21:26:12,16.20,0.00,1.31,0.10,0.00,82.39,15.20,0.00,233.60,15.37,0.01,0.37,0.26,0.40,15.20,0.00,15.20,0.00,233.60,0,695,3.27,2.97,3.03,0,1350864,14805964,91.64,116404,11691632,4737448,29.32,3805788,10531600,149328,lo,164.80,164.80,2897.87,2897.87,0.00,0.00,0.00,0.00,0.00,116.80,821.20,0.00,27770.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.80,2985.20
21:26:17,28.96,0.00,3.13,0.91,0.00,67.00,38.60,0.00,19910.40,515.81,6.58,170.42,2.16,8.32,38.60,0.00,38.60,0.00,19910.40,2,673,3.01,2.92,3.01,0,1727948,14428880,89.31,116416,11674084,4308020,26.66,3447284,10516924,100080,lo,25.80,25.80,81.34,81.34,0.00,0.00,0.00,0.00,0.00,9955.20,9784.40,0.00,28088.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.40,3813.00
