timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:45:37,30.85,0.00,2.41,10.65,0.00,56.08,63.00,102.40,29100.80,463.54,11.89,265.33,2.20,13.84,64.80,0.80,64.00,102.40,30907.20,0,704,4.01,3.33,2.91,0,1129472,15027356,93.01,85024,11828820,5153804,31.90,3828672,10753156,391708,lo,70.80,70.80,159.69,159.69,0.00,0.00,0.00,0.00,0.00,7459.20,10562.40,0.00,13104.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.40,5145.20
20:45:42,70.95,0.00,9.95,0.10,0.00,18.99,5.60,0.00,292.80,52.29,0.00,0.29,0.29,0.16,5.60,0.00,5.60,0.00,292.80,3,720,3.69,3.27,2.89,0,5670584,10486244,64.90,85032,7605656,4801236,29.72,3368548,6723552,2344,lo,33.00,33.00,187.89,187.89,0.00,0.00,0.00,0.00,0.00,146.40,21420.60,0.00,248098.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.40,7789.00
20:45:47,83.20,0.00,5.33,4.23,0.00,7.24,132.80,160.00,30758.40,232.82,12.66,95.37,0.87,11.60,132.80,1.80,131.00,160.00,30758.40,2,743,3.63,3.27,2.89,0,5085124,11071704,68.53,85036,7759456,5164976,31.97,3876240,6799696,79068,lo,435.60,435.60,15356.83,15356.83,0.00,0.00,0.00,0.00,80.00,15379.20,22586.00,0.00,3447.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,7142.60
20:45:52,88.43,0.00,7.55,0.10,0.00,3.92,1.00,0.00,38.40,38.40,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,38.40,3,753,3.50,3.24,2.89,0,4996440,11160388,69.08,85040,7759464,5300960,32.81,3964476,6799604,79100,lo,5984.20,5984.20,219257.28,219257.28,0.00,0.00,0.00,0.00,0.00,19.20,5150.80,0.00,1237.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.60,4553.00
20:45:57,89.58,0.00,9.72,0.00,0.00,0.70,17.60,0.00,512.00,29.09,0.01,0.50,0.05,0.08,17.60,0.00,17.60,0.00,512.00,2,753,3.46,3.24,2.89,0,4670188,11486640,71.09,85044,8083012,5300960,32.81,3977372,7113592,401960,lo,3310.80,3310.80,121715.26,121715.26,0.00,0.00,0.00,0.00,0.00,256.00,1684.00,0.00,15250.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.60,4459.80
20:46:02,89.87,0.00,9.33,0.00,0.00,0.80,2.00,0.00,113.60,56.80,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,113.60,2,750,3.35,3.22,2.88,0,4310096,11846732,73.32,85044,8426540,5300960,32.81,4006912,7442760,745560,lo,3506.80,3506.80,129858.40,129858.40,0.00,0.00,0.00,0.00,0.00,56.80,1695.40,0.00,14667.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.80,4252.40
20:46:07,90.08,0.00,9.62,0.00,0.00,0.30,1.40,0.00,96.00,68.57,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,96.00,3,750,3.24,3.20,2.88,0,4000396,12156432,75.24,85052,8739024,5300960,32.81,4010472,7747956,1058072,lo,3150.40,3150.40,117465.54,117465.54,0.00,0.00,0.00,0.00,0.00,48.00,973.20,0.00,14828.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.40,4259.40
20:46:12,87.40,0.00,12.10,0.10,0.00,0.40,247.00,0.00,55619.20,225.18,25.77,94.80,0.98,24.32,247.00,0.00,247.00,0.00,55619.20,2,750,3.14,3.18,2.87,1,3660584,12496244,77.34,85060,9077352,5300960,32.81,3990788,8107404,1246536,lo,3491.20,3491.20,128674.42,128674.42,0.00,0.00,0.00,0.00,0.00,30062.40,1441.00,0.00,21787.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.60,5227.00
20:46:17,85.46,0.00,12.24,1.10,0.00,1.20,970.00,0.00,216678.40,223.38,115.39,119.28,0.99,95.68,970.00,0.00,970.00,0.00,216678.40,2,750,3.21,3.19,2.88,2,3293212,12863616,79.62,85064,9442392,5300960,32.81,4011632,8452600,1067372,lo,3703.80,3703.80,137455.56,137455.56,0.00,0.00,0.00,0.00,0.00,108818.40,978.60,0.00,14746.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2617.80
20:46:22,92.69,0.00,5.01,0.90,0.00,1.40,947.60,0.00,214291.20,226.14,116.32,124.90,1.00,94.80,947.60,0.00,947.60,0.00,214291.20,3,748,3.27,3.20,2.89,0,2978632,13178196,81.56,85088,9495220,5406112,33.46,4317032,8461792,599068,lo,192.80,192.80,6595.86,6595.86,0.00,0.00,0.00,0.00,0.00,104413.60,14234.20,0.00,7397.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2091.40
20:46:27,94.59,0.00,1.80,0.00,0.00,3.61,0.60,0.00,40.00,66.67,0.00,2.67,1.33,0.08,0.60,0.00,0.60,0.00,40.00,1,747,3.25,3.20,2.89,0,2851936,13304892,82.35,85092,9618496,5406112,33.46,4469488,8435712,722380,lo,5.60,5.60,0.91,0.91,0.00,0.00,0.00,0.00,0.00,0.00,223.60,0.00,40.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2010.60
20:46:32,85.57,0.00,1.70,0.00,0.00,12.73,0.60,0.00,36.80,61.33,0.00,2.67,1.33,0.08,0.60,0.00,0.60,0.00,36.80,1,742,3.07,3.16,2.88,0,2732448,13424380,83.09,85096,9737272,5406112,33.46,4617700,8406528,841168,lo,5.40,5.40,1.46,1.46,0.00,0.00,0.00,0.00,0.00,20.00,27.60,0.00,48.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2000.00
20:46:37,90.47,0.00,1.71,0.00,0.00,7.82,0.60,0.00,36.80,61.33,0.00,2.67,1.33,0.08,0.60,0.00,0.60,0.00,36.80,2,742,2.90,3.13,2.87,0,2579476,13577352,84.03,85096,9887012,5406112,33.46,4774676,8400776,990916,lo,3.60,3.60,0.49,0.49,0.00,0.00,0.00,0.00,0.00,18.40,88.20,0.00,24.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.40,5615.40
20:46:42,92.37,0.00,3.01,0.80,0.00,3.82,70.40,0.00,17993.60,255.59,8.46,102.03,0.98,6.88,70.40,0.00,70.40,0.00,17993.60,2,740,2.83,3.11,2.86,11,2416860,13739968,85.04,85100,10043440,5406112,33.46,4925344,8408188,1089772,lo,425.20,425.20,13022.26,13022.26,0.00,0.00,0.00,0.00,0.00,11543.20,150.80,0.00,1693.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.40,16663.00
20:46:47,82.68,0.00,11.38,4.83,0.00,1.11,535.20,0.00,127198.40,237.67,57.07,105.96,1.02,54.48,529.00,0.00,529.00,0.00,125731.20,3,741,3.64,3.27,2.92,9,2014468,14142360,87.53,85104,10484808,5406112,33.46,5080868,8643088,1217828,lo,2840.00,2840.00,88539.91,88539.91,0.00,0.00,0.00,0.00,0.00,62735.20,81.80,0.00,14204.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.40,11691.40
20:46:52,54.94,0.00,9.98,27.72,0.00,7.36,386.60,0.00,220096.00,569.31,119.45,293.30,2.53,97.76,392.20,0.00,392.20,0.00,221099.20,0,739,3.51,3.25,2.91,3,1825576,14331252,88.70,85108,10629096,5406112,33.46,5075008,8826868,970768,lo,2264.60,2264.60,70962.95,70962.95,0.00,0.00,0.00,0.00,0.00,120497.60,1753.00,0.00,19933.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.40,5691.20
