timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:45:27,48.06,0.00,2.07,2.87,0.00,47.00,411.80,8289.60,6489.60,35.89,0.44,1.08,0.36,14.72,409.80,218.00,191.80,8289.60,6454.40,3,732,3.36,3.51,3.02,1,14731684,17681896,54.55,100776,14119112,5465740,16.86,4154668,12960372,185808,lo,24.20,24.20,92.65,92.65,0.00,0.00,0.00,0.00,4144.80,3244.80,23866.80,18.40,43389.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.20,5324.40
20:45:32,50.68,0.00,1.36,2.07,0.00,45.89,304.40,6452.80,3060.80,31.25,0.13,0.41,0.33,9.92,306.40,125.60,180.80,6452.80,3096.00,0,738,3.33,3.50,3.02,0,14585264,17828316,55.00,102000,14153732,5660340,17.46,4274444,12986524,203480,lo,180.20,180.20,3487.40,3487.40,0.00,0.00,0.00,0.00,3226.40,1530.40,6592.60,0.00,1648.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.80,5268.20
20:45:37,44.93,0.00,1.96,0.10,0.00,53.01,50.20,0.00,18689.60,372.30,6.51,129.67,1.67,8.40,50.20,0.00,50.20,0.00,18689.60,0,827,3.14,3.46,3.01,0,14153136,18260444,56.34,102012,14171904,6432576,19.85,4686456,13003016,175216,lo,175.20,175.20,3530.64,3530.64,0.00,0.00,0.00,0.00,0.00,9344.80,22369.60,0.00,1710.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.60,3586.80
20:45:42,84.69,0.00,2.87,0.00,0.00,12.44,45.60,0.00,18520.00,406.14,5.05,110.79,1.81,8.24,45.60,0.00,45.60,0.00,18520.00,8,887,3.13,3.45,3.01,0,13522676,18890904,58.28,102024,14172692,7108856,21.93,5314112,13002220,130028,lo,185.00,185.00,4254.63,4254.63,0.00,0.00,0.00,0.00,0.00,9260.00,33590.00,0.00,1670.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.80,5448.80
20:45:47,94.41,0.00,0.96,0.00,0.00,4.63,49.40,0.00,18355.20,371.56,5.55,112.26,1.64,8.08,49.40,0.00,49.40,0.00,18355.20,5,881,3.44,3.51,3.03,0,13493704,18919876,58.37,102032,14176632,7108856,21.93,5341812,13002220,88172,lo,196.60,196.60,5310.63,5310.63,0.00,0.00,0.00,0.00,0.00,9177.60,1945.60,0.00,542.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.20,5340.60
20:45:52,87.46,0.00,3.37,0.05,0.00,9.11,35.20,0.00,18732.80,532.18,6.00,170.43,2.34,8.24,35.20,0.00,35.20,0.00,18732.80,7,889,3.49,3.52,3.03,0,13489540,18924040,58.38,102044,14181540,7102408,21.91,5346576,13002272,46604,lo,191.20,191.20,3895.08,3895.08,0.00,0.00,0.00,0.00,0.00,9366.40,35771.80,0.00,35173.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.20,5565.40
20:45:57,94.67,0.00,0.91,0.00,0.00,4.43,4.00,0.00,152.00,38.00,0.00,0.20,0.20,0.08,4.00,0.00,4.00,0.00,152.00,5,887,3.69,3.56,3.05,0,13467936,18945644,58.45,102052,14185484,7102408,21.91,5368016,13002272,50320,lo,204.20,204.20,5644.54,5644.54,0.00,0.00,0.00,0.00,0.00,76.00,2032.60,0.00,1097.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.80,5060.60
20:46:02,80.44,0.00,2.87,0.00,0.00,16.68,20.60,0.00,683.20,33.17,0.02,0.74,0.08,0.16,20.60,0.00,20.60,0.00,683.20,10,892,3.47,3.52,3.04,0,13565036,18848544,58.15,102064,14190252,7105204,21.92,5271720,13002296,53860,lo,183.20,183.20,3516.03,3516.03,0.00,0.00,0.00,0.00,0.00,341.60,30414.20,0.00,35000.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.80,5403.00
20:46:07,91.84,0.00,1.41,0.00,0.00,6.75,70.00,0.00,14094.40,201.35,5.91,84.41,0.88,6.16,70.00,0.00,70.00,0.00,14094.40,4,881,4.00,3.63,3.08,0,13755740,18657840,57.56,102072,14194304,7049216,21.75,5082028,13002056,23056,lo,220.40,220.40,6047.60,6047.60,0.00,0.00,0.00,0.00,0.00,7047.20,6903.80,0.00,16407.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,5400.60
20:46:12,76.71,0.00,2.38,0.00,0.00,20.91,6.60,0.00,1572.80,238.30,0.02,3.27,0.48,0.32,6.60,0.00,6.60,0.00,1572.80,4,899,4.08,3.65,3.09,0,13668824,18744756,57.83,102084,14199068,7068480,21.81,5164096,13005568,24248,lo,198.20,198.20,4530.42,4530.42,0.00,0.00,0.00,0.00,0.00,786.40,21178.60,0.00,16679.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.20,4526.00
