timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:15:48,52.56,0.00,1.65,1.25,0.00,44.53,151.00,0.00,2616.00,17.32,0.06,0.40,0.37,5.52,151.00,0.00,151.00,0.00,2616.00,2,766,3.65,3.50,3.27,0,14915472,17498108,53.98,82964,13964920,6180760,19.07,4299372,12646348,37104,lo,306.20,306.20,6966.50,6966.50,0.00,0.00,0.00,0.00,0.00,1308.00,8781.20,0.00,1516.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.40,5519.60
11:15:53,44.60,0.00,1.71,0.00,0.00,53.69,5.00,0.00,158.40,31.68,0.00,0.32,0.16,0.08,5.00,0.00,5.00,0.00,158.40,2,852,3.44,3.46,3.25,0,14511080,17902500,55.23,82972,13965404,6865980,21.18,4700420,12646460,37628,lo,49.80,49.80,56.40,56.40,0.00,0.00,0.00,0.00,0.00,79.20,21203.80,0.00,848.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.20,4443.40
11:15:58,89.82,0.00,3.02,0.00,0.00,7.15,3.20,0.00,105.60,33.00,0.00,0.25,0.25,0.08,3.20,0.00,3.20,0.00,105.60,2,896,3.64,3.50,3.27,0,14118988,18294592,56.44,82980,13984644,6941848,21.42,5074244,12662968,56948,lo,356.80,356.80,9289.48,9289.48,0.00,0.00,0.00,0.00,0.00,52.80,20253.00,0.00,2020.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.80,7236.00
11:16:03,62.91,0.00,3.77,0.00,0.00,33.32,3.40,0.00,248.00,72.94,0.00,0.00,0.00,0.00,3.40,0.00,3.40,0.00,248.00,4,893,3.67,3.51,3.27,0,13938984,18474596,57.00,82984,14168268,6941848,21.42,5077288,12836932,240104,lo,2273.80,2273.80,71157.77,71157.77,0.00,0.00,0.00,0.00,0.00,124.00,334.60,0.00,5400.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,10655.00
11:16:08,71.06,0.00,3.13,0.05,0.00,25.76,4.80,0.00,108.80,22.67,0.00,0.83,0.67,0.32,4.80,0.00,4.80,0.00,108.80,6,880,3.78,3.54,3.28,0,13975868,18437712,56.88,82996,14250540,6939136,21.41,4961116,12914576,322400,lo,1067.20,1067.20,31340.55,31340.55,0.00,0.00,0.00,0.00,0.00,54.40,15476.00,0.00,23327.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.80,7803.40
11:16:13,84.99,0.00,2.56,0.00,0.00,12.45,17.00,0.00,606.40,35.67,0.01,0.71,0.09,0.16,17.00,0.00,17.00,0.00,606.40,2,900,4.44,3.68,3.33,0,13719028,18694552,57.68,83008,14329016,7001872,21.60,5140104,12988568,399716,lo,1080.40,1080.40,32720.65,32720.65,0.00,0.00,0.00,0.00,0.00,303.20,10984.40,0.00,4251.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,8956.60
11:16:18,68.26,0.00,3.47,0.00,0.00,28.27,3.80,0.00,288.00,75.79,0.00,0.00,0.00,0.00,3.80,0.00,3.80,0.00,288.00,3,899,4.80,3.77,3.36,0,13528016,18885564,58.26,83012,14502224,7033620,21.70,5163328,13152332,572392,lo,2139.40,2139.40,66943.06,66943.06,0.00,0.00,0.00,0.00,0.00,144.00,1266.00,0.00,5011.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.60,11065.40
11:16:23,66.57,0.00,3.02,0.45,0.00,29.96,71.80,0.00,14153.60,197.13,4.90,68.25,0.78,5.60,71.80,0.00,71.80,0.00,14153.60,7,898,4.42,3.70,3.34,0,13602052,18811528,58.04,83024,14535192,7010844,21.63,5058828,13183616,570512,lo,510.80,510.80,13627.04,13627.04,0.00,0.00,0.00,0.00,0.00,7076.80,18019.80,0.00,23942.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.60,5809.00
11:16:28,78.11,0.00,2.76,0.00,0.00,19.13,5.00,0.00,236.80,47.36,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,236.80,4,904,4.55,3.74,3.36,0,13375304,19038276,58.74,83032,14655176,7010844,21.63,5167084,13297204,690124,lo,1538.60,1538.60,47763.66,47763.66,0.00,0.00,0.00,0.00,0.00,118.40,6890.40,0.00,4906.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,10431.20
11:16:33,69.14,0.00,3.81,2.01,0.00,25.04,143.80,0.00,105763.20,735.49,45.32,315.16,3.23,46.40,143.80,0.00,143.80,0.00,105763.20,5,894,4.50,3.75,3.36,0,13169808,19243772,59.37,83040,14819236,7460228,23.02,5212672,13451724,589992,lo,2046.60,2046.60,62463.95,62463.95,0.00,0.00,0.00,0.00,0.00,52881.60,2997.40,0.00,5178.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.20,10781.60
11:16:38,88.59,0.00,2.83,0.00,0.00,8.59,13.60,0.00,8227.20,604.94,0.67,48.94,1.94,2.64,13.60,0.00,13.60,0.00,8227.20,4,902,4.54,3.77,3.37,0,13254260,19159320,59.11,83052,14851628,6985812,21.55,5097492,13482196,602140,lo,515.60,515.60,14655.03,14655.03,0.00,0.00,0.00,0.00,0.00,4113.60,17989.60,0.00,24617.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,8228.00
11:16:43,62.20,0.00,3.55,3.00,0.00,31.25,98.40,0.00,76400.00,776.42,40.80,348.97,3.33,32.80,98.40,0.00,98.40,0.00,76400.00,6,900,4.34,3.74,3.36,1,13042532,19371048,59.76,83060,15034256,6985812,21.55,5129996,13655224,532620,lo,2260.40,2260.40,70717.34,70717.34,0.00,0.00,0.00,0.00,0.00,50488.00,1250.80,0.00,4768.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,11639.00
11:16:48,76.16,0.00,3.49,0.35,0.00,19.99,34.40,0.00,29636.80,861.53,9.99,478.26,4.00,13.76,34.40,0.00,34.40,0.00,29636.80,7,891,4.31,3.74,3.37,0,13032128,19381452,59.79,83068,15104292,6986916,21.56,5075176,13721428,590372,lo,1037.00,1037.00,28109.17,28109.17,0.00,0.00,0.00,0.00,0.00,2530.40,17279.40,0.00,21856.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.40,8602.40
11:16:53,71.76,0.00,3.43,0.00,0.00,24.81,1.60,0.00,48.00,30.00,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,48.00,2,897,4.45,3.78,3.38,0,12825396,19588184,60.43,83080,15243076,6986916,21.56,5145652,13852772,729160,lo,1765.20,1765.20,54764.27,54764.27,0.00,0.00,0.00,0.00,0.00,24.00,4681.60,0.00,5076.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.20,12482.20
11:16:58,59.32,0.00,3.12,6.60,0.00,30.95,129.60,0.00,113972.80,879.42,55.58,428.90,3.89,50.40,129.60,0.00,129.60,0.00,113972.80,6,873,4.49,3.80,3.39,0,12901872,19511708,60.20,83088,15315088,6934772,21.39,5000076,13921156,516692,lo,886.80,886.80,26152.35,26152.35,0.00,0.00,0.00,0.00,0.00,56986.40,13062.80,0.00,22160.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.40,8067.00
11:17:03,84.54,0.00,2.96,0.05,0.00,12.45,5.80,1.60,150.40,26.21,0.00,0.00,0.00,0.00,5.80,0.20,5.60,1.60,150.40,3,897,4.93,3.90,3.42,0,12651040,19762540,60.97,83104,15400468,6988380,21.56,5163148,14001452,602284,lo,1253.60,1253.60,36229.05,36229.05,0.00,0.00,0.00,0.00,0.80,75.20,10684.40,0.00,4934.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.80,10846.80
11:17:08,59.84,0.00,3.72,0.00,0.00,36.44,12.80,0.00,8209.60,641.38,0.61,47.88,2.12,2.72,12.80,0.00,12.80,0.00,8209.60,2,866,5.02,3.94,3.44,0,12727704,19685876,60.73,83112,15525336,6955900,21.46,4967048,14120120,706856,lo,1522.80,1522.80,46373.81,46373.81,0.00,0.00,0.00,0.00,0.00,4104.80,10417.40,0.00,23501.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.60,10204.40
11:17:13,78.52,0.00,2.31,6.99,0.00,12.17,127.60,0.00,105804.80,829.19,50.90,398.93,3.64,46.40,127.60,0.00,127.60,0.00,105804.80,3,896,5.18,3.99,3.46,0,12423216,19990364,61.67,83116,15543924,7019836,21.66,5251912,14136932,461272,lo,451.40,451.40,10370.05,10370.05,0.00,0.00,0.00,0.00,0.00,52902.40,15711.60,0.00,2111.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.60,7557.00
11:17:18,58.96,0.00,4.04,0.50,0.00,36.50,21.80,0.00,8286.40,380.11,2.05,93.94,1.17,2.56,22.20,0.00,22.20,0.00,8288.00,2,896,5.08,3.99,3.46,0,12231536,20182044,62.26,83120,15734396,7019836,21.66,5257772,14318116,631088,lo,2312.20,2312.20,72137.14,72137.14,0.00,0.00,0.00,0.00,0.00,4143.20,248.80,0.00,5362.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.60,10744.80
11:17:23,66.01,0.00,3.16,0.20,0.00,30.62,58.00,0.00,45169.60,778.79,24.62,305.94,3.43,19.92,57.60,0.00,57.60,0.00,45168.00,7,887,4.92,3.97,3.46,1,12303776,20109804,62.04,83120,15742156,7007400,21.62,5178328,14325328,465216,lo,242.00,242.00,4322.23,4322.23,0.00,0.00,0.00,0.00,0.00,34896.80,19532.60,0.00,23501.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.40,6970.20
11:17:28,76.35,0.00,3.59,0.80,0.00,19.26,42.20,0.00,39510.40,936.27,14.61,509.02,4.00,16.88,42.20,0.00,42.20,0.00,39510.40,3,897,5.00,4.01,3.47,0,12125732,20287848,62.59,83128,15871576,7007400,21.62,5230588,14447272,557364,lo,1702.40,1702.40,51805.28,51805.28,0.00,0.00,0.00,0.00,0.00,7443.20,4040.00,0.00,5130.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.40,10455.80
11:17:33,33.32,0.00,1.96,0.05,0.00,64.67,17.40,0.00,257.60,14.80,0.00,0.18,0.18,0.32,17.40,0.00,17.40,0.00,257.60,0,743,4.76,3.97,3.46,0,12847488,19566092,60.36,83144,15944832,5831468,17.99,4441452,14517008,630536,lo,933.80,933.80,26568.58,26568.58,0.00,0.00,0.00,0.00,0.00,128.80,2527.80,0.00,44132.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.40,5200.60
11:17:38,3.00,0.00,0.80,8.45,0.00,87.74,135.00,0.00,84230.40,623.93,45.05,333.68,2.70,36.48,135.00,0.00,135.00,0.00,84230.40,2,726,4.46,3.92,3.45,0,13293472,19120108,58.99,83156,15926964,5512544,17.01,4016228,14500268,420212,lo,9.40,9.40,1.35,1.35,0.00,0.00,0.00,0.00,0.00,42115.20,2800.00,0.00,24797.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.20,3100.80
