timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
14:40:23,29.97,0.00,2.31,0.00,0.00,67.72,6.20,0.00,4219.20,680.52,0.07,10.84,1.03,0.64,6.20,0.00,6.20,0.00,4219.20,0,665,3.44,3.46,2.97,0,25276680,7136900,22.02,107744,4051872,5944624,18.34,3526820,3333416,280,lo,191.40,191.40,5137.55,5137.55,0.00,0.00,0.00,0.00,0.00,2109.60,12403.20,0.00,254744.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.80,3699.00
14:40:28,52.01,0.00,3.01,0.00,0.00,44.98,2.60,0.00,107.20,41.23,0.00,0.62,0.62,0.16,2.60,0.00,2.60,0.00,107.20,6,718,3.32,3.44,2.96,0,24928448,7485132,23.09,107764,4051904,7080044,21.84,3874324,3333444,436,lo,13.00,13.00,2.81,2.81,0.00,0.00,0.00,0.00,0.00,53.60,40651.00,0.00,22256.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.80,4500.00
14:40:33,77.14,0.00,4.10,1.10,0.00,17.66,44.60,0.00,30747.20,689.40,11.49,257.65,2.83,12.64,44.60,0.00,44.60,0.00,30747.20,4,751,3.46,3.47,2.97,0,23762256,8651324,26.69,107768,4205272,8494144,26.21,4958084,3409996,77096,lo,1158.40,1158.40,36851.13,36851.13,0.00,0.00,0.00,0.00,0.00,15373.60,52040.60,0.00,4323.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.40,5939.40
14:40:38,96.85,0.00,2.65,0.00,0.00,0.50,0.40,0.00,25.60,64.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,25.60,6,752,3.50,3.48,2.98,0,23218272,9195308,28.37,107772,4206420,8602624,26.54,5500452,3410860,78288,lo,2033.20,2033.20,63350.11,63350.11,0.00,0.00,0.00,0.00,0.00,12.80,27658.00,0.00,764.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,3156.60
14:40:43,97.55,0.00,1.75,0.00,0.00,0.70,9.60,0.00,147.20,15.33,0.00,0.00,0.00,0.00,9.60,0.00,9.60,0.00,147.20,4,755,3.54,3.48,2.99,0,23094564,9319016,28.75,107776,4209040,8602624,26.54,5621424,3413148,80600,lo,2277.00,2277.00,70543.43,70543.43,0.00,0.00,0.00,0.00,0.00,73.60,6152.60,0.00,287.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.20,3232.20
14:40:48,97.45,0.00,1.90,0.00,0.00,0.65,2.40,0.00,89.60,37.33,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,89.60,4,754,3.58,3.49,2.99,0,23075920,9337660,28.81,107784,4212796,8602624,26.54,5637208,3416276,84436,lo,2357.00,2357.00,72209.43,72209.43,0.00,0.00,0.00,0.00,0.00,44.80,791.40,0.00,276.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.20,3356.00
14:40:53,97.09,0.00,2.15,0.00,0.00,0.75,0.60,0.00,35.20,58.67,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,35.20,5,755,3.61,3.50,3.00,0,23017136,9396444,28.99,107792,4215612,8602624,26.54,5692892,3418596,87320,lo,2353.00,2353.00,72436.80,72436.80,0.00,0.00,0.00,0.00,0.00,17.60,2847.40,0.00,260.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.60,3368.00
14:40:58,92.88,0.00,1.60,0.00,0.00,5.51,1.20,0.00,35.20,29.33,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,35.20,3,755,3.64,3.51,3.00,0,22963196,9450384,29.16,107800,4217496,8602624,26.54,5745688,3420204,89220,lo,2343.60,2343.60,72103.83,72103.83,0.00,0.00,0.00,0.00,0.00,17.60,2613.80,0.00,319.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3013.00
14:41:03,77.16,0.00,0.80,0.00,0.00,22.03,1.60,0.00,110.40,69.00,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,110.40,6,754,3.43,3.47,2.99,0,22941372,9472208,29.22,107808,4220352,8602624,26.54,5777260,3409984,92052,lo,532.00,532.00,13634.96,13634.96,0.00,0.00,0.00,0.00,0.00,55.20,986.40,0.00,374.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.40,3465.20
14:41:08,97.45,0.00,1.20,0.00,0.00,1.35,45.00,0.00,30664.00,681.42,11.32,251.56,2.77,12.48,45.00,0.00,45.00,0.00,30664.00,4,754,3.72,3.53,3.01,0,22846800,9566780,29.51,107816,4220352,8709648,26.87,5871680,3409984,15524,lo,723.60,723.60,22478.70,22478.70,0.00,0.00,0.00,0.00,0.00,15332.00,6016.60,0.00,1118.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2458.80
