timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:54:42,12.14,0.00,1.25,0.00,0.00,86.61,2.00,0.00,72.00,36.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,72.00,3,901,3.44,2.56,1.42,0,12035480,3921532,24.58,73068,1036360,6728864,42.17,2943672,772536,2332,lo,19.00,19.00,1.71,1.71,0.00,0.00,0.00,0.00,0.00,36.00,22958.00,0.00,38594.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,56.00,3738.00
12:54:43,29.23,0.00,1.76,0.00,0.00,69.01,2.00,0.00,16.00,8.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,16.00,5,916,3.33,2.55,1.42,0,11898768,4058244,25.43,73068,1037320,6823628,42.76,3080736,773488,3324,lo,467.00,467.00,3189.15,3189.15,0.00,0.00,0.00,0.00,0.00,8.00,35034.00,0.00,929.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.00,8095.00
12:54:44,20.45,0.00,1.25,0.00,0.00,78.29,23.00,0.00,248.00,10.78,0.00,0.17,0.17,0.40,23.00,0.00,23.00,0.00,248.00,3,874,3.33,2.55,1.42,0,12244612,3712400,23.27,73068,1037528,6073692,38.06,2737448,773688,3536,lo,253.00,253.00,426.40,426.40,0.00,0.00,0.00,0.00,0.00,124.00,21376.00,0.00,107809.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,6289.00
12:54:45,16.83,0.00,1.26,0.00,0.00,81.91,5.00,0.00,40.00,8.00,0.01,1.60,1.60,0.80,5.00,0.00,5.00,0.00,40.00,1,910,3.33,2.55,1.42,0,12152372,3804640,23.84,73068,1034444,6430176,40.30,2829812,771000,3692,lo,229.00,229.00,699.11,699.11,0.00,0.00,0.00,0.00,0.00,20.00,29539.00,0.00,7299.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,99.00,5582.00
12:54:46,30.47,0.00,1.00,0.12,0.00,68.41,2.00,0.00,16.00,8.00,0.00,2.00,2.00,0.40,2.00,0.00,2.00,0.00,16.00,3,913,3.33,2.55,1.42,0,12047052,3909960,24.50,73068,1034448,6614136,41.45,2936624,770860,3696,lo,42.00,42.00,5.40,5.40,0.00,0.00,0.00,0.00,0.00,8.00,27205.00,0.00,643.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,6694.00
12:54:47,38.92,0.00,1.38,0.00,0.00,59.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,918,3.33,2.55,1.42,0,11881180,4075832,25.54,73068,1034452,6762764,42.38,3099780,770856,3700,lo,52.00,52.00,6.21,6.21,0.00,0.00,0.00,0.00,0.00,0.00,45410.00,0.00,4738.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,5193.00
12:54:48,28.68,0.00,0.62,0.00,0.00,70.70,8.00,0.00,288.00,36.00,0.00,0.50,0.50,0.40,8.00,0.00,8.00,0.00,288.00,0,965,3.30,2.56,1.43,0,11851088,4105924,25.73,73068,1034460,6811740,42.69,3131232,770856,3708,lo,66.00,66.00,127.87,127.87,0.00,0.00,0.00,0.00,0.00,144.00,7784.00,0.00,479.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,51.00,3172.00
12:54:49,1.12,0.00,0.25,0.00,0.00,98.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,964,3.30,2.56,1.43,0,11842176,4114836,25.79,73068,1034596,6811740,42.69,3140420,770968,3720,lo,25.00,25.00,2.97,2.97,0.00,0.00,0.00,0.00,0.00,0.00,2280.00,0.00,331.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,1485.00
12:54:50,28.25,0.00,1.62,0.00,0.00,70.12,2.00,0.00,16.00,8.00,0.00,2.00,2.00,0.40,2.00,0.00,2.00,0.00,16.00,6,1012,3.30,2.56,1.43,0,11684104,4272908,26.78,73068,1034824,7365896,46.16,3295316,771120,3928,lo,68.00,68.00,13.72,13.72,0.00,0.00,0.00,0.00,0.00,8.00,43616.00,0.00,2972.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,59.00,9199.00
12:54:51,59.25,0.00,2.14,0.00,0.00,38.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,1024,3.30,2.56,1.43,0,11542360,4414652,27.67,73068,1034884,7415048,46.47,3435972,771124,4000,lo,47.00,47.00,7.51,7.51,0.00,0.00,0.00,0.00,0.00,0.00,35898.00,0.00,700.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,8600.00
12:54:52,35.14,0.00,3.27,0.00,0.00,61.59,5.00,0.00,152.00,30.40,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,152.00,3,996,3.30,2.56,1.43,0,11737400,4219612,26.44,73068,1035684,7160656,44.87,3240348,771064,4740,lo,254.00,254.00,843.86,843.86,0.00,0.00,0.00,0.00,0.00,76.00,83953.00,0.00,133434.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,85.00,11009.00
12:54:53,44.96,0.00,2.77,0.00,0.00,52.27,9.00,0.00,264.00,29.33,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,264.00,1,1027,3.12,2.53,1.43,0,11499880,4457132,27.93,73068,1036152,7469180,46.81,3476956,771248,5144,lo,156.00,156.00,422.40,422.40,0.00,0.00,0.00,0.00,0.00,132.00,62291.00,0.00,2596.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,58.00,10079.00
12:54:54,43.48,0.00,2.86,0.00,0.00,53.66,2.00,0.00,72.00,36.00,0.00,2.00,2.00,0.40,2.00,0.00,2.00,0.00,72.00,7,1032,3.12,2.53,1.43,0,11491648,4465364,27.98,73068,1036304,7517404,47.11,3486208,771248,5368,lo,117.00,117.00,409.44,409.44,0.00,0.00,0.00,0.00,0.00,36.00,67585.00,0.00,65692.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,51.00,9529.00
12:54:55,46.98,0.00,2.52,0.00,0.00,50.50,2.00,0.00,72.00,36.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,72.00,6,1030,3.12,2.53,1.43,0,11504700,4452312,27.90,73068,1036748,7468884,46.81,3473224,771268,5828,lo,167.00,167.00,421.95,421.95,0.00,0.00,0.00,0.00,0.00,36.00,62362.00,0.00,64588.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,62.00,11214.00
12:54:56,52.32,0.00,2.38,0.00,0.00,45.29,2.00,0.00,72.00,36.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,72.00,2,1027,3.12,2.53,1.43,0,11558248,4398764,27.57,73068,1037184,7479692,46.87,3419436,771268,6268,lo,126.00,126.00,24.44,24.44,0.00,0.00,0.00,0.00,0.00,36.00,49214.00,0.00,64256.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,59.00,10280.00
12:54:57,49.87,0.00,2.76,0.00,0.00,47.37,2.00,0.00,72.00,36.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,72.00,4,1026,3.12,2.53,1.43,0,11525968,4431044,27.77,73068,1037632,7486280,46.92,3452616,771272,6720,lo,156.00,156.00,420.46,420.46,0.00,0.00,0.00,0.00,0.00,36.00,73979.00,0.00,65188.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,57.00,9785.00
12:54:58,49.87,0.00,2.51,0.13,0.00,47.49,128.00,0.00,13160.00,102.81,0.36,2.78,0.09,1.20,128.00,0.00,128.00,0.00,13160.00,6,1032,3.35,2.59,1.45,0,11589264,4367748,27.37,73068,1038072,7436628,46.60,3388660,771272,76,lo,123.00,123.00,417.74,417.74,0.00,0.00,0.00,0.00,0.00,6580.00,50387.00,0.00,64490.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,66.00,10434.00
12:54:59,31.87,0.00,2.25,0.00,0.00,65.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,1043,3.35,2.59,1.45,0,11426692,4530320,28.39,73068,1038112,7508224,47.05,3549712,771632,376,lo,160.00,160.00,768.30,768.30,0.00,0.00,0.00,0.00,0.00,0.00,42563.00,0.00,2618.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.00,7247.00
12:55:00,18.59,0.00,1.13,0.00,0.00,80.28,2.00,0.00,112.00,56.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,112.00,10,1023,3.35,2.59,1.45,0,11574232,4382780,27.47,73068,1038424,7485824,46.91,3403120,771528,768,lo,94.00,94.00,69.04,69.04,0.00,0.00,0.00,0.00,0.00,56.00,27711.00,0.00,64187.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,45.00,7217.00
