timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:14:16,17.08,0.00,1.00,0.00,0.00,81.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,873,3.85,3.00,2.44,0,10436688,5520324,34.59,113160,2645616,6232940,39.06,3049980,2221356,76860,lo,17.00,17.00,1.57,1.57,0.00,0.00,0.00,0.00,0.00,0.00,17651.00,0.00,404.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,3087.00
13:14:17,20.82,0.00,1.75,0.00,0.00,77.43,4.00,0.00,144.00,36.00,0.00,1.00,1.00,0.40,4.00,0.00,4.00,0.00,144.00,4,873,3.85,3.00,2.44,0,10444808,5512204,34.54,113160,2645620,6224904,39.01,3041644,2221352,76868,lo,6.00,6.00,0.94,0.94,0.00,0.00,0.00,0.00,0.00,72.00,46459.00,0.00,45713.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,71.00,7863.00
13:14:18,40.00,0.00,2.26,0.00,0.00,57.74,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,4,934,4.02,3.05,2.46,0,10214452,5742560,35.99,113160,2645656,6565980,41.15,3270076,2221380,76904,lo,32.00,32.00,10.49,10.49,0.00,0.00,0.00,0.00,0.00,4.00,59945.00,0.00,2193.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,61.00,7265.00
13:14:19,55.04,0.00,2.39,0.00,0.00,42.57,9.00,0.00,400.00,44.44,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,400.00,4,958,4.02,3.05,2.46,0,10006768,5950244,37.29,113160,2645724,6867824,43.04,3477656,2221388,76916,lo,52.00,52.00,10.10,10.10,0.00,0.00,0.00,0.00,0.00,200.00,52824.00,0.00,786.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.00,8853.00
13:14:20,17.58,0.00,2.62,7.86,0.00,71.95,230.00,0.00,117760.00,512.00,19.65,79.13,2.85,65.60,231.00,0.00,231.00,0.00,118272.00,0,969,4.02,3.05,2.46,1,9850628,6106384,38.27,113160,2722348,6939676,43.49,3554396,2297988,85968,lo,2094.00,2094.00,76779.79,76779.79,0.00,0.00,0.00,0.00,0.00,67584.00,21338.00,0.00,16221.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,14424.00
13:14:21,36.81,0.00,2.01,1.26,0.00,59.92,71.00,0.00,35592.00,501.30,4.06,77.69,2.42,17.20,70.00,0.00,70.00,0.00,35080.00,3,974,4.02,3.05,2.46,0,9592576,6364436,39.88,113160,2799024,7095532,44.47,3809832,2297960,153484,lo,80.00,80.00,35.49,35.49,0.00,0.00,0.00,0.00,0.00,9092.00,45713.00,0.00,412.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,6703.00
13:14:22,85.73,0.00,1.88,0.00,0.00,12.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,976,4.02,3.05,2.46,0,9536368,6420644,40.24,113160,2799028,7095532,44.47,3864324,2297932,153492,lo,2245.00,2245.00,71437.55,71437.55,0.00,0.00,0.00,0.00,0.00,0.00,20495.00,0.00,7082.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,9245.00
13:14:23,91.09,0.00,1.02,0.00,0.00,7.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,975,4.58,3.19,2.51,0,9508144,6448868,40.41,113160,2803296,7103764,44.52,3888568,2300792,157764,lo,696.00,696.00,20167.86,20167.86,0.00,0.00,0.00,0.00,0.00,0.00,8207.00,0.00,2914.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,4280.00
13:14:24,80.88,0.00,1.76,0.00,0.00,17.36,1.00,0.00,56.00,56.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,56.00,8,987,4.58,3.19,2.51,0,9453764,6503248,40.75,113160,2805744,7119788,44.62,3947856,2297992,160212,lo,281.00,281.00,242.42,242.42,0.00,0.00,0.00,0.00,0.00,28.00,13335.00,0.00,320.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,11496.00
13:14:25,75.54,0.00,0.63,0.00,0.00,23.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,987,4.58,3.19,2.51,0,9415216,6541796,41.00,113160,2805756,7119788,44.62,3985832,2297924,160204,lo,1409.00,1409.00,44951.55,44951.55,0.00,0.00,0.00,0.00,0.00,0.00,9418.00,0.00,1541.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5042.00
