timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:50:57,28.55,0.00,1.26,1.13,0.00,69.06,329.00,0.00,5656.00,17.19,0.20,0.60,0.49,16.00,329.00,0.00,329.00,0.00,5744.00,4,974,2.60,2.79,2.91,0,6297508,9659504,60.53,147216,5806136,7295336,45.72,4137092,5174080,1340,lo,3.00,3.00,0.36,0.36,0.00,0.00,0.00,0.00,0.00,2824.00,12902.00,0.00,2779.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,6290.00
13:50:58,34.38,0.00,0.75,3.12,0.00,61.75,533.00,0.00,11936.00,22.39,0.27,0.50,0.50,26.80,532.00,0.00,532.00,0.00,11840.00,1,967,2.60,2.79,2.91,0,6289436,9667576,60.59,147504,5807564,7295336,45.72,4143928,5174424,2240,lo,3.00,3.00,0.36,0.36,0.00,0.00,0.00,0.00,0.00,5916.00,1465.00,0.00,510.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,7837.00
13:50:59,24.78,0.00,0.50,0.88,0.00,73.84,171.00,0.00,4184.00,24.47,0.09,0.51,0.44,7.60,171.00,0.00,171.00,0.00,4184.00,1,968,2.60,2.79,2.91,0,6278888,9678124,60.65,147592,5808032,7311308,45.82,4153788,5174524,1932,lo,55.00,55.00,7.10,7.10,0.00,0.00,0.00,0.00,0.00,2088.00,4119.00,0.00,2013.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,6215.00
13:51:00,23.39,0.00,0.99,0.00,0.00,75.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,967,2.63,2.79,2.91,0,6266692,9690320,60.73,147592,5808032,7319208,45.87,4164828,5174524,1932,lo,6.00,6.00,0.51,0.51,0.00,0.00,0.00,0.00,0.00,0.00,5100.00,0.00,2400.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,7558.00
13:51:01,36.32,0.00,0.63,0.38,0.00,62.67,65.00,0.00,1416.00,21.78,0.08,1.23,1.17,7.60,65.00,0.00,65.00,0.00,1416.00,4,967,2.63,2.79,2.91,0,6233988,9723024,60.93,147636,5808048,7396580,46.35,4198892,5174508,1852,lo,59.00,59.00,8.43,8.43,0.00,0.00,0.00,0.00,0.00,708.00,9310.00,0.00,954.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,6434.00
13:51:02,33.33,0.00,3.65,1.38,0.00,61.64,301.00,0.00,153352.00,509.48,4.10,13.61,0.47,14.00,301.00,0.00,301.00,0.00,153352.00,4,978,2.63,2.79,2.91,0,5942640,10014372,62.76,147636,5961352,7469620,46.81,4410296,5251132,78480,lo,2105.00,2105.00,76863.24,76863.24,0.00,0.00,0.00,0.00,0.00,76676.00,34451.00,0.00,13083.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,22470.00
13:51:03,48.81,0.00,1.50,0.00,0.00,49.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,989,2.63,2.79,2.91,0,5828788,10128224,63.47,147636,5961416,7630392,47.82,4524028,5251080,78484,lo,606.00,606.00,7914.37,7914.37,0.00,0.00,0.00,0.00,0.00,0.00,28922.00,0.00,367.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,8989.00
13:51:04,77.99,0.00,2.14,0.13,0.00,19.75,40.00,0.00,352.00,8.80,0.03,0.70,0.70,2.80,40.00,0.00,40.00,0.00,352.00,3,996,2.63,2.79,2.91,0,5790052,10166960,63.71,147636,5980344,7646320,47.92,4542824,5269068,97412,lo,1497.00,1497.00,30485.22,30485.22,0.00,0.00,0.00,0.00,0.00,180.00,6896.00,0.00,5550.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.00,15276.00
13:51:05,10.26,0.00,1.63,0.13,0.00,87.98,28.00,0.00,1008.00,36.00,0.02,0.86,0.71,2.00,28.00,0.00,28.00,0.00,1008.00,0,852,2.42,2.74,2.89,0,6867352,9089660,56.96,147648,5904456,6036468,37.83,3473440,5265260,98156,lo,109.00,109.00,13.21,13.21,0.00,0.00,0.00,0.00,0.00,500.00,6961.00,0.00,276281.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,64.00,4721.00
13:51:06,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,853,2.42,2.74,2.89,0,6867460,9089552,56.96,147648,5904456,6036468,37.83,3473512,5265260,98168,lo,15.00,15.00,2.38,2.38,0.00,0.00,0.00,0.00,0.00,0.00,41.00,0.00,310.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,1019.00
