timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
15:38:36,85.93,0.00,3.52,7.54,0.00,3.02,241.00,320.00,5680.00,24.90,0.15,0.63,0.61,14.80,222.00,11.00,211.00,512.00,5200.00,2,722,3.29,3.20,3.01,0,1026636,2802920,73.19,14252,279556,4626724,120.82,2552412,149392,3080,lo,3.00,3.00,0.36,0.36,0.00,0.00,0.00,0.00,160.00,2892.00,2828.00,0.00,290.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3928.00
15:38:37,88.50,0.00,2.50,7.00,0.00,2.00,363.00,1184.00,7024.00,22.61,0.12,0.34,0.34,12.40,383.17,49.50,333.66,1172.28,7429.70,3,723,3.29,3.20,3.01,0,1008756,2820800,73.66,14852,280648,4657184,121.61,2569692,149724,3236,lo,18.00,18.00,1.82,1.82,0.00,0.00,0.00,0.00,592.00,3460.00,5103.00,0.00,1313.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,3845.00
15:38:38,92.50,0.00,2.50,2.50,0.00,2.50,170.00,2264.00,1368.00,21.36,0.06,0.33,0.33,5.60,170.00,117.00,53.00,2264.00,1368.00,2,725,3.19,3.18,3.01,0,978136,2851420,74.46,14932,281796,4672432,122.01,2600580,150148,3212,lo,37.00,37.00,5.13,5.13,0.00,0.00,0.00,0.00,1152.00,684.00,9693.00,0.00,2621.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,2559.00
15:38:39,83.50,0.00,2.00,2.50,0.00,12.00,244.00,3520.00,2552.00,24.89,0.09,0.38,0.30,7.20,244.00,161.00,83.00,3520.00,2552.00,2,725,3.19,3.18,3.01,0,967596,2861960,74.73,15084,283700,4679932,122.21,2611244,149492,2512,lo,17.00,17.00,1.95,1.95,0.00,0.00,0.00,0.00,1740.00,1276.00,2186.00,0.00,289.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2560.00
15:38:40,85.35,0.00,2.02,0.00,0.00,12.63,28.00,248.00,96.00,12.29,0.01,0.43,0.29,0.80,28.00,16.00,12.00,248.00,96.00,2,727,3.19,3.18,3.01,0,947104,2882452,75.27,15088,283820,4713076,123.07,2633200,148000,2584,lo,96.00,96.00,20.89,20.89,0.00,0.00,0.00,0.00,124.00,48.00,5369.00,0.00,433.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,3420.00
15:38:41,74.11,0.00,8.12,0.51,0.00,17.26,186.00,21504.00,192.00,116.65,0.14,0.73,0.45,8.40,186.00,163.00,23.00,21504.00,192.00,3,750,3.19,3.18,3.01,0,871912,2957644,77.23,15096,329340,4849704,126.64,2663820,190956,37264,lo,1428.00,1428.00,34814.76,34814.76,0.00,0.00,0.00,0.00,10752.00,96.00,12436.00,3.00,7291.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,103.00,8701.00
15:38:42,93.43,0.00,2.53,0.00,0.00,4.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,750,3.19,3.18,3.01,0,810776,3018780,78.83,15096,329496,4964948,129.65,2725364,190820,37464,lo,15.00,15.00,2.18,2.18,0.00,0.00,0.00,0.00,0.00,0.00,15407.00,0.00,556.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,3082.00
15:38:43,89.45,0.00,3.02,0.00,0.00,7.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,757,3.01,3.14,3.00,0,746216,3083340,80.51,15096,329492,5057936,132.08,2790096,190640,37460,lo,62.00,62.00,7.99,7.99,0.00,0.00,0.00,0.00,0.00,0.00,16270.00,0.00,369.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,2111.00
15:38:44,91.00,0.00,4.00,0.50,0.00,4.50,21.00,1312.00,288.00,76.19,0.01,0.38,0.38,0.80,21.00,9.00,12.00,1312.00,288.00,3,767,3.01,3.14,3.00,0,655396,3174160,82.89,15096,330088,5185320,135.40,2883000,188372,37320,lo,10.00,10.00,1.55,1.55,0.00,0.00,0.00,0.00,656.00,144.00,23872.00,2.00,1604.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,2040.00
15:38:45,96.50,0.00,2.50,0.00,0.00,1.00,6.00,16.00,32.00,8.00,0.00,0.67,0.67,0.40,5.00,2.00,3.00,16.00,24.00,2,814,3.01,3.14,3.00,0,602192,3227364,84.28,15096,330312,5242392,136.89,2935516,187944,37524,lo,91.00,91.00,233.92,233.92,0.00,0.00,0.00,0.00,8.00,16.00,13742.00,0.00,1129.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.00,3518.00
