timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:44:34,92.04,0.00,1.99,1.49,0.00,4.48,51.00,0.00,1224.00,24.00,0.02,0.47,0.47,2.40,51.00,0.00,51.00,0.00,1224.00,2,723,2.60,3.03,2.87,0,1062312,2767244,72.26,31744,366232,4642568,121.23,2501736,153480,3216,lo,33.00,33.00,3.78,3.78,0.00,0.00,0.00,0.00,0.00,612.00,9753.00,0.00,2192.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,2247.00
13:44:35,85.79,0.00,1.02,0.00,0.00,13.20,85.00,0.00,2280.00,26.82,0.04,0.52,0.38,3.20,85.00,0.00,85.00,0.00,2280.00,2,724,2.60,3.03,2.87,0,1051540,2778016,72.54,31904,366252,4650204,121.43,2512900,153472,2840,lo,32.00,32.00,3.48,3.48,0.00,0.00,0.00,0.00,0.00,1140.00,2932.00,0.00,323.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,2889.00
13:44:36,88.44,0.00,2.51,0.50,0.00,8.54,16.00,8.00,128.00,8.50,0.00,0.25,0.25,0.40,16.00,1.00,15.00,8.00,128.00,5,730,2.60,3.03,2.87,0,1030920,2798636,73.08,31904,366604,4683776,122.31,2533080,153688,3080,lo,181.00,181.00,1997.17,1997.17,0.00,0.00,0.00,0.00,4.00,64.00,5274.00,0.00,1584.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,3201.00
13:44:37,72.16,0.00,5.15,0.00,0.00,22.68,22.00,40.00,152.00,8.73,0.01,0.55,0.55,1.20,22.00,3.00,19.00,40.00,152.00,2,749,2.39,2.98,2.86,0,946404,2883152,75.29,31904,401204,4837116,126.31,2583856,186208,37644,lo,1572.00,1572.00,32850.77,32850.77,0.00,0.00,0.00,0.00,20.00,76.00,17163.00,3.00,7380.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,99.00,6439.00
13:44:38,92.96,0.00,2.51,0.00,0.00,4.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,750,2.39,2.98,2.86,0,900508,2929048,76.49,31904,401204,4930412,128.75,2629824,185996,37644,lo,15.00,15.00,2.17,2.17,0.00,0.00,0.00,0.00,0.00,0.00,11832.00,0.00,540.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,2876.00
13:44:39,89.45,0.00,4.02,0.00,0.00,6.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,762,2.39,2.98,2.86,0,837712,2991844,78.13,31904,401204,5032420,131.41,2692252,185992,37644,lo,63.00,63.00,8.02,8.02,0.00,0.00,0.00,0.00,0.00,0.00,15720.00,0.00,298.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,2033.00
13:44:40,92.54,0.00,2.99,0.00,0.00,4.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,765,2.39,2.98,2.86,0,794528,3035028,79.25,31904,401212,5104060,133.28,2735432,185976,37652,lo,12.00,12.00,1.64,1.64,0.00,0.00,0.00,0.00,0.00,0.00,11459.00,0.00,966.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,1853.00
13:44:41,73.47,0.00,3.06,0.00,0.00,23.47,4.00,0.00,32.00,8.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,32.00,0,813,2.39,2.98,2.86,0,741864,3087692,80.63,31904,401452,5151840,134.53,2787116,186180,37892,lo,88.00,88.00,233.68,233.68,0.00,0.00,0.00,0.00,0.00,16.00,12901.00,0.00,395.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.00,2710.00
13:44:42,14.43,0.00,0.50,0.00,0.00,85.07,9.00,0.00,248.00,27.56,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,248.00,0,812,2.20,2.93,2.84,0,739136,3090420,80.70,31904,401456,5151840,134.53,2789704,186180,37896,lo,24.00,24.00,3.93,3.93,0.00,0.00,0.00,0.00,0.00,124.00,683.00,0.00,294.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1242.00
13:44:43,71.86,0.00,4.52,0.00,0.00,23.62,549.00,9560.00,16.00,17.44,0.63,1.14,0.10,5.60,549.00,547.00,2.00,9560.00,16.00,7,844,2.20,2.93,2.84,0,678476,3151080,82.28,33708,404696,5359512,139.95,2846656,188328,38084,lo,70.00,70.00,37.11,37.11,0.00,0.00,0.00,0.00,4780.00,8.00,21091.00,30.00,5076.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,46.00,4348.00
