timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
02:39:08,89.34,0.00,2.03,7.11,0.00,1.52,110.00,1240.00,1536.00,25.24,0.05,0.44,0.36,4.00,291.00,1.00,290.00,256.00,6440.00,1,699,2.40,2.76,2.78,1,977924,2822960,74.27,10220,527800,4416144,116.19,2389752,315184,2572,lo,6.00,6.00,0.95,0.95,0.00,0.00,0.00,0.00,620.00,872.00,3985.00,0.00,309.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,3136.00
02:39:09,81.12,0.00,2.04,6.12,0.00,10.71,88.00,152.00,2176.00,26.45,0.05,0.55,0.36,3.20,277.00,43.00,234.00,1088.00,5320.00,1,700,2.40,2.76,2.78,0,965276,2835608,74.60,10364,527828,4431312,116.59,2402308,315108,2052,lo,32.00,32.00,3.73,3.73,0.00,0.00,0.00,0.00,76.00,984.00,3079.00,0.00,293.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,2327.00
02:39:10,76.12,0.00,1.99,1.49,0.00,20.40,42.00,536.00,96.00,15.05,0.02,0.38,0.38,1.60,112.00,50.00,62.00,1240.00,1552.00,4,702,2.45,2.77,2.79,0,943312,2857572,75.18,10364,528148,4454900,117.21,2423920,315096,2140,lo,29.00,29.00,3.45,3.45,0.00,0.00,0.00,0.00,272.00,48.00,6728.00,0.00,1497.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2596.00
02:39:11,85.00,0.00,3.00,0.50,0.00,11.50,48.00,488.00,512.00,20.83,0.02,0.42,0.42,2.00,86.00,10.00,76.00,152.00,2160.00,1,702,2.45,2.77,2.79,0,894232,2906652,76.47,10364,563380,4589780,120.76,2439112,347788,36944,lo,82.00,82.00,21.68,21.68,0.00,0.00,0.00,0.00,240.00,256.00,7355.00,0.00,7322.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,2603.00
02:39:12,94.95,0.00,1.52,0.00,0.00,3.54,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,43.00,32.00,11.00,544.00,96.00,2,703,2.45,2.77,2.79,0,821504,2979380,78.39,10364,563352,4707492,123.85,2511824,347924,36924,lo,1709.00,1709.00,34847.04,34847.04,0.00,0.00,0.00,0.00,0.00,4.00,19282.00,0.00,1194.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,98.00,5947.00
02:39:13,79.00,0.00,8.00,1.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,13.00,34.00,480.00,512.00,1,721,2.45,2.77,2.79,0,762744,3038140,79.93,10364,563348,4802112,126.34,2570840,347752,36936,lo,15.00,15.00,2.17,2.17,0.00,0.00,0.00,0.00,0.00,0.00,15287.00,0.00,661.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,3194.00
02:39:14,86.29,0.00,5.08,0.00,0.00,8.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,3,727,2.45,2.77,2.79,0,675208,3125676,82.24,10364,563356,4864668,127.99,2658028,347708,36944,lo,43.00,43.00,6.64,6.64,0.00,0.00,0.00,0.00,0.00,0.00,22493.00,0.00,869.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,1797.00
02:39:15,89.00,0.00,4.50,0.00,0.00,6.50,2.00,0.00,16.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,730,2.41,2.75,2.78,0,634220,3166664,83.31,10364,563356,4976196,130.92,2698436,347704,36944,lo,34.00,34.00,4.58,4.58,0.00,0.00,0.00,0.00,0.00,8.00,11477.00,0.00,1716.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,2311.00
02:39:16,88.94,0.00,5.53,0.00,0.00,5.53,4.00,0.00,184.00,46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,743,2.41,2.75,2.78,0,611496,3189388,83.91,10364,563600,4971028,130.79,2720600,347876,37196,lo,32.00,32.00,4.20,4.20,0.00,0.00,0.00,0.00,0.00,92.00,6445.00,0.00,1259.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,47.00,2896.00
02:39:17,95.96,0.00,2.53,0.00,0.00,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,16.00,3,789,2.41,2.75,2.78,0,599056,3201828,84.24,10364,563612,4986076,131.18,2732380,347920,37124,lo,68.00,68.00,231.27,231.27,0.00,0.00,0.00,0.00,0.00,0.00,3997.00,0.00,1325.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,1974.00
