timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:32:20,78.50,0.00,2.00,0.00,0.00,19.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,734,2.64,2.58,1.73,0,751372,3078184,80.38,68860,721184,4737808,123.72,2458452,499148,3976,lo,17.00,17.00,1.61,1.61,0.00,0.00,0.00,0.00,0.00,0.00,17634.00,0.00,395.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,1716.00
12:32:21,56.06,0.00,6.06,0.00,0.00,37.88,2.00,0.00,72.00,36.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,72.00,3,701,2.64,2.58,1.73,0,1097788,2731768,71.33,68860,718188,4155268,108.51,2115964,496440,1740,lo,29.00,29.00,3.61,3.61,0.00,0.00,0.00,0.00,0.00,36.00,23032.00,0.00,107849.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,55.00,2877.00
12:32:22,89.90,0.00,3.03,0.00,0.00,7.07,3.00,0.00,24.00,8.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,24.00,15,725,2.64,2.58,1.73,0,1021012,2808544,73.34,68860,714508,4329188,113.05,2195336,493060,1896,lo,153.00,153.00,430.42,430.42,0.00,0.00,0.00,0.00,0.00,12.00,20602.00,0.00,1913.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.00,2535.00
12:32:23,98.01,0.00,1.00,0.00,0.00,1.00,6.00,0.00,48.00,8.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,48.00,3,716,2.64,2.58,1.73,0,973588,2855968,74.58,68860,714468,4344768,113.45,2244096,492584,1872,lo,427.00,427.00,3048.95,3048.95,0.00,0.00,0.00,0.00,0.00,24.00,12376.00,0.00,641.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,3112.00
12:32:24,42.42,0.00,4.55,0.51,0.00,52.53,21.00,8.00,168.00,8.38,0.00,0.19,0.19,0.40,21.00,1.00,20.00,8.00,168.00,1,734,2.67,2.58,1.74,0,920516,2909040,75.96,68860,715364,4394596,114.75,2295352,493140,2764,lo,350.00,350.00,836.41,836.41,0.00,0.00,0.00,0.00,4.00,84.00,16607.00,0.00,3860.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,89.00,3770.00
12:32:25,86.29,0.00,4.57,0.00,0.00,9.14,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,3,741,2.67,2.58,1.74,0,851860,2977696,77.76,68860,715472,4592812,119.93,2364024,493180,2852,lo,17.00,17.00,2.18,2.18,0.00,0.00,0.00,0.00,0.00,4.00,18383.00,0.00,1174.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,3452.00
12:32:26,88.89,0.00,3.03,0.00,0.00,8.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,745,2.67,2.58,1.74,0,783612,3045944,79.54,68860,715464,4723276,123.34,2432112,493016,2844,lo,30.00,30.00,3.61,3.61,0.00,0.00,0.00,0.00,0.00,0.00,17184.00,0.00,333.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,2254.00
12:32:27,93.94,0.00,3.03,0.00,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,749,2.67,2.58,1.74,0,700592,3128964,81.71,68860,715468,4785828,124.97,2518204,489968,2848,lo,60.00,60.00,6.63,6.63,0.00,0.00,0.00,0.00,0.00,0.00,21532.00,0.00,1092.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,2300.00
12:32:28,95.45,0.00,2.53,0.00,0.00,2.02,6.00,0.00,120.00,20.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,120.00,3,795,2.67,2.58,1.74,0,662932,3166624,82.69,68860,715480,4898788,127.92,2555924,488912,2812,lo,35.00,35.00,4.43,4.43,0.00,0.00,0.00,0.00,0.00,60.00,11320.00,0.00,2366.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,47.00,3123.00
12:32:29,16.16,0.00,1.52,0.00,0.00,82.32,3.00,8.00,16.00,8.00,0.00,0.00,0.00,0.00,3.00,1.00,2.00,8.00,16.00,0,796,2.62,2.57,1.74,0,652624,3176932,82.96,68860,715624,4898788,127.92,2565300,488976,2960,lo,46.00,46.00,125.91,125.91,0.00,0.00,0.00,0.00,4.00,8.00,4402.00,1.00,2573.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,1577.00
12:32:30,14.00,0.00,2.00,0.00,0.00,84.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,797,2.62,2.57,1.74,0,639588,3189968,83.30,68860,715628,4879780,127.42,2578656,488960,2968,lo,34.00,34.00,5.60,5.60,0.00,0.00,0.00,0.00,0.00,0.00,3434.00,0.00,324.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,1595.00
12:32:31,90.95,0.00,7.04,0.00,0.00,2.01,2.00,0.00,16.00,8.00,0.00,2.00,2.00,0.40,2.00,0.00,2.00,0.00,16.00,4,827,2.62,2.57,1.74,0,544208,3285348,85.79,68860,715844,5112556,133.50,2672676,489028,3172,lo,60.00,60.00,11.09,11.09,0.00,0.00,0.00,0.00,0.00,8.00,27998.00,0.00,2994.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,42.00,5594.00
