timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:26:38,74.38,0.00,5.42,0.00,0.00,20.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,686,2.15,1.97,1.20,0,1149620,2679936,69.98,69820,622980,4265788,111.39,2180772,388176,76916,lo,18.00,18.00,1.63,1.63,0.00,0.00,0.00,0.00,0.00,0.00,17925.00,0.00,380.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,1998.00
12:26:39,46.46,0.00,7.58,0.00,0.00,45.96,4.00,0.00,144.00,36.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,144.00,1,685,2.15,1.97,1.20,0,1205840,2623716,68.51,69820,622976,4221048,110.22,2124576,388168,76916,lo,6.00,6.00,0.94,0.94,0.00,0.00,0.00,0.00,0.00,72.00,28623.00,0.00,40266.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,49.00,3158.00
12:26:40,89.00,0.00,3.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,697,2.15,1.97,1.20,0,1141560,2687996,70.19,69820,622980,4343868,113.43,2188376,388168,76924,lo,3.00,3.00,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.00,16755.00,0.00,629.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,2382.00
12:26:41,86.87,0.00,6.57,0.00,0.00,6.57,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,5,732,2.15,1.97,1.20,0,1004444,2825112,73.77,69820,623016,4540872,118.57,2324252,388200,76960,lo,38.00,38.00,10.67,10.67,0.00,0.00,0.00,0.00,0.00,4.00,35230.00,0.00,980.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.00,3113.00
12:26:42,96.02,0.00,3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,732,2.15,1.97,1.20,0,952596,2876960,75.13,69820,622956,4661340,121.72,2376216,388136,76900,lo,6.00,6.00,1.15,1.15,0.00,0.00,0.00,0.00,0.00,0.00,15061.00,0.00,2100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2646.00
12:26:43,95.50,0.00,4.00,0.00,0.00,0.50,13.00,0.00,768.00,59.08,0.00,0.00,0.00,0.00,13.00,0.00,13.00,0.00,768.00,3,734,2.29,2.01,1.22,0,878024,2951532,77.07,69832,622952,4676448,122.11,2450336,388128,77156,lo,3.00,3.00,0.36,0.36,0.00,0.00,0.00,0.00,0.00,384.00,18743.00,0.00,435.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,3805.00
12:26:44,96.98,0.00,3.02,0.00,0.00,0.00,2.00,0.00,128.00,64.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,128.00,2,742,2.29,2.01,1.22,0,828884,3000672,78.36,69832,623028,4727164,123.44,2499436,388136,77212,lo,24.00,24.00,7.02,7.02,0.00,0.00,0.00,0.00,0.00,64.00,12328.00,0.00,303.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,3295.00
12:26:45,86.50,0.00,9.00,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,752,2.29,2.01,1.22,0,653980,3175576,82.92,69832,645964,5073272,132.48,2661812,399516,100152,lo,892.00,892.00,27612.66,27612.66,0.00,0.00,0.00,0.00,0.00,0.00,38579.00,0.00,5869.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,4277.00
12:26:46,20.00,0.00,5.00,43.50,0.00,31.50,338.00,0.00,168168.00,497.54,30.57,85.81,2.80,94.80,341.00,0.00,341.00,0.00,169704.00,0,752,2.29,2.01,1.22,1,598756,3230800,84.36,69832,699656,5073272,132.48,2689096,426440,61696,lo,1288.00,1288.00,49133.06,49133.06,0.00,0.00,0.00,0.00,0.00,92276.00,5694.00,0.00,13112.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,13809.00
12:26:47,60.41,0.00,8.12,10.15,0.00,21.32,249.00,0.00,100776.00,404.72,18.04,78.71,2.18,54.40,246.00,0.00,246.00,0.00,99240.00,2,753,2.29,2.01,1.22,0,377244,3452312,90.15,69836,776332,5191564,135.57,2871316,464680,96004,lo,52.00,52.00,31.08,31.08,0.00,0.00,0.00,0.00,0.00,42196.00,36689.00,0.00,465.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,3281.00
