timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
00:28:11,22.42,0.00,1.76,10.58,0.00,65.24,894.00,1952.00,338392.00,380.70,9.74,10.66,0.38,34.00,867.00,178.00,689.00,1920.00,325080.00,0,740,2.91,2.32,1.38,2,1196840,6675200,84.80,14376,4102412,5047164,64.12,3015548,3462236,134260,lo,299.00,299.00,61.47,61.47,0.00,0.00,0.00,0.00,976.00,175340.00,2413.00,4.00,87418.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.00,4216.00
00:28:12,5.78,0.00,2.26,37.44,0.00,54.52,751.00,2464.00,239144.00,321.72,29.54,39.62,1.27,95.60,776.00,251.00,525.00,2464.00,252456.00,1,757,2.84,2.31,1.38,0,1177096,6694944,85.05,14408,4095248,5220396,66.32,3037516,3461140,30612,lo,6.00,6.00,3.39,3.39,0.00,0.00,0.00,0.00,1228.00,113428.00,11797.00,8.00,5442.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.00,3379.00
00:28:13,64.41,0.00,2.01,0.75,0.00,32.83,116.00,1112.00,72.00,10.21,0.06,0.55,0.21,2.40,112.00,110.00,2.00,1088.00,72.00,2,753,2.84,2.31,1.38,1,1104528,6767512,85.97,14488,4096196,5273140,66.99,3116904,3454912,30696,lo,6.00,6.00,0.56,0.56,0.00,0.00,0.00,0.00,560.00,36.00,31878.00,0.00,13558.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.00,5284.00
00:28:14,47.38,0.00,2.00,3.49,0.00,47.13,707.00,8408.00,4296.00,17.97,0.26,0.38,0.23,16.00,713.00,543.00,170.00,8464.00,4296.00,2,755,2.84,2.31,1.38,0,1040636,6831404,86.78,14848,4099948,5410048,68.72,3179968,3454672,31460,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,4204.00,2148.00,15760.00,0.00,558.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,4443.00
00:28:15,57.82,0.00,2.98,0.50,0.00,38.71,115.00,1312.00,40.00,11.76,0.01,0.10,0.10,1.20,115.00,111.00,4.00,1312.00,40.00,1,750,2.84,2.31,1.38,0,924080,6947960,88.26,14872,4100860,5425820,68.93,3298400,3453220,31208,lo,6.00,6.00,1.38,1.38,0.00,0.00,0.00,0.00,656.00,20.00,29504.00,0.00,693.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,3774.00
00:28:16,73.55,0.00,2.52,0.50,0.00,23.43,213.00,1960.00,0.00,9.20,0.06,0.30,0.24,5.20,213.00,213.00,0.00,1960.00,0.00,3,728,2.84,2.31,1.38,0,1282832,6589208,83.70,14936,4101416,4827856,61.33,2943824,3451516,31216,lo,26.00,26.00,3.60,3.60,0.00,0.00,0.00,0.00,980.00,0.00,12451.00,0.00,102556.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,3818.00
00:28:17,43.04,0.00,2.53,0.51,0.00,53.92,153.00,1984.00,56.00,13.33,0.02,0.16,0.10,1.60,153.00,147.00,6.00,1984.00,56.00,1,733,2.69,2.29,1.38,0,2127520,5744520,72.97,15164,3227308,4843556,61.53,2854944,2694140,4304,lo,166.00,166.00,2567.69,2567.69,0.00,0.00,0.00,0.00,992.00,28.00,6391.00,0.00,221699.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,2844.00
00:28:18,51.13,0.00,1.25,0.25,0.00,47.37,50.00,872.00,16.00,17.76,0.02,0.40,0.32,1.60,50.00,48.00,2.00,872.00,16.00,4,733,2.69,2.29,1.38,0,2118608,5753432,73.09,15164,3227844,4871932,61.89,2868360,2691556,4320,lo,38.00,38.00,5.68,5.68,0.00,0.00,0.00,0.00,436.00,8.00,6208.00,0.00,1845.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4455.00
00:28:19,49.12,0.00,1.76,0.76,0.00,48.36,105.00,640.00,472.00,10.59,0.06,0.57,0.50,5.20,105.00,48.00,57.00,640.00,472.00,0,736,2.69,2.29,1.38,0,2100820,5771220,73.31,15164,3236144,4888084,62.09,2879408,2697608,12300,lo,695.00,695.00,7772.58,7772.58,0.00,0.00,0.00,0.00,320.00,236.00,3362.00,0.00,3206.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,54.00,6805.00
00:28:20,6.25,0.00,2.00,0.75,0.00,91.00,80.00,0.00,672.00,8.40,0.04,0.45,0.45,3.60,80.00,0.00,80.00,0.00,672.00,0,736,2.69,2.29,1.38,0,2090308,5781732,73.45,15164,3243192,4888084,62.09,2883064,2704788,19348,lo,812.00,812.00,7482.23,7482.23,0.00,0.00,0.00,0.00,0.00,336.00,2110.00,0.00,3928.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,80.00,6158.00
