timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:11:42,24.97,0.00,0.50,0.38,0.00,74.15,58.00,0.00,1544.00,26.62,0.05,0.90,0.69,4.00,58.00,0.00,58.00,0.00,1544.00,2,888,2.39,2.63,1.95,0,27398336,5073744,15.62,96908,1578512,7540196,23.22,3598764,1228420,10704,lo,29.00,29.00,3.45,3.45,0.00,0.00,0.00,0.00,0.00,772.00,6266.00,0.00,293.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5097.00
13:11:43,26.12,0.00,3.62,0.00,0.00,70.25,10.00,0.00,248.00,24.80,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,248.00,4,911,2.39,2.63,1.95,0,27208756,5263324,16.21,96908,1611300,8112796,24.98,3749620,1259680,43444,lo,21.00,21.00,2.36,2.36,0.00,0.00,0.00,0.00,0.00,124.00,41187.00,0.00,2898.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.00,5405.00
13:11:44,32.96,0.00,2.50,0.00,0.00,64.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,912,2.39,2.63,1.95,0,27069484,5402596,16.64,96908,1640112,8112796,24.98,3853728,1287864,72260,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,26349.00,0.00,533.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,5026.00
13:11:45,25.09,0.00,1.00,0.00,0.00,73.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,918,2.39,2.63,1.95,0,27030576,5441504,16.76,96908,1640116,8031604,24.73,3891724,1287816,72276,lo,131.00,131.00,30.20,30.20,0.00,0.00,0.00,0.00,0.00,0.00,10747.00,0.00,1430.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,4228.00
13:11:46,17.58,0.00,2.12,0.12,0.00,80.17,25.00,168.00,192.00,14.40,0.02,0.64,0.64,1.60,25.00,9.00,16.00,168.00,192.00,2,891,2.20,2.59,1.94,0,27372336,5099744,15.71,96908,1578872,7596836,23.39,3623592,1228484,10952,lo,109.00,109.00,34.11,34.11,0.00,0.00,0.00,0.00,84.00,96.00,5565.00,0.00,91781.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,3934.00
13:11:47,20.97,0.00,1.37,0.00,0.00,77.65,20.00,0.00,168.00,8.40,0.01,0.60,0.60,1.20,20.00,0.00,20.00,0.00,168.00,1,891,2.20,2.59,1.94,0,27350836,5121244,15.77,96908,1596232,7596836,23.39,3629984,1244892,28336,lo,745.00,745.00,17412.93,17412.93,0.00,0.00,0.00,0.00,0.00,84.00,1605.00,0.00,3877.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,7198.00
13:11:48,15.16,0.00,1.75,0.13,0.00,82.96,8.00,752.00,24.00,97.00,0.00,0.50,0.50,0.40,8.00,5.00,3.00,752.00,24.00,3,922,2.20,2.59,1.94,0,27251324,5220756,16.08,96908,1614148,8252956,25.42,3710196,1261612,45860,lo,719.00,719.00,17886.61,17886.61,0.00,0.00,0.00,0.00,376.00,12.00,25584.00,2.00,5295.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,108.00,7334.00
13:11:49,31.29,0.00,1.25,0.00,0.00,67.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,925,2.20,2.59,1.94,0,27106264,5365816,16.52,96908,1614144,8251412,25.41,3854844,1261404,45856,lo,49.00,49.00,6.17,6.17,0.00,0.00,0.00,0.00,0.00,0.00,36663.00,0.00,744.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,4985.00
13:11:50,37.84,0.00,2.26,0.00,0.00,59.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,937,2.20,2.59,1.94,0,26899240,5572840,17.16,96908,1614152,8456816,26.04,4062036,1261400,45864,lo,35.00,35.00,4.34,4.34,0.00,0.00,0.00,0.00,0.00,0.00,54018.00,0.00,2222.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,4461.00
13:11:51,28.68,0.00,0.75,0.00,0.00,70.57,4.00,0.00,32.00,8.00,0.01,2.00,2.00,0.80,4.00,0.00,4.00,0.00,32.00,1,985,2.34,2.61,1.96,0,26877392,5594688,17.23,96908,1614392,8522244,26.24,4082956,1261604,46104,lo,83.00,83.00,233.69,233.69,0.00,0.00,0.00,0.00,0.00,16.00,4958.00,0.00,434.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.00,3605.00
