timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
01:37:55,2.50,0.00,0.38,0.38,0.00,96.75,116.00,0.00,34264.00,295.38,1.32,11.41,0.52,6.00,116.00,0.00,116.00,0.00,34264.00,3,881,1.92,1.67,1.65,0,25223352,7248728,22.32,81728,3324612,7743476,23.85,4745268,2202252,220108,lo,80.00,80.00,22.12,22.12,0.00,0.00,0.00,0.00,0.00,17132.00,735.00,0.00,1311.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2942.00
01:37:56,15.00,0.00,2.00,0.12,0.00,82.88,13.00,0.00,176.00,13.54,0.01,0.62,0.62,0.80,13.00,0.00,13.00,0.00,176.00,15,881,1.92,1.67,1.65,0,25595384,6876696,21.18,81728,3324616,7676420,23.64,4376280,2202272,220300,lo,63.00,63.00,7.96,7.96,0.00,0.00,0.00,0.00,0.00,88.00,29165.00,0.00,118736.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,93.00,6840.00
01:37:57,39.70,0.00,1.50,0.00,0.00,58.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,874,1.92,1.67,1.65,0,25429280,7042800,21.69,81728,3324788,7733676,23.82,4542792,2202436,220472,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,41836.00,0.00,472.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,5364.00
01:37:58,28.14,0.00,0.87,0.37,0.00,70.61,130.00,0.00,3152.00,24.25,0.08,0.58,0.52,6.80,130.00,0.00,130.00,0.00,3152.00,3,843,1.92,1.67,1.65,0,25378452,7093628,21.85,82012,3324788,7561232,23.29,4593688,2202236,220440,lo,7.00,7.00,0.60,0.60,0.00,0.00,0.00,0.00,0.00,1576.00,13048.00,0.00,651.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,5035.00
01:37:59,40.80,0.00,1.37,0.00,0.00,57.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,847,1.93,1.68,1.65,0,25447316,7024764,21.63,82012,3207736,7581024,23.35,4635700,2091876,120256,lo,6.00,6.00,3.42,3.42,0.00,0.00,0.00,0.00,0.00,0.00,16404.00,0.00,33985.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4971.00
01:38:00,18.02,0.00,0.25,0.00,0.00,81.73,12.00,0.00,248.00,20.67,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00,248.00,2,848,1.93,1.68,1.65,0,25431884,7040196,21.68,82012,3207672,7643688,23.54,4650576,2091700,119996,lo,29.00,29.00,3.61,3.61,0.00,0.00,0.00,0.00,0.00,124.00,5332.00,0.00,2129.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2370.00
01:38:01,22.68,0.00,1.25,0.00,0.00,76.07,2.00,0.00,72.00,36.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,72.00,5,848,1.93,1.68,1.65,0,25887900,6584180,20.28,82012,3207244,6847444,21.09,4196776,2091704,119508,lo,45.00,45.00,5.64,5.64,0.00,0.00,0.00,0.00,0.00,36.00,8304.00,0.00,122316.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,5421.00
01:38:02,39.45,0.00,1.51,0.25,0.00,58.79,81.00,0.00,680.00,8.40,0.06,0.79,0.74,6.00,80.00,0.00,80.00,0.00,672.00,2,847,1.93,1.68,1.65,0,25868812,6603268,20.34,82012,3194680,6903412,21.26,4225448,2081956,106984,lo,833.00,833.00,8814.10,8814.10,0.00,0.00,0.00,0.00,0.00,344.00,9394.00,0.00,8899.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,77.00,11582.00
01:38:03,7.76,0.00,2.13,1.00,0.00,89.11,170.00,0.00,1424.00,8.38,0.12,0.73,0.73,12.40,171.00,0.00,171.00,0.00,1432.00,3,857,1.93,1.68,1.65,0,25822468,6649612,20.48,82012,3240448,6903412,21.26,4228864,2125644,152760,lo,3135.00,3135.00,45328.02,45328.02,0.00,0.00,0.00,0.00,0.00,708.00,1936.00,0.00,13953.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,171.00,15781.00
01:38:04,13.65,0.00,2.65,1.39,0.00,82.30,216.00,0.00,1800.00,8.33,0.14,0.67,0.67,14.40,215.00,0.00,215.00,0.00,1792.00,2,881,1.94,1.68,1.65,0,25753412,6718668,20.69,82012,3302608,6903412,21.26,4237152,2183732,214920,lo,4741.00,4741.00,62992.40,62992.40,0.00,0.00,0.00,0.00,0.00,900.00,3653.00,0.00,18821.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,213.00,21331.00
