timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
15:07:40,86.93,0.00,3.77,2.26,0.00,7.04,308.00,0.00,9600.00,31.17,0.20,0.65,0.62,19.20,301.00,0.00,301.00,0.00,9400.00,3,833,3.40,3.68,3.57,1,2529000,13600576,84.32,144132,9785924,6392840,39.63,4589364,8523176,77552,lo,84.00,84.00,10.44,10.44,0.00,0.00,0.00,0.00,0.00,4800.00,26271.00,0.00,493.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,5946.00
15:07:41,68.35,0.00,1.52,4.56,0.00,25.57,307.00,0.00,5160.00,16.81,0.22,0.72,0.59,18.00,314.00,0.00,314.00,0.00,5360.00,4,839,3.40,3.68,3.57,0,2450164,13679412,84.81,144232,9786992,6409504,39.74,4668244,8523452,77680,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,2580.00,25755.00,0.00,6224.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4058.00
15:07:42,71.18,0.00,1.50,3.01,0.00,24.31,262.00,0.00,6264.00,23.91,0.13,0.50,0.49,12.80,256.00,0.00,256.00,0.00,6128.00,0,836,3.40,3.68,3.57,1,2438556,13691020,84.88,144296,9787932,6511844,40.37,4678988,8523844,78408,lo,6.00,6.00,0.95,0.95,0.00,0.00,0.00,0.00,0.00,3120.00,2806.00,0.00,516.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4496.00
15:07:43,51.61,0.00,0.99,8.19,0.00,39.21,438.00,0.00,10304.00,23.53,0.34,0.77,0.70,30.80,444.00,0.00,444.00,0.00,10440.00,1,837,3.40,3.68,3.57,0,2475332,13654244,84.65,144508,9788800,6527824,40.47,4641080,8523624,78684,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,5164.00,1852.00,0.00,11821.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,4945.00
15:07:44,48.24,0.00,1.01,0.00,0.00,50.75,4.00,0.00,32.00,8.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,32.00,1,839,3.40,3.68,3.57,0,2459580,13669996,84.75,144508,9788984,6543744,40.57,4657576,8523700,78320,lo,49.00,49.00,6.37,6.37,0.00,0.00,0.00,0.00,0.00,16.00,5482.00,0.00,1533.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,2716.00
15:07:45,45.78,0.00,1.53,0.00,0.00,52.69,5.00,0.00,48.00,9.60,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,48.00,2,839,3.21,3.63,3.55,0,2443948,13685628,84.85,144508,9788984,6559588,40.67,4673676,8523696,78320,lo,9.00,9.00,1.32,1.32,0.00,0.00,0.00,0.00,0.00,24.00,4079.00,0.00,292.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,6246.00
15:07:46,71.14,0.00,1.27,0.25,0.00,27.34,183.00,0.00,2824.00,15.43,0.15,0.83,0.17,3.20,183.00,0.00,183.00,0.00,2824.00,4,839,3.21,3.63,3.55,0,2414064,13715512,85.03,144540,9789000,6623760,41.07,4703104,8523656,77568,lo,56.00,56.00,8.26,8.26,0.00,0.00,0.00,0.00,0.00,1412.00,9174.00,0.00,1764.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3448.00
15:07:47,58.29,0.00,5.53,1.26,0.00,34.92,169.00,0.00,86136.00,509.68,2.64,13.85,0.50,8.40,156.00,0.00,156.00,0.00,79480.00,0,844,3.21,3.63,3.55,1,2323712,13805864,85.59,144540,9865560,6677960,41.40,4754556,8561884,111880,lo,2031.00,2031.00,76750.13,76750.13,0.00,0.00,0.00,0.00,0.00,54332.00,3361.00,0.00,13188.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,16173.00
15:07:48,61.15,0.00,4.26,1.75,0.00,32.83,133.00,0.00,67336.00,506.29,1.84,16.06,0.48,6.40,146.00,0.00,146.00,0.00,73992.00,3,847,3.21,3.63,3.55,0,2089408,14040168,87.05,144540,9942368,6882716,42.67,4951056,8600328,154024,lo,55.00,55.00,43.73,43.73,0.00,0.00,0.00,0.00,0.00,22404.00,40911.00,0.00,995.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,4913.00
15:07:49,75.13,0.00,1.76,0.00,0.00,23.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,854,3.21,3.63,3.55,0,2048220,14081356,87.30,144540,9942368,6882716,42.67,4991620,8600268,154024,lo,324.00,324.00,3960.91,3960.91,0.00,0.00,0.00,0.00,0.00,0.00,10231.00,0.00,303.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,4935.00
