timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:07:11,37.47,0.00,2.73,9.18,0.00,50.62,220.00,0.00,110344.00,501.56,13.75,67.22,2.27,50.00,222.00,0.00,222.00,0.00,111368.00,2,757,3.66,3.01,2.76,0,11088832,5040744,31.25,113736,2364704,5727244,35.51,2879496,1959432,154312,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,44932.00,30791.00,0.00,36096.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.00,4552.00
13:07:12,30.25,0.00,1.50,0.00,0.00,68.25,2.00,0.00,72.00,36.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,72.00,2,759,3.66,3.01,2.76,0,11174176,4955400,30.72,113736,2364704,5524520,34.25,2793688,1959432,154320,lo,20.00,20.00,2.15,2.15,0.00,0.00,0.00,0.00,0.00,36.00,17148.00,0.00,37243.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,47.00,2330.00
13:07:13,42.39,0.00,2.54,0.00,0.00,55.08,2.00,0.00,72.00,36.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,72.00,3,757,3.66,3.01,2.76,0,11073076,5056500,31.35,113736,2364704,5791708,35.91,2895728,1959424,154324,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,36.00,34531.00,0.00,8219.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,4780.00
13:07:14,60.15,0.00,2.28,0.00,0.00,37.56,11.00,0.00,1120.00,101.82,0.00,0.36,0.36,0.40,11.00,0.00,11.00,0.00,1120.00,5,801,3.68,3.03,2.76,0,10960080,5169496,32.05,113744,2364708,6096288,37.80,3007040,1959424,154512,lo,32.00,32.00,10.61,10.61,0.00,0.00,0.00,0.00,0.00,560.00,27710.00,0.00,535.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,43.00,4057.00
13:07:15,93.98,0.00,4.01,0.00,0.00,2.01,2.00,0.00,128.00,64.00,0.00,2.00,2.00,0.40,2.00,0.00,2.00,0.00,128.00,5,811,3.68,3.03,2.76,0,10787188,5342388,33.12,113744,2364748,6245776,38.72,3180048,1959452,154580,lo,6.00,6.00,0.94,0.94,0.00,0.00,0.00,0.00,0.00,64.00,46645.00,0.00,2738.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,4781.00
13:07:16,80.25,0.00,2.53,0.00,0.00,17.22,64.00,0.00,1320.00,20.62,0.07,1.06,0.06,0.40,64.00,0.00,64.00,0.00,1320.00,1,823,3.68,3.03,2.76,0,10693764,5435812,33.70,113744,2364812,6388744,39.61,3272912,1959460,153508,lo,29.00,29.00,7.34,7.34,0.00,0.00,0.00,0.00,0.00,660.00,23921.00,0.00,450.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,3788.00
13:07:17,55.75,0.00,6.00,8.00,0.00,30.25,239.00,8.00,121856.00,509.89,10.39,39.16,1.32,31.60,239.00,1.00,238.00,8.00,121856.00,1,838,3.68,3.03,2.76,1,10483032,5646544,35.01,113748,2441764,6461452,40.06,3442620,1997992,154108,lo,2094.00,2094.00,76753.95,76753.95,0.00,0.00,0.00,0.00,4.00,71680.00,36007.00,0.00,16485.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.00,15431.00
13:07:18,54.41,0.00,4.53,0.00,0.00,41.06,63.00,0.00,31496.00,499.94,3.34,69.33,2.16,13.60,63.00,0.00,63.00,0.00,31496.00,3,844,3.68,3.03,2.76,0,10264320,5865256,36.36,113748,2518120,6619864,41.04,3621744,2036064,230132,lo,71.00,71.00,32.42,32.42,0.00,0.00,0.00,0.00,0.00,4996.00,38952.00,0.00,3522.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,4201.00
13:07:19,80.31,0.00,3.07,0.00,0.00,16.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12,858,4.27,3.16,2.81,0,10199632,5929944,36.76,113748,2518128,6635664,41.14,3686220,2036040,230148,lo,919.00,919.00,677.11,677.11,0.00,0.00,0.00,0.00,0.00,0.00,16600.00,0.00,491.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.00,9543.00
13:07:20,94.15,0.00,2.04,0.00,0.00,3.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,858,4.27,3.16,2.81,0,10174164,5955412,36.92,113748,2518376,6651456,41.24,3711424,2036048,230396,lo,988.00,988.00,476.34,476.34,0.00,0.00,0.00,0.00,0.00,0.00,6880.00,0.00,890.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,6433.00
