timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:16:27,52.26,0.00,3.02,0.25,0.00,44.47,59.00,0.00,856.00,14.51,0.00,0.07,0.07,0.40,59.00,0.00,59.00,0.00,856.00,2,771,3.10,3.29,3.06,0,10149852,5979724,37.07,114332,3279484,5734372,35.55,2943764,2807392,154248,lo,6.00,6.00,0.94,0.94,0.00,0.00,0.00,0.00,0.00,428.00,31595.00,0.00,1088.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,4443.00
13:16:28,22.89,0.00,3.48,0.00,0.00,73.63,4.00,0.00,144.00,36.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,144.00,4,767,3.10,3.29,3.06,0,10231004,5898572,36.57,114332,3279452,5612052,34.79,2861968,2807360,154060,lo,17.00,17.00,1.58,1.58,0.00,0.00,0.00,0.00,0.00,72.00,26834.00,0.00,45002.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,60.00,3742.00
13:16:29,50.87,0.00,2.49,0.00,0.00,46.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,781,3.10,3.29,3.06,0,10120608,6008968,37.25,114332,3279488,5701384,35.35,2971872,2807388,154100,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,28317.00,0.00,692.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,3563.00
13:16:30,76.19,0.00,4.01,0.00,0.00,19.80,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,6,820,3.25,3.32,3.07,0,9927060,6202516,38.45,114332,3279468,6049996,37.51,3164732,2807352,154080,lo,38.00,38.00,11.39,11.39,0.00,0.00,0.00,0.00,0.00,4.00,50622.00,0.00,2141.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,47.00,4670.00
13:16:31,92.75,0.00,2.50,0.00,0.00,4.75,1.00,0.00,120.00,120.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,120.00,7,822,3.25,3.32,3.07,0,9817208,6312368,39.14,114332,3279532,6264580,38.84,3273768,2807360,154084,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,60.00,27849.00,0.00,427.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4785.00
13:16:32,76.08,0.00,3.82,0.00,0.00,20.10,9.00,0.00,600.00,66.67,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,600.00,3,846,3.25,3.32,3.07,0,9701564,6428012,39.85,114332,3279536,6383220,39.57,3388400,2807348,153796,lo,125.00,125.00,45.23,45.23,0.00,0.00,0.00,0.00,0.00,300.00,28935.00,0.00,495.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,4709.00
13:16:33,59.09,0.00,7.32,2.78,0.00,30.81,301.00,0.00,153352.00,509.48,4.06,13.48,0.48,14.40,301.00,0.00,301.00,0.00,153352.00,1,850,3.25,3.32,3.07,0,9409092,6720484,41.67,114336,3432772,6573996,40.76,3601468,2883964,230420,lo,2047.00,2047.00,76746.92,76746.92,0.00,0.00,0.00,0.00,0.00,76676.00,42233.00,0.00,19489.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,19734.00
13:16:34,78.89,0.00,1.76,0.00,0.00,19.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,860,3.25,3.32,3.07,0,9334804,6794772,42.13,114336,3432832,6573996,40.76,3675892,2883908,230432,lo,241.00,241.00,111.07,111.07,0.00,0.00,0.00,0.00,0.00,0.00,18763.00,0.00,453.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,4534.00
13:16:35,83.04,0.00,4.05,0.00,0.00,12.91,14.00,0.00,120.00,8.57,0.00,0.29,0.29,0.40,14.00,0.00,14.00,0.00,120.00,7,879,3.55,3.38,3.09,0,9272204,6857372,42.51,114336,3432992,6589848,40.86,3736856,2883908,230592,lo,517.00,517.00,278.84,278.84,0.00,0.00,0.00,0.00,0.00,84.00,16928.00,0.00,2044.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.00,9022.00
13:16:36,27.78,0.00,4.55,0.00,0.00,67.68,36.00,16.00,488.00,14.00,0.02,0.67,0.56,2.00,36.00,1.00,35.00,16.00,488.00,4,768,3.55,3.38,3.09,0,10151932,5977644,37.06,114336,3356340,5617188,34.83,2866932,2879384,230468,lo,279.00,279.00,63.91,63.91,0.00,0.00,0.00,0.00,8.00,220.00,25765.00,0.00,241264.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,122.00,6567.00
