timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
17:56:40,85.71,0.00,3.94,0.00,0.00,10.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,701,2.11,2.07,2.11,0,2720200,13409640,83.14,144620,10370204,5167888,32.04,4017640,8920056,216,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,20474.00,0.00,428.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,1961.00
17:56:41,48.22,0.00,5.08,0.00,0.00,46.70,4.00,0.00,144.00,36.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,144.00,3,700,2.11,2.07,2.11,0,2810720,13319120,82.57,144620,10370204,5060712,31.37,3927784,8920048,220,lo,18.00,18.00,1.63,1.63,0.00,0.00,0.00,0.00,0.00,72.00,24970.00,0.00,44172.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,54.00,2627.00
17:56:42,84.92,0.00,3.52,0.00,0.00,11.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,701,2.11,2.07,2.11,0,2722936,13406904,83.12,144620,10370208,5219240,32.36,4015424,8919840,224,lo,9.00,9.00,2.26,2.26,0.00,0.00,0.00,0.00,0.00,0.00,23822.00,0.00,618.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,1993.00
17:56:43,87.44,0.00,3.52,0.00,0.00,9.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,729,2.11,2.07,2.11,0,2650152,13479688,83.57,144620,10370212,5648840,35.02,4086916,8919836,228,lo,14.00,14.00,1.20,1.20,0.00,0.00,0.00,0.00,0.00,0.00,16143.00,0.00,367.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,2342.00
17:56:44,95.48,0.00,4.52,0.00,0.00,0.00,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,4,748,2.11,2.07,2.11,0,2517160,13612680,84.39,144620,10370248,5712008,35.41,4219192,8919840,264,lo,24.00,24.00,9.97,9.97,0.00,0.00,0.00,0.00,0.00,4.00,37737.00,0.00,2738.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,2716.00
17:56:45,95.00,0.00,4.50,0.00,0.00,0.50,13.00,0.00,1392.00,107.08,0.01,0.92,0.31,0.40,13.00,0.00,13.00,0.00,1392.00,4,750,2.18,2.08,2.12,0,2447948,13681892,84.82,144620,10370312,5930620,36.77,4288468,8919844,816,lo,15.00,15.00,1.67,1.67,0.00,0.00,0.00,0.00,0.00,60.00,17400.00,0.00,311.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,3477.00
17:56:46,93.47,0.00,3.52,0.00,0.00,3.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,757,2.18,2.08,2.12,0,2389896,13739944,85.18,144620,10370316,5930620,36.77,4346412,8919752,852,lo,15.00,15.00,6.30,6.30,0.00,0.00,0.00,0.00,0.00,636.00,15070.00,0.00,424.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,3169.00
17:56:47,70.20,0.00,12.63,3.54,0.00,13.64,181.00,0.00,92672.00,512.00,2.58,12.38,0.44,8.00,269.00,0.00,269.00,0.00,137728.00,0,769,2.18,2.08,2.12,1,2208012,13921828,86.31,144620,10446944,6097196,37.80,4488244,8958048,2756,lo,2169.00,2169.00,76744.59,76744.59,0.00,0.00,0.00,0.00,0.00,46080.00,26506.00,0.00,13845.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,13828.00
17:56:48,81.00,0.00,6.50,2.00,0.00,10.50,120.00,0.00,60680.00,505.67,1.42,14.63,0.47,5.60,32.00,0.00,32.00,0.00,15624.00,3,772,2.18,2.08,2.12,0,1966288,14163552,87.81,144620,10523612,6366240,39.47,4691816,8996504,77472,lo,55.00,55.00,30.65,30.65,0.00,0.00,0.00,0.00,0.00,30596.00,42223.00,0.00,882.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,2898.00
17:56:49,96.97,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,778,2.18,2.08,2.12,0,1935892,14193948,88.00,144620,10523612,6366240,39.47,4721548,8996444,77476,lo,1104.00,1104.00,35774.25,35774.25,0.00,0.00,0.00,0.00,0.00,0.00,8340.00,0.00,1068.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,3067.00
