timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
14:18:07,96.00,0.00,3.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,760,2.43,2.80,2.93,0,7287796,8842044,54.82,147864,5886808,5506084,34.14,3309840,5241092,77392,lo,6.00,6.00,0.95,0.95,0.00,0.00,0.00,0.00,0.00,0.00,16057.00,0.00,425.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,2984.00
14:18:08,97.99,0.00,2.01,0.00,0.00,0.00,37.00,0.00,3504.00,94.70,0.02,0.54,0.54,2.00,37.00,0.00,37.00,0.00,3504.00,4,764,2.43,2.80,2.93,0,7255120,8874720,55.02,147876,5887852,5537740,34.33,3341436,5242004,77472,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,1752.00,7934.00,0.00,295.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,1827.00
14:18:09,95.48,0.00,4.02,0.00,0.00,0.50,578.00,0.00,10968.00,18.98,0.30,0.52,0.44,25.20,578.00,0.00,578.00,0.00,10968.00,4,772,2.64,2.84,2.94,0,7202788,8927052,55.34,148048,5888496,5628488,34.89,3392728,5242464,77544,lo,41.00,41.00,4.21,4.21,0.00,0.00,0.00,0.00,0.00,5484.00,14427.00,0.00,1808.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,4287.00
14:18:10,93.47,0.00,3.52,0.00,0.00,3.02,6.00,0.00,248.00,41.33,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,248.00,2,778,2.64,2.84,2.94,0,7137916,8991924,55.75,148048,5888676,5628488,34.89,3457440,5242580,77504,lo,55.00,55.00,7.49,7.49,0.00,0.00,0.00,0.00,0.00,124.00,16109.00,0.00,315.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,3093.00
14:18:11,87.76,0.00,1.02,3.06,0.00,8.16,211.00,0.00,4320.00,20.47,0.19,0.89,0.38,8.00,209.00,0.00,209.00,0.00,4296.00,2,776,2.64,2.84,2.94,0,7121688,9008152,55.85,148084,5889328,5732348,35.54,3473384,5242716,77604,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,2068.00,4372.00,0.00,379.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2424.00
14:18:12,84.34,0.00,1.01,9.60,0.00,5.05,434.00,0.00,9848.00,22.69,0.22,0.51,0.50,21.60,436.00,0.00,436.00,0.00,9872.00,1,776,2.64,2.84,2.94,1,7116760,9013080,55.88,148320,5890192,5732348,35.54,3477936,5242916,77936,lo,6.00,6.00,1.68,1.68,0.00,0.00,0.00,0.00,0.00,5016.00,1010.00,0.00,289.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4154.00
14:18:13,85.07,0.00,1.49,2.49,0.00,10.95,158.00,0.00,4152.00,26.28,0.08,0.53,0.38,6.00,158.00,0.00,158.00,0.00,4152.00,1,779,2.64,2.84,2.94,0,7109832,9020008,55.92,148416,5890592,5764024,35.74,3484508,5243040,77628,lo,15.00,15.00,1.70,1.70,0.00,0.00,0.00,0.00,0.00,2076.00,2542.00,0.00,1316.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,3186.00
14:18:14,87.88,0.00,3.03,0.00,0.00,9.09,4.00,0.00,32.00,8.00,0.00,1.00,1.00,0.40,4.00,0.00,4.00,0.00,32.00,3,779,2.67,2.84,2.95,0,7089380,9040460,56.05,148416,5890680,5764024,35.74,3505336,5243032,77644,lo,40.00,40.00,5.62,5.62,0.00,0.00,0.00,0.00,0.00,16.00,6673.00,0.00,1664.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,1985.00
14:18:15,89.55,0.00,2.49,0.00,0.00,7.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,779,2.67,2.84,2.95,0,7083072,9046768,56.09,148416,5890680,5764024,35.74,3511272,5243032,77644,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,3913.00,0.00,2719.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3561.00
14:18:16,92.42,0.00,2.53,0.00,0.00,5.05,63.00,0.00,1272.00,20.19,0.02,0.38,0.38,2.40,63.00,0.00,63.00,0.00,1272.00,3,779,2.67,2.84,2.95,0,7072764,9057076,56.15,148460,5890640,5795588,35.93,3521844,5243036,77648,lo,61.00,61.00,8.71,8.71,0.00,0.00,0.00,0.00,0.00,636.00,2769.00,0.00,289.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3177.00
