timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:25:56,55.28,0.00,3.27,0.00,0.00,41.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,775,2.14,2.95,2.87,0,25688332,6784280,20.89,114872,3732520,6769308,20.85,3281076,3230220,95596,lo,35.00,35.00,3.81,3.81,0.00,0.00,0.00,0.00,0.00,0.00,42258.00,0.00,126333.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,3765.00
13:25:57,21.34,0.00,5.96,0.00,0.00,72.70,6.00,0.00,112.00,18.67,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,112.00,1,774,2.14,2.95,2.87,0,25814468,6658144,20.50,114872,3695524,6672432,20.55,3187664,3197036,113148,lo,67.00,67.00,488.14,488.14,0.00,0.00,0.00,0.00,0.00,56.00,34593.00,0.00,68724.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,57.00,3728.00
13:25:58,28.25,0.00,10.25,0.25,0.00,61.25,41.00,0.00,20648.00,503.61,0.32,7.80,0.39,1.60,41.00,0.00,41.00,0.00,20648.00,1,774,2.14,2.95,2.87,0,25583420,6889192,21.22,114872,3771352,6704864,20.65,3325028,3270540,178564,lo,6.00,6.00,2.03,2.03,0.00,0.00,0.00,0.00,0.00,10324.00,33747.00,0.00,414.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,12749.00
13:25:59,19.10,0.00,7.79,0.00,0.00,73.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,774,2.14,2.95,2.87,0,25436728,7035884,21.67,116416,3862112,6704864,20.65,3359456,3358876,269116,lo,6.00,6.00,0.95,0.95,0.00,0.00,0.00,0.00,0.00,0.00,7499.00,0.00,395.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1690.00
13:26:00,49.75,0.00,2.51,0.00,0.00,47.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,777,2.05,2.91,2.86,0,25377504,7095108,21.85,116644,3869904,6790288,20.91,3409780,3366324,277116,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,13010.00,0.00,643.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,3269.00
13:26:01,26.57,0.00,1.25,0.00,0.00,72.18,27.00,0.00,224.00,8.30,0.01,0.44,0.44,1.20,27.00,0.00,27.00,0.00,224.00,0,782,2.05,2.91,2.86,0,25364848,7107764,21.89,116644,3869924,6636236,20.44,3421928,3366280,277136,lo,231.00,231.00,29.16,29.16,0.00,0.00,0.00,0.00,0.00,112.00,3565.00,0.00,960.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.00,3227.00
13:26:02,2.01,0.00,0.75,0.25,0.00,96.99,18.00,0.00,144.00,8.00,0.00,0.22,0.22,0.40,18.00,0.00,18.00,0.00,144.00,0,782,2.05,2.91,2.86,0,25364372,7108240,21.89,116644,3870024,6636236,20.44,3422188,3366368,277248,lo,150.00,150.00,19.65,19.65,0.00,0.00,0.00,0.00,0.00,72.00,409.00,0.00,635.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,2616.00
13:26:03,5.76,0.00,1.00,0.75,0.00,92.48,129.00,0.00,41808.00,324.09,1.14,8.84,0.50,6.40,129.00,0.00,129.00,0.00,41808.00,0,782,2.05,2.91,2.86,0,25363000,7109612,21.89,116644,3870100,6636236,20.44,3423268,3366428,256864,lo,345.00,345.00,45.46,45.46,0.00,0.00,0.00,0.00,0.00,20904.00,868.00,0.00,1164.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,60.00,4132.00
13:26:04,50.63,0.00,4.28,0.50,0.00,44.58,27.00,0.00,224.00,8.30,0.01,0.30,0.30,0.80,27.00,0.00,27.00,0.00,224.00,1,781,2.05,2.91,2.86,0,25280112,7192500,22.15,116644,3922104,6636236,20.44,3455768,3415056,308620,lo,2572.00,2572.00,52129.86,52129.86,0.00,0.00,0.00,0.00,0.00,112.00,8212.00,0.00,13018.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,9119.00
13:26:05,32.66,0.00,4.02,0.00,0.00,63.32,3.00,0.00,24.00,8.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,24.00,4,807,2.04,2.90,2.85,0,25147820,7324792,22.56,116708,3973972,7245080,22.31,3537684,3464368,360552,lo,1580.00,1580.00,52045.66,52045.66,0.00,0.00,0.00,0.00,0.00,12.00,25331.00,0.00,5694.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,71.00,5175.00
