timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
14:43:31,45.98,0.00,2.26,0.00,0.00,51.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,815,2.34,2.80,2.97,0,20620396,11852216,36.50,135964,7948600,7628768,23.49,4287964,7156944,58728,lo,17.00,17.00,1.62,1.62,0.00,0.00,0.00,0.00,0.00,0.00,37770.00,0.00,481.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,3185.00
14:43:32,23.81,0.00,6.02,0.00,0.00,70.18,3.00,0.00,136.00,45.33,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,136.00,1,775,2.34,2.80,2.97,0,21128416,11344196,34.93,135964,7968084,6660680,20.51,3761264,7176292,78232,lo,26.00,26.00,2.71,2.71,0.00,0.00,0.00,0.00,0.00,68.00,38411.00,0.00,167000.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,58.00,3623.00
14:43:33,28.29,0.00,10.92,0.25,0.00,60.55,2.00,0.00,16.00,8.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,16.00,1,778,2.34,2.80,2.97,0,20970432,11502180,35.42,135964,7985940,6695304,20.62,3887428,7195628,101660,lo,43.00,43.00,54.36,54.36,0.00,0.00,0.00,0.00,0.00,8.00,30604.00,0.00,15210.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2204.00
14:43:34,18.09,0.00,9.55,0.00,0.00,72.36,2.00,0.00,16.00,8.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,16.00,1,777,2.34,2.80,2.97,0,20827664,11644948,35.86,136336,8077168,6695304,20.62,3920432,7284048,193112,lo,11.00,11.00,1.76,1.76,0.00,0.00,0.00,0.00,0.00,8.00,7549.00,0.00,418.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2597.00
14:43:35,54.66,0.00,2.02,0.00,0.00,43.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,780,2.32,2.78,2.97,0,20773724,11698888,36.03,136340,8082524,6745460,20.77,3967808,7288960,198248,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,12607.00,0.00,654.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,4711.00
14:43:36,28.24,0.00,2.04,1.02,0.00,68.70,129.00,0.00,9456.00,73.30,0.92,7.19,1.21,15.60,129.00,0.00,129.00,0.00,9456.00,0,785,2.32,2.78,2.97,0,20759884,11712728,36.07,136340,8082716,6605104,20.34,3981220,7289096,194156,lo,805.00,805.00,105.98,105.98,0.00,0.00,0.00,0.00,0.00,4728.00,4810.00,0.00,2392.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,144.00,8442.00
14:43:37,7.85,0.00,1.01,1.27,0.00,89.87,90.00,0.00,752.00,8.36,0.06,0.71,0.71,6.40,90.00,0.00,90.00,0.00,752.00,4,783,2.32,2.78,2.97,0,20758992,11713620,36.07,136340,8083020,6605104,20.34,3981316,7289332,194460,lo,659.00,659.00,87.31,87.31,0.00,0.00,0.00,0.00,0.00,376.00,1541.00,0.00,1972.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,116.00,6043.00
14:43:38,56.74,0.00,7.12,0.25,0.00,35.88,54.00,0.00,11024.00,204.15,0.34,3.63,0.67,3.60,49.00,0.00,49.00,0.00,8464.00,2,804,2.32,2.78,2.97,1,20607736,11864876,36.54,136340,8186964,7220664,22.24,4030980,7387068,298412,lo,4180.00,4180.00,104198.79,104198.79,0.00,0.00,0.00,0.00,0.00,13196.00,15369.00,0.00,15771.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,83.00,11043.00
14:43:39,59.85,0.00,2.99,0.25,0.00,36.91,41.00,0.00,19824.00,483.51,0.36,12.39,0.39,1.60,46.00,0.00,46.00,0.00,22384.00,3,810,2.32,2.78,2.97,0,20484624,11987988,36.92,136344,8186720,7302756,22.49,4154108,7386900,313540,lo,18.00,18.00,4.10,4.10,0.00,0.00,0.00,0.00,0.00,2228.00,34293.00,0.00,3727.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,4988.00
14:43:40,54.41,0.00,1.76,0.00,0.00,43.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,822,2.37,2.79,2.97,0,20379312,12093300,37.24,136344,8186716,7293388,22.46,4259744,7386888,313536,lo,60.00,60.00,8.22,8.22,0.00,0.00,0.00,0.00,0.00,0.00,26047.00,0.00,479.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,3020.00
14:43:41,70.53,0.00,3.78,0.50,0.00,25.19,233.00,0.00,30352.00,130.27,0.83,3.55,0.12,2.80,233.00,0.00,233.00,0.00,30352.00,4,827,2.37,2.79,2.97,0,20195216,12277396,37.81,136344,8186724,7430788,22.88,4443256,7386864,298092,lo,9.00,9.00,1.48,1.48,0.00,0.00,0.00,0.00,0.00,15176.00,47664.00,0.00,2321.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,2912.00
14:43:42,38.69,0.00,2.01,0.00,0.00,59.30,5.00,0.00,40.00,8.00,0.00,0.80,0.80,0.40,5.00,0.00,5.00,0.00,40.00,0,873,2.37,2.79,2.97,0,20868748,11603864,35.73,136344,7522540,7430788,22.88,4410692,6759240,298304,lo,74.00,74.00,130.59,130.59,0.00,0.00,0.00,0.00,0.00,20.00,3010.00,0.00,172524.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.00,2496.00
14:43:43,1.75,0.00,0.25,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,872,2.37,2.79,2.97,0,20866688,11605924,35.74,136344,7522544,7430788,22.88,4412944,6759244,298312,lo,21.00,21.00,2.95,2.95,0.00,0.00,0.00,0.00,0.00,0.00,581.00,0.00,295.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1321.00
14:43:44,56.85,0.00,3.30,0.00,0.00,39.85,2.00,0.00,16.00,8.00,0.00,2.00,2.00,0.40,2.00,0.00,2.00,0.00,16.00,3,910,2.37,2.79,2.97,0,20744184,11728428,36.12,136344,7522736,9077544,27.95,4535164,6759368,298488,lo,64.00,64.00,13.72,13.72,0.00,0.00,0.00,0.00,0.00,8.00,37667.00,0.00,4315.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,47.00,6136.00
14:43:45,90.66,0.00,3.79,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,919,2.50,2.81,2.97,0,20573564,11899048,36.64,136344,7522756,9217220,28.38,4704832,6759352,298508,lo,47.00,47.00,6.88,6.88,0.00,0.00,0.00,0.00,0.00,0.00,42931.00,0.00,583.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,5406.00
14:43:46,84.81,0.00,3.29,0.00,0.00,11.90,24.00,0.00,2264.00,94.33,0.01,0.33,0.33,0.80,24.00,0.00,24.00,0.00,2264.00,6,936,2.50,2.81,2.97,0,20398192,12074420,37.18,136344,7522996,9202184,28.34,4879076,6759596,297696,lo,112.00,112.00,28.99,28.99,0.00,0.00,0.00,0.00,0.00,1132.00,44422.00,0.00,954.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,4366.00
14:43:47,40.25,0.00,5.00,0.00,0.00,54.75,8.00,0.00,176.00,22.00,0.00,0.50,0.50,0.40,8.00,0.00,8.00,0.00,176.00,0,879,2.50,2.81,2.97,0,20862048,11610564,35.75,136344,7543492,7457532,22.97,4397076,6778748,318188,lo,960.00,960.00,20748.01,20748.01,0.00,0.00,0.00,0.00,0.00,88.00,39077.00,0.00,166886.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,42.00,6026.00
14:43:48,60.05,0.00,3.05,0.00,0.00,36.90,2.00,0.00,16.00,8.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,16.00,8,911,2.50,2.81,2.97,0,20724932,11747680,36.18,136344,7543620,9076808,27.95,4535424,6778892,318372,lo,72.00,72.00,13.03,13.03,0.00,0.00,0.00,0.00,0.00,8.00,39862.00,0.00,2854.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,46.00,6728.00
