timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
15:31:27,70.85,0.00,1.51,7.54,0.00,20.10,439.00,0.00,9776.00,22.27,0.36,0.81,0.70,30.80,439.00,0.00,439.00,0.00,9776.00,3,782,3.58,3.72,3.84,0,9667420,22805192,70.23,173472,18816936,6607240,20.35,4810204,17282788,195676,lo,6.00,6.00,1.17,1.17,0.00,0.00,0.00,0.00,0.00,4804.00,15995.00,0.00,7745.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4135.00
15:31:28,60.00,0.00,2.00,1.00,0.00,37.00,81.00,0.00,1904.00,23.51,0.06,0.74,0.59,4.80,81.00,0.00,81.00,0.00,1904.00,2,784,3.58,3.72,3.84,0,9654492,22818120,70.27,173488,18817200,6669076,20.54,4823800,17282800,195572,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,0.00,952.00,6325.00,0.00,3159.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,2440.00
15:31:29,51.39,0.00,1.52,0.51,0.00,46.58,75.00,0.00,2136.00,28.48,0.05,0.64,0.53,4.00,69.00,0.00,69.00,0.00,1952.00,5,786,3.58,3.72,3.84,0,9634248,22838364,70.33,173500,18817324,6669076,20.54,4844000,17282784,195552,lo,47.00,47.00,6.52,6.52,0.00,0.00,0.00,0.00,0.00,1200.00,4984.00,0.00,289.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,3427.00
15:31:30,58.29,0.00,2.01,0.75,0.00,38.94,131.00,0.00,46768.00,357.01,1.07,8.18,0.37,4.80,137.00,0.00,137.00,0.00,46952.00,5,792,3.58,3.72,3.84,0,9602728,22869884,70.43,173508,18817380,6750248,20.79,4875120,17282784,172004,lo,190.00,190.00,2753.41,2753.41,0.00,0.00,0.00,0.00,0.00,23252.00,8187.00,0.00,825.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,4394.00
15:31:31,45.73,0.00,4.02,0.00,0.00,50.25,19.00,0.00,160.00,8.42,0.00,0.21,0.21,0.40,19.00,0.00,19.00,0.00,160.00,3,814,3.58,3.72,3.84,0,9525180,22947432,70.67,173508,18852248,7303152,22.49,4918136,17315500,206896,lo,1343.00,1343.00,32070.61,32070.61,0.00,0.00,0.00,0.00,0.00,80.00,15899.00,0.00,6487.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,92.00,7752.00
15:31:32,58.44,0.00,2.52,0.00,0.00,39.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,815,3.53,3.70,3.84,0,9403164,23069448,71.04,173508,18852244,7383968,22.74,5040032,17315296,206892,lo,15.00,15.00,2.19,2.19,0.00,0.00,0.00,0.00,0.00,0.00,31062.00,0.00,505.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,4269.00
15:31:33,53.40,0.00,2.27,0.00,0.00,44.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,828,3.53,3.70,3.84,0,9320248,23152364,71.30,173508,18852248,7428032,22.87,5122592,17315292,206900,lo,63.00,63.00,8.04,8.04,0.00,0.00,0.00,0.00,0.00,0.00,21005.00,0.00,469.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,2934.00
15:31:34,78.41,0.00,4.22,0.00,0.00,17.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,836,3.53,3.70,3.84,0,9129676,23342936,71.88,173508,18852256,7585820,23.36,5312736,17315288,206908,lo,15.00,15.00,1.82,1.82,0.00,0.00,0.00,0.00,0.00,0.00,48953.00,0.00,2226.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.00,2735.00
15:31:35,37.69,0.00,1.01,2.01,0.00,59.30,336.00,0.00,110256.00,328.14,2.84,8.44,0.27,9.20,336.00,0.00,336.00,0.00,110256.00,0,877,3.53,3.70,3.84,0,9112912,23359700,71.94,173508,18852500,7649860,23.56,5328472,17315500,151684,lo,85.00,85.00,233.98,233.98,0.00,0.00,0.00,0.00,0.00,55128.00,2892.00,0.00,522.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,2515.00
15:31:36,2.26,0.00,0.25,0.00,0.00,97.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,875,3.53,3.70,3.84,0,9112200,23360412,71.94,173508,18852504,7649860,23.56,5328988,17315500,151660,lo,27.00,27.00,4.12,4.12,0.00,0.00,0.00,0.00,0.00,0.00,147.00,0.00,301.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1350.00
15:31:37,67.26,0.00,3.81,0.00,0.00,28.93,2.00,0.00,16.00,8.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,16.00,7,913,3.73,3.74,3.85,0,8984936,23487676,72.33,173512,18852756,8133448,25.05,5453936,17315648,151888,lo,66.00,66.00,36.22,36.22,0.00,0.00,0.00,0.00,0.00,8.00,37568.00,0.00,3335.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,48.00,6600.00
15:31:38,90.15,0.00,2.53,0.00,0.00,7.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,921,3.73,3.74,3.85,0,8894612,23578000,72.61,173512,18852764,8277652,25.49,5544432,17315632,151896,lo,48.00,48.00,7.59,7.59,0.00,0.00,0.00,0.00,0.00,0.00,22214.00,0.00,618.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,5107.00
15:31:39,90.43,0.00,3.02,0.00,0.00,6.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,933,3.73,3.74,3.85,0,8831456,23641156,72.80,173512,18853216,8243436,25.39,5606204,17316088,152368,lo,75.00,75.00,11.33,11.33,0.00,0.00,0.00,0.00,0.00,0.00,15957.00,0.00,737.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,4246.00
15:31:40,92.46,0.00,3.02,0.00,0.00,4.52,196.00,0.00,92144.00,470.12,2.14,10.92,0.43,8.40,196.00,0.00,196.00,0.00,92144.00,9,944,3.73,3.74,3.85,0,8725416,23747196,73.13,173512,18853940,8307000,25.58,5712184,17315560,107368,lo,511.00,511.00,12534.34,12534.34,0.00,0.00,0.00,0.00,0.00,46072.00,26142.00,0.00,491.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,4496.00
