timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
22:09:40,15.41,0.00,2.01,0.13,0.00,82.46,3.00,0.00,1360.00,453.33,0.01,2.67,1.33,0.40,134.00,0.00,134.00,0.00,2456.00,0,834,2.32,1.70,1.81,0,10368320,6063008,36.90,59552,2935948,5533788,33.68,3801352,2029824,236216,lo,86.00,86.00,562.88,562.88,0.00,0.00,0.00,0.00,0.00,764.00,14105.00,0.00,2021.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5727.00
22:09:41,36.01,0.00,1.00,0.00,0.00,62.99,39.00,0.00,232.00,5.95,0.02,0.51,0.51,2.00,4.00,0.00,4.00,0.00,120.00,1,822,2.32,1.70,1.81,0,10370372,6060956,36.89,59552,2935960,5533788,33.68,3798332,2029820,236244,lo,20.00,20.00,7.89,7.89,0.00,0.00,0.00,0.00,0.00,632.00,3501.00,0.00,48398.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,2498.00
22:09:42,24.56,0.00,1.25,0.62,0.00,73.57,27.00,0.00,1200.00,44.44,0.01,0.30,0.30,0.80,5.00,0.00,5.00,0.00,88.00,0,781,2.32,1.70,1.81,0,10739564,5691764,34.64,59552,2936000,5260196,32.01,3431376,2029840,236268,lo,131.00,131.00,28.40,28.40,0.00,0.00,0.00,0.00,0.00,4.00,43.00,0.00,1144.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,8005.00
22:09:43,34.92,0.00,0.75,0.00,0.00,64.32,2.00,0.00,8.00,4.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,24.00,3,767,2.32,1.70,1.81,0,10615240,5816088,35.40,59564,2936128,5339264,32.49,3558296,2030004,236440,lo,15.00,15.00,1.27,1.27,0.00,0.00,0.00,0.00,0.00,164.00,18242.00,0.00,110518.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,246.00,26498.00
22:09:44,17.88,0.00,0.50,0.00,0.00,81.62,36.00,0.00,328.00,9.11,0.04,1.00,0.89,3.20,506.00,0.00,506.00,0.00,2112.00,1,768,2.32,1.70,1.81,0,10620552,5810776,35.36,59796,2819024,5319808,32.38,3663188,1919308,119360,lo,6.00,6.00,3.42,3.42,0.00,0.00,0.00,0.00,0.00,4.00,37793.00,0.00,2655.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,164.00,13843.00
22:09:45,27.67,0.00,1.13,0.00,0.00,71.19,6.00,0.00,696.00,116.00,0.00,0.67,0.67,0.40,331.00,0.00,331.00,0.00,2192.00,1,776,2.29,1.70,1.81,0,10559932,5871396,35.73,59796,2819028,5398388,32.85,3725288,1919308,119312,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1572.00,23990.00,0.00,29850.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.00,5667.00
22:09:46,27.90,0.00,3.24,1.25,0.00,67.62,134.00,0.00,2456.00,18.33,0.08,0.57,0.51,6.80,79.00,0.00,79.00,0.00,1392.00,4,777,2.29,1.70,1.81,0,10999492,5431836,33.06,59796,2818412,4748780,28.90,3286644,1919212,118704,lo,49.00,49.00,5.49,5.49,0.00,0.00,0.00,0.00,0.00,60.00,20953.00,0.00,2371.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,5285.00
22:09:47,9.26,0.00,1.50,0.88,0.00,88.36,4.00,0.00,120.00,30.00,0.00,0.00,0.00,0.00,22.00,0.00,22.00,0.00,88.00,5,738,2.29,1.70,1.81,0,10999104,5432224,33.06,59796,2797856,4814356,29.30,3304884,1902424,98160,lo,77.00,77.00,241.03,241.03,0.00,0.00,0.00,0.00,0.00,44.00,5338.00,0.00,115081.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,427.00,18490.00
22:09:48,1.37,0.00,0.75,0.25,0.00,97.63,5.00,0.00,88.00,17.60,0.00,0.00,0.00,0.00,19.00,0.00,19.00,0.00,2432.00,4,740,2.29,1.70,1.81,0,10915364,5515964,33.57,59796,2867828,4814356,29.30,3321420,1967648,168424,lo,5098.00,5098.00,77384.16,77384.16,0.00,0.00,0.00,0.00,0.00,11.88,5434.65,0.00,5488.12,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,644.00,15269.00
22:09:49,2.38,0.00,0.25,0.00,0.00,97.38,6.00,0.00,24.00,4.00,0.00,0.67,0.67,0.40,1.00,0.00,1.00,0.00,8.00,0,742,2.29,1.70,1.81,0,10874936,5556392,33.82,59804,2892540,4814356,29.30,3339192,1991624,193028,lo,1765.00,1765.00,17221.84,17221.84,0.00,0.00,0.00,0.00,0.00,948.00,6531.00,0.00,11045.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,6252.00
