timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:43:35,15.09,0.00,1.25,0.00,0.00,83.67,3.00,0.00,80.00,26.67,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,80.00,6,846,1.08,0.50,0.20,0,29437644,3508748,10.65,38420,527088,7722084,23.44,3006988,309948,61972,lo,17.00,17.00,1.37,1.37,0.00,0.00,0.00,0.00,0.00,40.00,29483.00,0.00,51235.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,45.00,5769.00
11:43:36,13.27,0.00,1.00,0.00,0.00,85.73,1.00,0.00,64.00,64.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,64.00,3,827,1.08,0.50,0.20,0,29506280,3440112,10.44,38420,527088,7095704,21.54,2938660,309948,61972,lo,17.00,17.00,1.61,1.61,0.00,0.00,0.00,0.00,0.00,32.00,33438.00,0.00,50643.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,2982.00
11:43:37,16.88,0.00,5.29,0.00,0.00,77.83,1.00,0.00,8.00,8.00,0.09,4.00,8.00,0.80,1.00,0.00,1.00,0.00,8.00,5,836,1.08,0.50,0.20,5,29210960,3735432,11.34,40860,598784,7726844,23.45,3144900,379596,133868,lo,11.00,11.00,2.38,2.38,0.00,0.00,0.00,0.00,0.00,8196.00,57940.00,0.00,5241.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,49.00,5090.00
11:43:38,10.46,0.00,5.35,4.61,0.00,79.58,115.00,0.00,40408.00,351.37,1.14,10.68,0.42,4.80,115.00,0.00,115.00,0.00,40408.00,4,805,1.08,0.50,0.20,0,29491056,3455336,10.49,41804,695804,6934108,21.05,2748836,474220,222124,lo,23.00,23.00,2.28,2.28,0.00,0.00,0.00,0.00,0.00,12012.00,16549.00,0.00,117503.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,3569.00
11:43:39,25.03,0.00,1.75,0.13,0.00,73.09,8.00,0.00,32.00,4.00,0.01,1.50,1.50,1.20,8.00,0.00,8.00,0.00,32.00,4,810,1.15,0.53,0.21,0,29471028,3475364,10.55,41928,666460,6950316,21.10,2792712,447400,192772,lo,48.00,48.00,55.88,55.88,0.00,0.00,0.00,0.00,0.00,16.00,12500.00,0.00,13952.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,6618.00
11:43:40,19.65,0.00,1.75,0.25,0.00,78.35,116.00,0.00,488.00,4.21,0.03,0.28,0.28,3.20,116.00,0.00,116.00,0.00,488.00,6,814,1.15,0.53,0.21,0,29400904,3545488,10.76,41928,718440,6789000,20.61,2812404,496484,244752,lo,2636.00,2636.00,52032.59,52032.59,0.00,0.00,0.00,0.00,0.00,244.00,5575.00,0.00,12972.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,72.00,12966.00
11:43:41,5.38,0.00,0.50,0.00,0.00,94.12,26.00,0.00,104.00,4.00,0.02,0.62,0.62,1.60,26.00,0.00,26.00,0.00,104.00,5,814,1.15,0.53,0.21,0,29394736,3551656,10.78,41928,718464,6789000,20.61,2818156,496504,244776,lo,120.00,120.00,121.20,121.20,0.00,0.00,0.00,0.00,0.00,52.00,1946.00,0.00,420.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,3476.00
11:43:42,25.56,0.00,2.24,0.00,0.00,72.19,5.00,0.00,24.00,4.80,0.00,0.80,0.80,0.40,6.00,0.00,6.00,0.00,32.00,7,846,1.15,0.53,0.21,2,29221976,3724416,11.30,41960,770608,7385136,22.42,2940040,545344,296936,lo,1550.00,1550.00,52041.15,52041.15,0.00,0.00,0.00,0.00,0.00,12.00,35835.00,0.00,5903.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,77.00,9468.00
11:43:43,27.55,0.00,1.13,1.01,0.00,70.31,32.00,0.00,19440.00,607.50,0.60,18.88,1.38,4.40,31.00,0.00,31.00,0.00,19432.00,2,853,1.15,0.53,0.21,0,29090528,3855864,11.70,41964,753784,7378048,22.39,3087584,529556,305652,lo,68.00,68.00,9.43,9.43,0.00,0.00,0.00,0.00,0.00,9720.00,37564.00,0.00,4962.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,5337.00
11:43:44,43.70,0.00,2.12,0.00,0.00,54.18,4.00,0.00,16.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,16.00,4,907,1.38,0.59,0.23,0,28868156,4078236,12.38,41964,753876,7598504,23.06,3309840,529432,305696,lo,29.00,29.00,3.87,3.87,0.00,0.00,0.00,0.00,0.00,8.00,58572.00,0.00,2840.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,54.00,5542.00
