timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:50:01,15.29,0.00,0.25,0.00,0.00,84.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,520.00,0,850,3.71,3.43,2.94,0,21890640,11055752,33.56,135768,7380896,7672348,23.29,4070072,6600796,309484,lo,20.00,20.00,2.15,2.15,0.00,0.00,0.00,0.00,0.00,0.00,46809.00,0.00,978.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,6512.00
12:50:02,20.85,0.00,2.12,0.12,0.00,76.90,7.00,0.00,520.00,74.29,0.01,1.71,1.71,1.20,1.00,0.00,1.00,0.00,8.00,1,849,3.57,3.41,2.94,0,21913024,11033368,33.49,135780,7380892,7657972,23.24,4047884,6600788,309548,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,260.00,38614.00,0.00,59198.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,65.00,5430.00
12:50:03,40.99,0.00,1.86,0.00,0.00,57.14,1.00,0.00,8.00,8.00,0.00,4.00,4.00,0.40,130.00,0.00,130.00,0.00,245616.00,4,908,3.57,3.41,2.94,0,21686728,11259664,34.18,135792,7380884,8154456,24.75,4272620,6600788,309552,lo,15.00,15.00,1.26,1.26,0.00,0.00,0.00,0.00,0.00,0.00,41844.00,0.00,643.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,45.00,6534.00
12:50:04,47.25,0.00,2.25,0.12,0.00,50.38,130.00,0.00,245616.00,1889.35,7.97,27.57,1.14,14.80,110.00,0.00,110.00,0.00,218840.00,4,928,3.57,3.41,2.94,0,21447684,11498708,34.90,135796,7380996,8290084,25.16,4510648,6600832,154168,lo,32.00,32.00,10.89,10.89,0.00,0.00,0.00,0.00,0.00,155556.00,79323.00,0.00,3594.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.00,9147.00
12:50:05,33.17,0.00,3.52,0.00,0.00,63.32,110.00,0.00,218840.00,1989.45,7.89,111.60,2.07,22.80,1.00,0.00,1.00,0.00,8.00,3,947,3.57,3.41,2.94,0,21126856,11819536,35.88,135796,7534304,8529508,25.89,4751260,6677452,230736,lo,2145.00,2145.00,76769.50,76769.50,0.00,0.00,0.00,0.00,0.00,76676.00,44046.00,0.00,16631.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.00,17839.00
12:50:06,56.60,0.00,1.78,0.00,0.00,41.62,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,736.00,12,976,3.57,3.41,2.94,0,20979672,11966720,36.32,135796,7537372,8563208,25.99,4896136,6677100,233804,lo,2802.00,2802.00,80504.78,80504.78,0.00,0.00,0.00,0.00,0.00,4.00,41860.00,0.00,759.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.00,10350.00
12:50:07,58.76,0.00,1.27,0.00,0.00,39.97,3.00,0.00,736.00,245.33,0.00,1.33,1.33,0.40,0.00,0.00,0.00,0.00,0.00,5,969,3.36,3.37,2.93,0,20946524,11999868,36.42,135804,7538944,8579324,26.04,4930244,6676924,235476,lo,609.00,609.00,2900.13,2900.13,0.00,0.00,0.00,0.00,0.00,368.00,15705.00,0.00,5874.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,10988.00
12:50:08,61.66,0.00,2.77,0.00,0.00,35.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,971,3.36,3.37,2.93,0,20881944,12064448,36.62,135804,7542304,8579324,26.04,4993816,6676812,238836,lo,1784.00,1784.00,16827.90,16827.90,0.00,0.00,0.00,0.00,0.00,0.00,17086.00,0.00,12893.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,17343.00
12:50:09,47.52,0.00,2.68,0.00,0.00,49.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,971,3.36,3.37,2.93,0,20845816,12100576,36.73,135804,7545356,8579324,26.04,5030036,6676704,241892,lo,2392.00,2392.00,23093.67,23093.67,0.00,0.00,0.00,0.00,0.00,0.00,11099.00,0.00,21588.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,20491.00
12:50:10,42.88,0.00,2.80,0.00,0.00,54.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,392.00,2,964,3.36,3.37,2.93,0,20865852,12080540,36.67,135804,7539388,8595676,26.09,5012196,6676924,235924,lo,2663.00,2663.00,24914.56,24914.56,0.00,0.00,0.00,0.00,0.00,0.00,5041.58,0.00,24321.78,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,19423.00
12:50:11,22.12,0.00,3.50,0.12,0.00,74.25,1.00,0.00,392.00,392.00,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,1128.00,2,843,3.36,3.37,2.93,0,21962872,10983520,33.34,135804,7458188,7665328,23.27,3922936,6673008,230708,lo,6536.00,6536.00,170565.08,170565.08,0.00,0.00,0.00,0.00,0.00,196.00,6508.00,0.00,32851.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,60.00,13113.00
