timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
19:00:48,43.50,0.00,3.50,0.00,0.00,53.00,1.00,0.00,64.00,64.00,0.00,4.00,4.00,0.40,1.00,0.00,1.00,0.00,64.00,1,738,2.13,2.66,2.57,0,1148112,2897704,71.62,33568,551424,3995956,98.77,2508120,272896,1304,lo,20.00,20.00,2.71,2.71,0.00,0.00,0.00,0.00,0.00,32.00,22794.00,0.00,32205.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.00,1950.00
19:00:49,79.00,0.00,5.00,0.00,0.00,16.00,10.00,0.00,720.00,72.00,0.00,0.40,0.40,0.40,10.00,0.00,10.00,0.00,720.00,1,711,2.13,2.66,2.57,0,1357548,2688268,66.45,33568,552232,3701616,91.49,2300152,273680,2080,lo,26.00,26.00,2.70,2.70,0.00,0.00,0.00,0.00,0.00,360.00,23658.00,0.00,76430.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,3914.00
19:00:50,88.78,0.00,3.06,0.51,0.00,7.65,51.00,8.00,208.00,4.24,0.02,0.39,0.39,2.00,51.00,1.00,50.00,8.00,208.00,1,718,2.12,2.65,2.57,0,1297328,2748488,67.93,33576,551908,3788940,93.65,2360300,273916,2800,lo,267.00,267.00,671.06,671.06,0.00,0.00,0.00,0.00,4.00,104.00,15598.00,0.00,996.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.00,3765.00
19:00:51,11.62,0.00,2.53,0.00,0.00,85.86,9.00,0.00,40.00,4.44,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,40.00,3,740,2.12,2.65,2.57,0,1282364,2763452,68.30,33576,552568,3925120,97.02,2373996,274180,3088,lo,174.00,174.00,380.44,380.44,0.00,0.00,0.00,0.00,0.00,20.00,7123.00,0.00,2719.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,68.00,2888.00
19:00:52,88.72,0.00,3.08,0.00,0.00,8.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,741,2.12,2.65,2.57,0,1199564,2846252,70.35,33576,552524,3995548,98.76,2456668,274268,3176,lo,15.00,15.00,2.10,2.10,0.00,0.00,0.00,0.00,0.00,0.00,21362.00,0.00,1035.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,3849.00
19:00:53,78.61,0.00,2.99,0.00,0.00,18.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,754,2.12,2.65,2.57,0,1135720,2910096,71.93,33576,552520,4101620,101.38,2520372,274224,3172,lo,60.00,60.00,7.37,7.37,0.00,0.00,0.00,0.00,0.00,0.00,16616.00,0.00,147.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,2305.00
19:00:54,91.46,0.00,3.52,0.00,0.00,5.03,8.00,0.00,784.00,98.00,0.02,2.00,2.00,1.60,11.00,1.00,10.00,8.00,800.00,3,806,2.12,2.65,2.57,0,1037192,3008624,74.36,33576,552528,4257660,105.24,2617680,274220,3180,lo,44.00,44.00,5.59,5.59,0.00,0.00,0.00,0.00,0.00,392.00,26163.00,0.00,2005.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.00,3220.00
19:00:55,31.00,0.00,1.50,0.00,0.00,67.50,5.00,8.00,24.00,6.40,0.00,0.80,0.80,0.40,2.00,0.00,2.00,0.00,8.00,0,805,2.03,2.62,2.56,0,1015468,3030348,74.90,33584,552668,4257660,105.24,2639384,274336,3408,lo,49.00,49.00,125.48,125.48,0.00,0.00,0.00,0.00,4.00,12.00,4824.00,0.00,235.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,1719.00
19:00:56,13.13,0.00,1.52,0.00,0.00,85.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,812,2.03,2.62,2.56,0,1002072,3043744,75.23,33584,552668,4257660,105.24,2651428,274336,3408,lo,62.00,62.00,11.22,11.22,0.00,0.00,0.00,0.00,0.00,0.00,4600.00,0.00,1612.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,1801.00
19:00:57,93.94,0.00,3.54,0.00,0.00,2.53,3.00,0.00,24.00,8.00,0.00,1.33,1.33,0.40,3.00,0.00,3.00,0.00,24.00,4,836,2.03,2.62,2.56,0,895024,3150792,77.88,33584,552872,4499412,111.21,2757672,274480,3596,lo,23.00,23.00,5.50,5.50,0.00,0.00,0.00,0.00,0.00,12.00,30940.00,0.00,2655.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.00,7418.00
