timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
21:16:21,25.12,0.00,2.46,2.46,0.00,69.95,194.00,5576.00,640.00,32.04,0.07,0.35,0.31,6.00,287.00,250.00,37.00,6336.00,680.00,1,640,2.33,2.43,2.08,0,902036,3143780,77.70,5184,1132308,3413588,84.37,1977672,1054504,1772,lo,106.00,106.00,25.87,25.87,0.00,0.00,0.00,0.00,15160.00,60.00,20883.00,115.00,112438.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,2939.00
21:16:22,29.08,0.00,5.61,9.18,0.00,56.12,530.00,30136.00,120.00,57.09,0.35,0.66,0.38,20.40,440.00,437.00,3.00,29400.00,80.00,2,641,2.33,2.43,2.08,0,825116,3220700,79.61,5208,1133708,3484732,86.13,2053860,1055132,1908,lo,37.00,37.00,7.06,7.06,0.00,0.00,0.00,0.00,1400.00,0.00,20488.00,0.00,981.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,76.00,4116.00
21:16:23,89.45,0.00,3.02,2.01,0.00,5.53,125.00,2800.00,0.00,22.40,0.02,0.19,0.19,2.40,188.00,188.00,0.00,4808.00,0.00,0,642,2.33,2.43,2.08,1,752188,3293628,81.41,5596,1140484,3605020,89.10,2123056,1058924,2076,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,6812.00,1064.00,16679.00,0.00,190.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,3588.00
21:16:24,79.80,0.00,1.52,11.11,0.00,7.58,674.00,13624.00,2952.00,24.59,0.32,0.47,0.39,26.40,631.00,508.00,123.00,11816.00,3072.00,1,648,2.31,2.42,2.08,0,644460,3401356,84.07,5648,1142844,3612940,89.30,2229160,1059924,1960,lo,5.00,5.00,0.50,0.50,0.00,0.00,0.00,0.00,2388.00,584.00,26191.00,0.00,125.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,3075.00
21:16:25,74.26,0.00,2.97,2.97,0.00,19.80,220.00,5000.00,344.00,24.29,0.08,0.38,0.33,7.20,204.00,192.00,12.00,4832.00,224.00,1,616,2.31,2.42,2.08,1,611156,3434660,84.89,5756,1146040,3636952,89.89,2260328,1061636,1876,lo,6.00,6.00,1.04,1.04,0.00,0.00,0.00,0.00,3236.00,0.00,8780.00,0.00,1592.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2299.00
21:16:26,88.32,0.00,2.54,4.06,0.00,5.08,348.00,6896.00,0.00,19.82,0.12,0.36,0.29,10.00,472.00,472.00,0.00,7928.00,0.00,2,621,2.31,2.42,2.08,0,862100,3183716,78.69,5904,1148428,3229188,79.82,2009964,1063268,1892,lo,5.00,5.00,0.50,0.50,0.00,0.00,0.00,0.00,2896.00,8.00,7177.00,0.00,70390.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,3995.00
21:16:27,85.35,0.00,2.53,1.52,0.00,10.61,280.00,5512.00,16.00,19.74,0.07,0.26,0.26,7.20,247.00,235.00,12.00,5968.00,48.00,3,623,2.31,2.42,2.08,0,845400,3200416,79.10,6104,1148628,3237136,80.01,2024500,1065604,2732,lo,49.00,49.00,5.49,5.49,0.00,0.00,0.00,0.00,4420.00,16.00,4161.00,1.00,1626.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,2484.00
21:16:28,68.81,0.00,2.48,3.96,0.00,24.75,388.00,8760.00,32.00,22.66,0.16,0.40,0.26,10.00,325.00,323.00,2.00,7736.00,8.00,1,624,2.31,2.42,2.08,0,825124,3220692,79.61,6104,1152932,3265956,80.72,2042552,1067528,2756,lo,81.00,81.00,1123.95,1123.95,0.00,0.00,0.00,0.00,4032.00,52.00,4174.00,0.00,291.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2435.00
21:16:29,65.33,0.00,2.01,5.53,0.00,27.14,437.00,7992.00,104.00,18.53,0.16,0.38,0.32,14.00,430.00,402.00,28.00,8024.00,752.00,3,626,2.36,2.43,2.09,1,779200,3266616,80.74,6116,1198864,3265956,80.72,2047824,1108236,30672,lo,95.00,95.00,20.45,20.45,0.00,0.00,0.00,0.00,14888.00,1152.00,3341.00,0.00,8768.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,3485.00
21:16:30,69.39,0.00,8.16,7.65,0.00,14.80,673.00,39080.00,2328.00,61.53,0.41,0.61,0.41,27.60,719.00,288.00,431.00,42536.00,1888.00,3,625,2.36,2.43,2.09,0,680496,3365320,83.18,6116,1295640,3265956,80.72,2059848,1194632,91496,lo,2198.00,2198.00,28296.44,28296.44,0.00,0.00,0.00,0.00,39140.00,684.00,2041.00,0.00,15012.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,185.00,14863.00
