timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
21:23:39,22.50,0.00,4.00,6.25,0.00,67.25,13.00,0.00,112.00,8.62,0.00,0.31,0.31,0.40,15.00,3.00,12.00,32.00,144.00,1,694,1.47,1.91,1.71,0,130832,8043488,98.40,17232,5235076,4586228,56.11,4859096,3013160,202800,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,4.00,4008.00,12647.00,0.00,1125.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,53.00,4014.00
21:23:40,58.84,0.00,1.77,0.76,0.00,38.64,156.00,40.00,244960.00,1570.51,6.65,16.97,2.67,41.60,50.00,0.00,50.00,0.00,624.00,0,669,1.47,1.91,1.71,1,124252,8050068,98.48,17232,5240232,4586228,56.11,4859688,3018544,208220,lo,8.00,8.00,1.08,1.08,0.00,0.00,0.00,0.00,16.00,52.00,30355.00,0.00,126.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.00,5061.00
21:23:41,42.39,0.00,2.49,4.24,0.00,50.87,12.00,0.00,20552.00,1712.67,0.44,370.33,3.67,4.40,45.00,1.00,44.00,8.00,712.00,2,681,1.47,1.91,1.71,0,302148,7872172,96.30,17232,5240652,4357400,53.31,4687648,3012588,208376,lo,5.00,5.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,332.00,10301.00,0.00,2109.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,5789.00
21:23:42,57.39,0.00,1.75,0.00,0.00,40.85,469.00,8.00,8016.00,17.11,0.27,0.58,0.49,22.80,26.00,5.00,21.00,424.00,1040.00,2,682,1.47,1.91,1.71,0,660816,7513504,91.92,17256,5240540,3906332,47.79,4332656,3012384,75880,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,4.00,356.00,5492.00,0.00,179515.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,3615.00
21:23:43,81.14,0.00,1.49,0.25,0.00,17.12,15.00,32.00,144.00,11.73,0.00,0.00,0.00,0.00,153.00,3.00,150.00,24.00,624.00,4,688,1.52,1.91,1.71,0,546680,7627640,93.31,17256,5240672,4131652,50.54,4447676,3012456,76132,lo,52.00,52.00,9.10,9.10,0.00,0.00,0.00,0.00,212.00,520.00,3281.00,0.00,5538.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,3197.00
21:23:44,30.98,0.00,2.52,0.00,0.00,66.50,50.00,0.00,624.00,12.48,0.02,0.32,0.32,1.60,106.00,2.00,104.00,16.00,432.00,3,677,1.52,1.91,1.71,0,503264,7671056,93.84,18192,5240480,4226520,51.70,4491496,3011568,76608,lo,87.00,87.00,109.52,109.52,0.00,0.00,0.00,0.00,12.00,312.00,3528.00,0.00,3724.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,2153.00
21:23:45,43.47,0.00,1.51,0.25,0.00,54.77,45.00,8.00,712.00,16.00,0.01,0.27,0.27,1.20,164.00,4.00,160.00,32.00,672.00,1,656,1.52,1.91,1.71,0,381028,7793292,95.34,18192,5240712,4242652,51.90,4613332,3011456,76320,lo,921.00,921.00,12038.14,12038.14,0.00,0.00,0.00,0.00,8.00,216.00,566.00,0.00,1629.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,3672.00
21:23:46,45.09,0.00,1.76,1.01,0.00,52.14,26.00,424.00,1040.00,56.31,0.02,0.62,0.62,1.60,119.00,2.00,117.00,16.00,512.00,1,659,1.52,1.91,1.71,0,347036,7827284,95.75,18192,5240896,4300352,52.61,4646900,3011320,76516,lo,470.00,470.00,2862.94,2862.94,0.00,0.00,0.00,0.00,16.00,336.00,858.00,0.00,5512.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,72.00,8674.00
21:23:47,4.49,0.00,0.75,1.00,0.00,93.77,153.00,24.00,624.00,4.24,0.05,0.34,0.34,5.20,23.00,1.00,22.00,8.00,440.00,0,660,1.52,1.91,1.71,0,1042164,7132156,87.25,18192,4916172,3753304,45.92,4265480,2703824,75840,lo,1195.00,1195.00,17747.55,17747.55,0.00,0.00,0.00,0.00,8.00,220.00,479.00,0.00,11706.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.00,4494.00
21:23:48,6.08,0.00,0.76,0.76,0.00,92.41,106.00,16.00,432.00,4.23,0.03,0.26,0.26,2.80,253.00,5.00,248.00,40.00,1032.00,0,659,1.40,1.88,1.70,0,1050688,7123632,87.15,18204,4895768,3789928,46.36,4275272,2685924,76376,lo,2364.00,2364.00,46578.16,46578.16,0.00,0.00,0.00,0.00,4.00,256.00,228.00,0.00,2327.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,80.00,6691.00
21:23:49,5.04,0.00,2.27,0.76,0.00,91.94,164.00,32.00,672.00,4.29,0.08,0.46,0.46,7.60,34.00,0.00,34.00,0.00,2376.00,0,659,1.40,1.88,1.70,0,1028576,7145744,87.42,18204,4907312,3806700,46.57,4286108,2696560,87908,lo,124.00,124.00,223.77,223.77,0.00,0.00,0.00,0.00,20.00,516.00,1395.00,0.00,5355.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,56.00,6827.00
21:23:50,1.00,0.00,0.50,0.00,0.00,98.50,115.00,16.00,496.00,4.45,0.03,0.28,0.28,3.20,96.00,0.00,96.00,0.00,400.00,1,660,1.40,1.88,1.70,0,1025788,7148532,87.45,18204,4910596,3806700,46.57,4286712,2699340,91184,lo,1371.00,1371.00,13765.77,13765.77,0.00,0.00,0.00,0.00,0.00,1188.00,159.00,0.00,758.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,1693.00
21:23:51,7.09,0.00,1.77,1.52,0.00,89.62,27.00,8.00,456.00,17.19,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,16.00,0,659,1.40,1.88,1.70,0,1008356,7165964,87.66,18204,4928424,3806700,46.57,4287976,2716396,108988,lo,187.00,187.00,1613.37,1613.37,0.00,0.00,0.00,0.00,0.00,200.00,3376.00,0.00,6215.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,124.00,8259.00
21:23:52,1.00,0.00,0.50,0.50,0.00,98.00,253.00,40.00,1032.00,4.24,0.08,0.33,0.33,8.40,2.00,1.00,1.00,8.00,8.00,0,659,1.40,1.88,1.70,0,961560,7212760,88.24,18204,4974848,3806700,46.57,4291200,2758712,155412,lo,2653.00,2653.00,22482.30,22482.30,0.00,0.00,0.00,0.00,0.00,8.00,17269.00,0.00,21559.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,2048.00
21:23:53,29.07,0.00,2.51,0.75,0.00,67.67,34.00,0.00,2376.00,69.88,0.01,0.24,0.12,0.40,0.00,0.00,0.00,0.00,0.00,0,659,1.36,1.86,1.70,0,966324,7207996,88.18,18212,4975232,3806700,46.57,4286548,2759100,155776,lo,4356.00,4356.00,80017.64,80017.64,0.00,0.00,0.00,0.00,4.00,4.00,46977.00,0.00,26748.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,45.00,14884.00
21:23:54,18.55,0.00,11.03,0.25,0.00,70.18,96.00,0.00,400.00,4.17,0.03,0.29,0.29,2.80,4.00,0.00,4.00,0.00,2664.00,3,658,1.36,1.86,1.70,0,952632,7221688,88.35,18212,4988900,3806700,46.57,4287828,2771500,169444,lo,2048.00,2048.00,36958.49,36958.49,0.00,0.00,0.00,0.00,0.00,0.00,20884.00,0.00,378.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,599.00,14032.00
21:23:55,42.46,0.00,8.54,0.00,0.00,48.99,4.00,0.00,16.00,4.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,32.00,1,666,1.36,1.86,1.70,0,949856,7224464,88.38,18216,4991812,3806700,46.57,4288148,2774672,171344,lo,46.00,46.00,6.02,6.02,0.00,0.00,0.00,0.00,0.00,1332.00,40149.00,0.00,2186.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,463.00,11296.00
21:23:56,60.15,0.00,1.98,0.00,0.00,37.87,2.00,8.00,8.00,8.00,0.00,2.00,2.00,0.40,110.00,2.00,108.00,16.00,150512.00,2,683,1.36,1.86,1.70,0,917412,7256908,88.78,18216,5013652,3815900,46.68,4299848,2795076,193184,lo,32.00,32.00,4.29,4.29,0.00,0.00,0.00,0.00,0.00,16.00,6247.00,0.00,254.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,3294.00
21:23:57,71.54,0.00,2.27,0.00,0.00,26.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,5.00,2.00,256.00,16.00,3,687,1.36,1.86,1.70,0,831280,7343040,89.83,18324,5094116,3815900,46.68,4302180,2875364,273760,lo,60.00,60.00,282.95,282.95,0.00,0.00,0.00,0.00,8.00,75256.00,4094.00,0.00,181.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,2813.00
21:23:58,41.21,0.00,0.50,0.00,0.00,58.29,4.00,0.00,2664.00,666.00,0.01,3.00,1.00,0.40,0.00,0.00,0.00,0.00,0.00,3,700,1.50,1.88,1.70,0,720380,7453940,91.19,18696,5131092,4058272,49.65,4378868,2910228,310656,lo,42.00,42.00,7.55,7.55,0.00,0.00,0.00,0.00,128.00,8.00,53125.00,2.00,22339.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,51.00,3112.00
21:23:59,7.04,0.00,1.01,0.00,0.00,91.96,8.00,0.00,32.00,4.00,0.00,0.50,0.50,0.40,4.00,0.00,4.00,0.00,2456.00,0,747,1.50,1.88,1.70,0,638368,7535952,92.19,18696,5131612,4111760,50.30,4460736,2910036,310688,lo,1161.00,1161.00,280.58,280.58,0.00,0.00,0.00,0.00,0.00,0.00,38267.00,0.00,457.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,1722.00
21:24:00,43.29,0.00,6.33,0.00,0.00,50.38,110.00,16.00,150512.00,1368.44,1.04,9.49,0.25,2.80,79.00,79.00,0.00,37664.00,0.00,0,747,1.50,1.88,1.70,0,486384,7687936,94.05,18708,5131616,4287668,52.45,4612992,2910024,311756,lo,41.00,41.00,5.49,5.49,0.00,0.00,0.00,0.00,0.00,1228.00,24217.00,0.00,6608.00,5421.00,0.00,5421.00,100.00,0.00,0.00,0,0,0.00,0,0.00,271.00,14505.00
