timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
22:12:11,27.59,0.00,1.52,0.00,0.00,70.89,5.00,0.00,88.00,17.60,0.00,0.80,0.80,0.40,5.00,0.00,5.00,0.00,88.00,4,761,3.75,3.09,2.81,0,5906012,10525844,64.06,154212,7385448,5590820,34.02,3550604,6631848,154864,lo,17.00,17.00,1.54,1.54,0.00,0.00,0.00,0.00,0.00,44.00,25967.00,0.00,37121.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.00,4233.00
22:12:12,30.42,0.00,1.25,0.00,0.00,68.33,1.00,0.00,64.00,64.00,0.00,4.00,4.00,0.40,0.00,0.00,0.00,0.00,0.00,1,756,3.75,3.09,2.81,0,5968860,10462996,63.68,154212,7385448,5271384,32.08,3486992,6631848,154864,lo,20.00,20.00,2.16,2.16,0.00,0.00,0.00,0.00,0.00,32.00,22995.00,0.00,37650.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2421.00
22:12:13,41.12,0.00,4.06,0.00,0.00,54.82,10.00,0.00,1056.00,105.60,0.01,1.20,1.20,1.20,11.00,0.00,11.00,0.00,1120.00,1,761,3.61,3.07,2.80,0,5846852,10585004,64.42,154216,7385444,5656436,34.42,3610412,6631844,154600,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,528.00,38398.00,0.00,7168.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,60.00,5383.00
22:12:14,65.15,0.00,3.54,0.00,0.00,31.31,1.00,0.00,8.00,8.00,0.00,4.00,4.00,0.40,1.00,0.00,1.00,0.00,8.00,6,813,3.61,3.07,2.80,0,5596748,10835108,65.94,154216,7385208,5992664,36.47,3858300,6631672,154376,lo,32.00,32.00,10.41,10.41,0.00,0.00,0.00,0.00,0.00,4.00,66335.00,0.00,2723.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.00,5813.00
22:12:15,81.42,0.00,3.31,0.00,0.00,15.27,3.00,0.00,128.00,42.67,0.00,1.33,1.33,0.40,1.00,0.00,1.00,0.00,120.00,3,831,3.61,3.07,2.80,0,5422860,11008996,67.00,154216,7385348,6269124,38.15,4031948,6631652,154456,lo,56.44,56.44,10.99,10.99,0.00,0.00,0.00,0.00,0.00,64.00,43454.00,0.00,457.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.00,5806.00
22:12:16,61.15,0.00,7.77,0.00,0.00,31.08,126.00,0.00,153352.00,1217.08,2.14,16.98,0.25,3.20,128.00,0.00,128.00,0.00,153360.00,3,844,3.61,3.07,2.80,0,5057776,11374080,69.22,154216,7538644,6378760,38.82,4316440,6708296,231076,lo,2119.00,2119.00,76781.52,76781.52,0.00,0.00,0.00,0.00,0.00,76676.00,55590.00,0.00,15840.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,14574.00
22:12:17,89.45,0.00,2.26,0.00,0.00,8.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,848,3.61,3.07,2.80,0,4990376,11441480,69.63,154216,7538644,6525100,39.71,4383228,6708248,231076,lo,158.00,158.00,910.97,910.97,0.00,0.00,0.00,0.00,0.00,0.00,15602.00,0.00,764.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,3039.00
22:12:18,96.23,0.00,0.50,0.00,0.00,3.27,15.00,0.00,944.00,62.93,0.00,0.00,0.00,0.00,15.00,0.00,15.00,0.00,944.00,6,852,3.80,3.12,2.82,0,4991864,11439992,69.62,154216,7540284,6541436,39.81,4380636,6709532,232624,lo,231.00,231.00,981.09,981.09,0.00,0.00,0.00,0.00,0.00,472.00,2936.00,0.00,3852.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,4710.00
22:12:19,93.38,0.00,1.78,0.00,0.00,4.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,852,3.80,3.12,2.82,0,4982812,11449044,69.68,154216,7541696,6541436,39.81,4389800,6709424,234136,lo,121.00,121.00,89.12,89.12,0.00,0.00,0.00,0.00,0.00,0.00,3617.00,0.00,2012.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5506.00
22:12:20,94.70,0.00,1.26,0.00,0.00,4.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,860,3.80,3.12,2.82,0,4925276,11506580,70.03,154216,7541960,6541436,39.81,4447656,6708420,234400,lo,122.00,122.00,66.33,66.33,0.00,0.00,0.00,0.00,0.00,0.00,15370.00,0.00,358.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4438.00
