timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:32:22,15.75,0.00,1.25,0.00,0.00,83.00,6.00,0.00,192.00,32.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,192.00,0,849,2.59,1.45,0.60,0,61763516,4213004,6.39,40668,778452,10685472,16.20,3653812,309268,53744,lo,20.00,20.00,2.36,2.36,0.00,0.00,0.00,0.00,0.00,96.00,32601.00,0.00,13551.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,3161.00
11:32:23,17.42,0.00,3.88,0.13,0.00,78.57,21.00,0.00,17888.00,851.81,0.10,4.95,1.33,2.80,21.00,0.00,21.00,0.00,17888.00,2,837,2.59,1.45,0.60,0,61677380,4299140,6.52,40708,840568,10716600,16.24,3664444,369092,124372,lo,5.00,5.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,8944.00,61441.00,0.00,56768.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,56.00,5295.00
11:32:24,11.53,0.00,4.01,0.00,0.00,84.46,1.00,0.00,64.00,64.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,64.00,2,808,2.59,1.45,0.60,0,61965080,4011440,6.08,40708,942520,9453356,14.33,3254884,468748,226484,lo,23.00,23.00,2.29,2.29,0.00,0.00,0.00,0.00,0.00,32.00,15979.00,0.00,120126.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,3588.00
11:32:25,27.25,0.00,1.75,0.00,0.00,71.00,8.00,0.00,32.00,4.00,0.00,0.50,0.50,0.40,8.00,0.00,8.00,0.00,32.00,3,813,2.59,1.45,0.60,0,61938460,4038060,6.12,40708,917812,9453356,14.33,3299800,446768,201912,lo,51.00,51.00,56.68,56.68,0.00,0.00,0.00,0.00,0.00,16.00,12742.00,0.00,13968.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,6250.00
11:32:26,8.62,0.00,0.50,0.00,0.00,90.88,18.00,0.00,72.00,4.00,0.00,0.22,0.22,0.40,18.00,0.00,18.00,0.00,72.00,1,817,2.39,1.42,0.60,0,61926104,4050416,6.14,40708,917816,9288592,14.08,3311716,446720,201916,lo,99.00,99.00,11.62,11.62,0.00,0.00,0.00,0.00,0.00,36.00,3138.00,0.00,572.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,2690.00
11:32:27,2.13,0.00,0.38,0.25,0.00,97.25,88.00,0.00,448.00,5.09,0.03,0.32,0.32,2.80,88.00,0.00,88.00,0.00,448.00,1,816,2.39,1.42,0.60,0,61924892,4051628,6.14,40708,917868,9288592,14.08,3312924,446756,201968,lo,302.00,302.00,39.89,39.89,0.00,0.00,0.00,0.00,0.00,220.00,1397.00,0.00,1312.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.00,5184.00
11:32:28,12.81,0.00,1.37,0.25,0.00,85.57,50.00,0.00,26504.00,530.08,0.18,3.60,0.24,1.20,50.00,0.00,50.00,0.00,26504.00,0,817,2.39,1.42,0.60,0,61868036,4108484,6.23,40756,969028,9288592,14.08,3319676,494932,259400,lo,2423.00,2423.00,51996.66,51996.66,0.00,0.00,0.00,0.00,0.00,13256.00,1430.00,0.00,12566.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,9290.00
11:32:29,3.00,0.00,0.12,0.12,0.00,96.75,18.00,0.00,80.00,4.44,0.01,0.67,0.67,1.20,18.00,0.00,18.00,0.00,80.00,4,816,2.39,1.42,0.60,0,61864996,4111524,6.23,40756,969704,9288592,14.08,3323068,495768,259884,lo,68.00,68.00,109.90,109.90,0.00,0.00,0.00,0.00,0.00,40.00,648.00,0.00,366.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,2309.00
11:32:30,8.02,0.00,0.50,0.00,0.00,91.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,816,2.39,1.42,0.60,0,61832324,4144196,6.28,40756,969704,9288592,14.08,3355416,495768,259884,lo,39.00,39.00,8.15,8.15,0.00,0.00,0.00,0.00,0.00,0.00,10171.00,0.00,2047.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1790.00
11:32:31,22.42,0.00,3.11,0.00,0.00,74.47,5.00,0.00,24.00,4.80,0.00,0.80,0.80,0.40,5.00,0.00,5.00,0.00,24.00,3,850,2.35,1.43,0.60,0,61671564,4304956,6.52,40756,1005008,10401488,15.77,3481136,528700,311864,lo,1530.00,1530.00,52040.59,52040.59,0.00,0.00,0.00,0.00,0.00,12.00,35210.00,0.00,7950.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,81.00,9454.00
