timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
19:08:47,47.50,0.00,4.00,0.00,0.00,48.50,3.00,0.00,80.00,26.67,0.00,1.33,1.33,0.40,3.00,0.00,3.00,0.00,80.00,2,746,2.23,2.54,2.34,0,10494020,5938100,36.14,104152,3002436,5904784,35.93,3189392,2539032,1296,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,40.00,24093.00,0.00,35864.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,3686.00
19:08:48,43.43,0.00,4.04,0.00,0.00,52.53,1.00,0.00,64.00,64.00,0.00,4.00,4.00,0.40,1.00,0.00,1.00,0.00,64.00,1,734,2.05,2.50,2.33,0,10563748,5868372,35.71,104152,3002468,5613864,34.16,3119164,2539064,1328,lo,17.00,17.00,1.61,1.61,0.00,0.00,0.00,0.00,0.00,32.00,22772.00,0.00,38272.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.00,2031.00
19:08:49,81.09,0.00,5.47,0.00,0.00,13.43,12.00,0.00,168.00,14.00,0.00,0.00,0.00,0.00,14.00,0.00,14.00,0.00,816.00,2,715,2.05,2.50,2.33,0,10808524,5623596,34.22,104152,3003280,5333268,32.46,2876376,2539852,2064,lo,26.00,26.00,3.08,3.08,0.00,0.00,0.00,0.00,0.00,408.00,34832.00,0.00,94684.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,3590.00
19:08:50,86.87,0.00,6.57,0.00,0.00,6.57,60.00,0.00,888.00,14.80,0.01,0.13,0.13,0.80,58.00,0.00,58.00,0.00,240.00,4,737,2.05,2.50,2.33,0,10703228,5728892,34.86,104164,3003532,5294812,32.22,2979820,2540248,2948,lo,442.00,442.00,1052.04,1052.04,0.00,0.00,0.00,0.00,0.00,120.00,29297.00,0.00,3741.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,97.00,5344.00
19:08:51,89.95,0.00,3.52,0.00,0.00,6.53,1.00,0.00,8.00,8.00,0.00,4.00,4.00,0.40,1.00,0.00,1.00,0.00,8.00,2,745,2.05,2.50,2.33,0,10564016,5868104,35.71,104164,3003492,5746572,34.97,3118276,2540428,3148,lo,15.00,15.00,2.10,2.10,0.00,0.00,0.00,0.00,0.00,4.00,36296.00,0.00,3074.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,4263.00
19:08:52,85.07,0.00,3.98,0.00,0.00,10.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,758,2.05,2.50,2.33,0,10492804,5939316,36.14,104164,3003488,5809900,35.36,3189572,2540316,3144,lo,63.00,63.00,7.95,7.95,0.00,0.00,0.00,0.00,0.00,0.00,19394.00,0.00,209.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,2315.00
19:08:53,88.38,0.00,3.03,0.00,0.00,8.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,16.00,3,806,2.04,2.49,2.33,0,10389424,6042696,36.77,104164,3003496,5982176,36.41,3291448,2540316,3152,lo,27.00,27.00,3.72,3.72,0.00,0.00,0.00,0.00,0.00,8.00,25752.00,0.00,1850.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,50.00,3886.00
19:08:54,18.91,0.00,1.00,0.00,0.00,80.10,17.00,0.00,168.00,9.88,0.00,0.00,0.00,0.00,16.00,0.00,16.00,0.00,896.00,2,809,2.04,2.49,2.33,0,10386332,6045788,36.79,104164,3003640,5982176,36.41,3294516,2540436,3256,lo,54.00,54.00,126.08,126.08,0.00,0.00,0.00,0.00,0.00,448.00,2545.00,0.00,1715.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,1833.00
19:08:55,1.00,0.00,0.50,0.50,0.00,98.00,3.00,0.00,744.00,248.00,0.00,1.33,1.33,0.40,0.00,0.00,0.00,0.00,0.00,0,808,2.04,2.49,2.33,0,10382628,6049492,36.82,104176,3003644,5982176,36.41,3298432,2540436,3368,lo,18.00,18.00,2.90,2.90,0.00,0.00,0.00,0.00,0.00,0.00,1271.00,0.00,131.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1378.00
19:08:56,88.50,0.00,7.50,0.00,0.00,4.00,2.00,0.00,16.00,8.00,0.00,2.00,2.00,0.40,2.00,0.00,2.00,0.00,16.00,5,840,2.04,2.49,2.33,0,10224356,6207764,37.78,104176,3003844,6497592,39.54,3454604,2540572,3556,lo,58.00,58.00,12.00,12.00,0.00,0.00,0.00,0.00,0.00,8.00,43298.00,0.00,2618.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.00,7145.00
