timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
18:59:42,75.88,0.00,2.01,1.01,0.00,21.11,96.00,0.00,4552.00,47.42,0.05,0.50,0.42,4.00,96.00,0.00,96.00,0.00,4552.00,1,725,1.74,2.20,2.10,0,11910848,4521272,27.51,83128,1783636,5410052,32.92,2946796,1405672,2312,lo,57.00,57.00,9.14,9.14,0.00,0.00,0.00,0.00,0.00,2276.00,3457.00,0.00,149.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,3024.00
18:59:43,86.00,0.00,4.00,0.50,0.00,9.50,48.00,0.00,200.00,4.17,0.00,0.00,0.00,0.00,48.00,0.00,48.00,0.00,200.00,2,726,1.84,2.21,2.10,0,11852408,4579712,27.87,83128,1800988,5501784,33.48,2988320,1422008,19404,lo,953.00,953.00,17425.69,17425.69,0.00,0.00,0.00,0.00,0.00,100.00,12638.00,0.00,6564.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.00,6090.00
18:59:44,16.75,0.00,3.55,0.00,0.00,79.70,5.00,0.00,24.00,4.80,0.01,1.60,1.60,0.80,5.00,0.00,5.00,0.00,24.00,3,749,1.84,2.21,2.10,0,11806364,4625756,28.15,83128,1818540,5799856,35.30,3017060,1438360,36960,lo,631.00,631.00,17397.34,17397.34,0.00,0.00,0.00,0.00,0.00,12.00,12439.00,0.00,3895.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,77.00,3557.00
18:59:45,89.95,0.00,3.02,0.00,0.00,7.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,750,1.84,2.21,2.10,0,11708320,4723800,28.75,83128,1818636,5915436,36.00,3115304,1438264,37036,lo,15.00,15.00,2.17,2.17,0.00,0.00,0.00,0.00,0.00,0.00,26783.00,0.00,352.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,3797.00
18:59:46,80.20,0.00,3.05,0.00,0.00,16.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,766,1.84,2.21,2.10,0,11600060,4832060,29.41,83128,1818632,5972724,36.35,3222912,1438188,37032,lo,60.00,60.00,7.45,7.45,0.00,0.00,0.00,0.00,0.00,0.00,23934.00,0.00,221.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,2406.00
18:59:47,85.35,0.00,2.53,0.00,0.00,12.12,61.00,0.00,1400.00,22.95,0.00,0.07,0.07,0.40,61.00,0.00,61.00,0.00,1400.00,1,813,1.84,2.21,2.10,0,11529076,4903044,29.84,83136,1818828,6149500,37.42,3292796,1438312,36780,lo,61.00,61.00,229.66,229.66,0.00,0.00,0.00,0.00,0.00,700.00,19238.00,0.00,1969.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,51.00,3169.00
18:59:48,37.00,0.00,1.00,0.00,0.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,813,1.69,2.17,2.09,0,11501324,4930796,30.01,83136,1818872,6149500,37.42,3320736,1438392,36908,lo,40.00,40.00,6.77,6.77,0.00,0.00,0.00,0.00,0.00,0.00,6915.00,0.00,155.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,1638.00
18:59:49,35.53,0.00,1.52,0.00,0.00,62.94,2.00,0.00,16.00,8.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,16.00,2,845,1.69,2.17,2.09,0,11432672,4999448,30.42,83136,1818880,6679224,40.65,3387068,1438396,36916,lo,69.00,69.00,34.53,34.53,0.00,0.00,0.00,0.00,0.00,8.00,24210.00,0.00,4140.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,43.00,3664.00
18:59:50,95.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,849,1.69,2.17,2.09,0,11292716,5139404,31.28,83136,1819140,6679224,40.65,3526224,1438532,37164,lo,30.00,30.00,4.80,4.80,0.00,0.00,0.00,0.00,0.00,0.00,34171.00,0.00,507.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,7003.00
18:59:51,97.00,0.00,2.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,857,1.69,2.17,2.09,0,11240756,5191364,31.59,83136,1819540,6711328,40.84,3577940,1438788,37564,lo,48.00,48.00,7.48,7.48,0.00,0.00,0.00,0.00,0.00,0.00,12622.00,0.00,3630.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,4106.00
