timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
21:08:48,24.88,0.00,5.47,0.50,0.00,69.15,2.00,0.00,8.00,4.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,80.00,3,636,2.61,2.34,2.04,0,2258084,14174036,86.26,28600,11347060,5055552,30.77,7363260,6375000,119668,lo,21.00,21.00,7.99,7.99,0.00,0.00,0.00,0.00,0.00,1468.00,23637.00,0.00,234.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.00,3905.00
21:08:49,78.89,0.00,7.04,0.00,0.00,14.07,37.00,16.00,496.00,13.84,0.02,0.43,0.43,1.60,123.00,0.00,123.00,0.00,2936.00,2,640,2.61,2.34,2.04,0,2198836,14233284,86.62,28600,11346880,5055552,30.77,7422156,6374924,119664,lo,134.00,134.00,31.16,31.16,0.00,0.00,0.00,0.00,0.00,16.00,14761.00,0.00,199.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1460.00
21:08:50,83.67,0.00,3.06,4.08,0.00,9.18,3.00,0.00,80.00,26.67,0.00,1.33,1.33,0.40,8.00,0.00,8.00,0.00,32.00,3,643,2.61,2.34,2.04,0,2531064,13901056,84.60,28600,11346360,4467860,27.19,7091652,6374788,119128,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,4.00,44.00,8194.00,0.00,91367.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,47.00,3411.00
21:08:51,90.00,0.00,2.50,0.50,0.00,7.00,123.00,0.00,2936.00,23.87,0.10,0.81,0.75,9.20,7.00,1.00,6.00,8.00,88.00,2,613,2.61,2.34,2.04,0,2514536,13917584,84.70,28600,11325876,4499984,27.39,7126032,6357756,98448,lo,7.00,7.00,0.61,0.61,0.00,0.00,0.00,0.00,0.00,140.00,10739.00,0.00,6612.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.00,4222.00
21:08:52,90.36,0.00,2.54,0.00,0.00,7.11,8.00,0.00,32.00,4.00,0.00,0.00,0.00,0.00,16.00,0.00,16.00,0.00,280.00,1,615,2.61,2.34,2.04,0,2496292,13935828,84.81,28600,11325748,4575260,27.84,7143548,6357764,98452,lo,6.00,6.00,1.58,1.58,0.00,0.00,0.00,0.00,0.00,36.00,4634.00,0.00,240.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,2677.00
21:08:53,73.85,0.00,2.56,0.00,0.00,23.59,7.00,8.00,88.00,13.71,0.01,1.14,1.14,0.80,18.00,0.00,18.00,0.00,72.00,2,616,2.48,2.32,2.03,0,2469652,13962468,84.97,28612,11349596,4575260,27.84,7147392,6379972,122464,lo,51.00,51.00,5.85,5.85,0.00,0.00,0.00,0.00,0.00,1072.00,2484.00,0.00,7509.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,2948.00
21:08:54,75.38,0.00,1.51,0.00,0.00,23.12,16.00,0.00,280.00,17.50,0.00,0.25,0.25,0.40,337.00,0.00,337.00,0.00,2136.00,1,617,2.48,2.32,2.03,0,2439372,13992748,85.15,28612,11379360,4575260,27.84,7149800,6408184,152200,lo,62.00,62.00,166.47,166.47,0.00,0.00,0.00,0.00,0.00,232.00,805.00,0.00,7785.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,2293.00
21:08:55,40.51,0.00,5.13,3.08,0.00,51.28,18.00,0.00,72.00,4.00,0.01,0.44,0.44,0.80,112.00,0.00,112.00,0.00,464.00,2,614,2.48,2.32,2.03,0,2396672,14035448,85.41,28612,11420816,4575260,27.84,7153536,6447160,193656,lo,87.00,87.00,16.83,16.83,0.00,0.00,0.00,0.00,0.00,796.00,2191.00,0.00,12188.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2136.00
21:08:56,12.12,0.00,1.52,1.01,0.00,85.35,335.00,0.00,2128.00,6.35,0.12,0.35,0.35,11.60,382.00,0.00,382.00,0.00,1600.00,0,615,2.48,2.32,2.03,0,2372664,14059456,85.56,28612,11442780,4575260,27.84,7156960,6468056,215252,lo,1778.22,1778.22,20863.13,20863.13,0.00,0.00,0.00,0.00,0.00,532.00,1122.00,0.00,5521.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2512.00
21:08:57,16.41,0.00,5.64,6.15,0.00,71.79,114.00,0.00,472.00,4.14,0.03,0.28,0.28,3.20,87.00,0.00,87.00,0.00,1064.00,2,614,2.48,2.32,2.03,0,2326984,14105136,85.84,28612,11463380,4575260,27.84,7179804,6488328,235868,lo,1681.00,1681.00,31628.18,31628.18,0.00,0.00,0.00,0.00,0.00,8.00,13373.00,0.00,10750.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,157.00,12192.00
