timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
18:47:09,94.97,0.00,4.02,0.50,0.00,0.50,67.00,2072.00,168.00,33.43,0.02,0.36,0.24,1.60,67.00,66.00,1.00,2072.00,168.00,6,769,3.21,2.94,1.99,0,12319196,4112924,25.03,52712,1279368,5854520,35.63,3001180,957780,1976,lo,58.00,58.00,7.09,7.09,0.00,0.00,0.00,0.00,1025.74,83.17,19097.03,0.00,254.46,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,3251.00
18:47:10,84.18,0.00,3.57,7.65,0.00,4.59,532.00,12128.00,3472.00,29.32,0.31,0.59,0.49,26.00,556.00,477.00,79.00,12128.00,3896.00,1,775,3.21,2.94,1.99,1,12231392,4200728,25.56,52808,1286444,5890432,35.85,3084084,962224,1976,lo,30.00,30.00,3.85,3.85,0.00,0.00,0.00,0.00,6064.00,1900.00,20892.00,0.00,1434.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,3498.00
18:47:11,64.68,0.00,1.99,14.43,0.00,18.91,737.00,2776.00,10616.00,18.17,0.32,0.43,0.40,29.60,727.00,116.00,611.00,3128.00,10192.00,2,776,3.21,2.94,1.99,0,12228072,4204048,25.58,53920,1288592,5890432,35.85,3086080,963160,2260,lo,6.00,6.00,0.94,0.94,0.00,0.00,0.00,0.00,1440.00,5144.00,2307.00,0.00,2386.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,6047.00
18:47:12,83.17,0.00,2.97,3.96,0.00,9.90,180.00,1296.00,2816.00,22.84,0.09,0.51,0.49,8.80,180.00,20.00,160.00,944.00,3088.00,2,778,3.21,2.94,1.99,0,12195864,4236256,25.78,54144,1289876,6013160,36.59,3118616,963148,2560,lo,9.00,9.00,1.83,1.83,0.00,0.00,0.00,0.00,596.00,1544.00,8154.00,0.00,271.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4284.00
18:47:13,77.44,0.00,4.10,13.33,0.00,5.13,705.00,2624.00,10624.00,18.79,0.34,0.48,0.45,31.60,695.00,98.00,597.00,2672.00,10352.00,2,778,3.19,2.94,2.00,0,12186500,4245620,25.84,55048,1292292,6013160,36.59,3126476,964092,3108,lo,6.00,6.00,0.52,0.52,0.00,0.00,0.00,0.00,1336.00,5176.00,1642.00,0.00,147.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,7134.00
18:47:14,64.32,0.00,2.01,7.04,0.00,26.63,359.00,4200.00,2760.00,19.39,0.19,0.53,0.46,16.40,377.00,246.00,131.00,4432.00,2760.00,1,780,3.19,2.94,2.00,0,12170588,4261532,25.93,55248,1294716,6045476,36.79,3141892,964532,2756,lo,52.00,52.00,6.95,6.95,0.00,0.00,0.00,0.00,2180.00,1380.00,4369.00,0.00,1294.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,4021.00
18:47:15,70.85,0.00,1.51,3.02,0.00,24.62,173.00,3064.00,0.00,17.71,0.07,0.39,0.37,6.40,154.00,154.00,0.00,2832.00,0.00,2,780,3.19,2.94,2.00,0,12150396,4281724,26.06,55248,1296168,6045476,36.79,3162468,964324,2760,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,1448.00,0.00,4729.00,0.00,127.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2608.00
18:47:16,83.42,0.00,2.01,3.02,0.00,11.56,281.00,5288.00,1152.00,22.92,0.13,0.47,0.41,11.60,281.00,210.00,71.00,5280.00,1152.00,0,780,3.19,2.94,2.00,0,12120388,4311732,26.24,55376,1298828,6109600,37.18,3191460,965284,2780,lo,58.00,58.00,8.31,8.31,0.00,0.00,0.00,0.00,2644.00,576.00,6915.00,0.00,128.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4460.00
18:47:17,75.50,0.00,3.00,4.50,0.00,17.00,205.00,4480.00,128.00,22.48,0.15,0.74,0.55,11.20,202.00,199.00,3.00,4440.00,128.00,3,780,3.19,2.94,2.00,0,12104764,4327356,26.33,55376,1301036,6141884,37.38,3206820,965796,2676,lo,15.00,15.00,6.84,6.84,0.00,0.00,0.00,0.00,2220.00,64.00,3411.00,0.00,129.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3100.00
18:47:18,71.21,0.00,13.13,0.00,0.00,15.66,76.00,0.00,153352.00,2017.79,1.44,18.95,0.47,3.60,76.00,0.00,76.00,0.00,153352.00,2,785,3.10,2.92,2.00,0,11821744,4610376,28.06,55376,1454528,6344548,38.61,3409084,1042308,79300,lo,2060.00,2060.00,76773.17,76773.17,0.00,0.00,0.00,0.00,0.00,76676.00,32177.00,0.00,13263.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,15728.00
