timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
19:54:12,57.07,0.00,3.03,0.00,0.00,39.90,3.00,0.00,80.00,26.67,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,80.00,3,745,3.36,2.73,2.64,0,6361960,10070160,61.28,136160,6813520,5880448,35.79,3670312,6084212,207392,lo,16.00,16.00,1.32,1.32,0.00,0.00,0.00,0.00,0.00,40.00,24484.00,0.00,36235.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.00,3037.00
19:54:13,53.00,0.00,2.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,746,3.36,2.73,2.64,0,6273872,10158248,61.82,136160,6813524,5953724,36.23,3758108,6084216,207396,lo,21.00,21.00,2.97,2.97,0.00,0.00,0.00,0.00,0.00,0.00,16943.00,0.00,223.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2122.00
19:54:14,70.20,0.00,7.58,0.00,0.00,22.22,4.00,0.00,144.00,36.00,0.01,2.00,2.00,0.80,4.00,0.00,4.00,0.00,144.00,2,745,3.36,2.73,2.64,0,6284236,10147884,61.76,136160,6813492,5960232,36.27,3747804,6084184,207372,lo,8.00,8.00,1.08,1.08,0.00,0.00,0.00,0.00,0.00,72.00,44561.00,0.00,43253.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,51.00,3928.00
19:54:15,85.57,0.00,6.47,0.00,0.00,7.96,2.00,0.00,72.00,36.00,0.00,2.00,2.00,0.40,2.00,0.00,2.00,0.00,72.00,3,755,3.36,2.73,2.64,0,6594196,9837924,59.87,136168,6813516,5245268,31.92,3439084,6084212,207408,lo,55.00,55.00,12.64,12.64,0.00,0.00,0.00,0.00,0.00,36.00,28492.00,0.00,94977.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,56.00,4216.00
19:54:16,92.46,0.00,7.04,0.00,0.00,0.50,20.00,0.00,6640.00,332.00,0.01,0.60,0.40,0.80,20.00,0.00,20.00,0.00,6640.00,7,761,3.41,2.75,2.65,0,6429080,10003040,60.87,136168,6761840,5690800,34.63,3623668,6066056,152756,lo,1128.71,1128.71,31833.12,31833.12,0.00,0.00,0.00,0.00,0.00,3287.13,45535.64,0.00,28205.94,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,9141.00
19:54:17,98.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,120.00,120.00,0.00,4.00,4.00,0.40,1.00,0.00,1.00,0.00,120.00,7,770,3.41,2.75,2.65,0,6383964,10048156,61.15,136176,6761736,5784100,35.20,3668016,6065976,152728,lo,39.00,39.00,9.91,9.91,0.00,0.00,0.00,0.00,0.00,60.00,19168.00,0.00,370.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,3890.00
19:54:18,73.87,0.00,12.06,0.00,0.00,14.07,149.00,0.00,153352.00,1029.21,2.63,17.64,0.24,3.60,149.00,0.00,149.00,0.00,153352.00,7,782,3.41,2.75,2.65,0,6131132,10300988,62.69,136176,6914932,5856312,35.64,3841296,6142492,229232,lo,2107.00,2107.00,76744.60,76744.60,0.00,0.00,0.00,0.00,0.00,76676.00,20450.00,0.00,13437.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,14750.00
19:54:19,93.47,0.00,5.03,0.00,0.00,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,788,3.41,2.75,2.65,0,5966352,10465768,63.69,136176,6915108,6101544,37.13,4006420,6142704,229376,lo,258.00,258.00,3881.30,3881.30,0.00,0.00,0.00,0.00,0.00,0.00,40239.00,0.00,2771.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2371.00
19:54:20,97.50,0.00,1.50,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,786,3.41,2.75,2.65,0,5923068,10509052,63.95,136176,6915108,6101544,37.13,4049128,6142656,229376,lo,668.00,668.00,22505.11,22505.11,0.00,0.00,0.00,0.00,0.00,0.00,10968.00,0.00,2207.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2268.00
19:54:21,96.98,0.00,1.51,0.00,0.00,1.51,96.00,0.00,17160.00,178.75,0.22,2.25,0.08,0.80,99.00,0.00,99.00,0.00,17560.00,4,789,3.62,2.81,2.67,0,5905008,10527112,64.06,136176,6916680,6101544,37.13,4065860,6143976,220400,lo,385.00,385.00,13186.66,13186.66,0.00,0.00,0.00,0.00,0.00,8780.00,6195.00,0.00,398.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,2306.00
19:54:22,96.98,0.00,1.51,0.00,0.00,1.51,3.00,0.00,400.00,133.33,0.00,1.33,1.33,0.40,0.00,0.00,0.00,0.00,0.00,3,792,3.62,2.81,2.67,0,5883456,10548664,64.20,136176,6917912,6101544,37.13,4085624,6144924,221780,lo,927.00,927.00,29713.61,29713.61,0.00,0.00,0.00,0.00,0.00,0.00,6140.00,0.00,517.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,2360.00
19:54:23,96.50,0.00,1.50,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,792,3.62,2.81,2.67,0,5847908,10584212,64.41,136176,6920120,6101544,37.13,4119296,6146792,223996,lo,1207.00,1207.00,39015.14,39015.14,0.00,0.00,0.00,0.00,0.00,0.00,9547.00,0.00,624.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2424.00
19:54:24,95.96,0.00,1.52,0.00,0.00,2.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,792,3.62,2.81,2.67,0,5831412,10600708,64.51,136176,6921848,6101544,37.13,4136708,6146256,225724,lo,150.00,150.00,1736.28,1736.28,0.00,0.00,0.00,0.00,0.00,0.00,1808.00,0.00,179.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3359.00
19:54:25,95.48,0.00,1.51,0.00,0.00,3.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,791,3.62,2.81,2.67,0,5824396,10607724,64.55,136176,6922008,6101544,37.13,4147260,6142676,225884,lo,220.00,220.00,1989.60,1989.60,0.00,0.00,0.00,0.00,0.00,0.00,2546.00,0.00,584.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4254.00
19:54:26,97.99,0.00,1.51,0.00,0.00,0.50,30.00,0.00,54848.00,1828.27,0.26,8.67,0.40,1.20,32.00,0.00,32.00,0.00,55256.00,6,798,3.57,2.81,2.67,0,5787944,10644176,64.78,136176,6922020,6101544,37.13,4183828,6142656,198536,lo,505.00,505.00,13024.86,13024.86,0.00,0.00,0.00,0.00,0.00,27628.00,8883.00,0.00,990.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,2844.00
19:54:27,97.99,0.00,1.01,0.00,0.00,1.01,2.00,0.00,408.00,204.00,0.00,2.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,3,797,3.57,2.81,2.67,0,5767480,10664640,64.90,136176,6922028,6101544,37.13,4203892,6142640,198608,lo,256.00,256.00,7942.44,7942.44,0.00,0.00,0.00,0.00,0.00,0.00,5228.00,0.00,217.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2409.00
19:54:28,94.44,0.00,2.53,0.00,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,797,3.57,2.81,2.67,0,5747392,10684728,65.02,136176,6922028,6101544,37.13,4224248,6142640,198608,lo,333.00,333.00,9972.77,9972.77,0.00,0.00,0.00,0.00,0.00,0.00,5222.00,0.00,260.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1835.00
19:54:29,95.96,0.00,2.02,0.00,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,797,3.57,2.81,2.67,0,5737148,10694972,65.09,136176,6922028,6101544,37.13,4233876,6142640,198608,lo,714.00,714.00,22679.87,22679.87,0.00,0.00,0.00,0.00,0.00,0.00,4799.00,0.00,2022.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2606.00
19:54:30,95.98,0.00,2.51,0.00,0.00,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,797,3.57,2.81,2.67,0,5716672,10715448,65.21,136176,6922028,6101544,37.13,4254984,6142640,198608,lo,355.00,355.00,10907.45,10907.45,0.00,0.00,0.00,0.00,0.00,0.00,5026.00,0.00,247.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1826.00
19:54:31,93.94,0.00,1.52,0.00,0.00,4.55,31.00,0.00,54784.00,1767.23,0.28,9.16,0.39,1.20,33.00,0.00,33.00,0.00,54952.00,3,797,3.44,2.80,2.67,0,5694424,10737696,65.35,136176,6922028,6101544,37.13,4277172,6142640,171136,lo,649.00,649.00,19595.63,19595.63,0.00,0.00,0.00,0.00,0.00,27476.00,6594.00,0.00,278.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2229.00
19:54:32,95.96,0.00,2.02,0.00,0.00,2.02,2.00,0.00,168.00,84.00,0.00,2.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,3,797,3.44,2.80,2.67,0,5691024,10741096,65.37,136180,6922028,6196508,37.71,4280648,6142640,171240,lo,602.00,602.00,18662.14,18662.14,0.00,0.00,0.00,0.00,0.00,0.00,107.00,0.00,264.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2361.00
19:54:33,95.48,0.00,1.51,0.00,0.00,3.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,797,3.44,2.80,2.67,0,5687508,10744612,65.39,136180,6923568,6196508,37.71,4282348,6144076,172780,lo,376.00,376.00,10615.40,10615.40,0.00,0.00,0.00,0.00,0.00,0.00,433.00,0.00,197.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2050.00
19:54:34,86.22,0.00,2.04,0.00,0.00,11.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,797,3.44,2.80,2.67,0,5686720,10745400,65.39,136180,6923628,6196508,37.71,4283308,6144220,172840,lo,809.00,809.00,21446.56,21446.56,0.00,0.00,0.00,0.00,0.00,0.00,274.00,0.00,176.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3049.00
19:54:35,95.92,0.00,1.53,0.00,0.00,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,796,3.44,2.80,2.67,0,5686836,10745284,65.39,136180,6923644,6196508,37.71,4283120,6144224,172856,lo,636.00,636.00,17398.08,17398.08,0.00,0.00,0.00,0.00,0.00,0.00,198.00,0.00,452.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2296.00
19:54:36,95.96,0.00,1.52,0.00,0.00,2.53,41.00,0.00,54872.00,1338.34,0.36,8.88,0.29,1.20,43.00,0.00,43.00,0.00,55216.00,3,796,3.33,2.79,2.66,0,5686448,10745672,65.39,136180,6923648,6196508,37.71,4283324,6144232,172860,lo,530.00,530.00,16141.38,16141.38,0.00,0.00,0.00,0.00,0.00,27608.00,22.00,0.00,182.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1900.00
19:54:37,96.45,0.00,1.02,0.00,0.00,2.54,2.00,0.00,344.00,172.00,0.00,2.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,3,796,3.33,2.79,2.66,0,5683656,10748464,65.41,136184,6923648,6196508,37.71,4286536,6144232,145476,lo,707.00,707.00,20085.91,20085.91,0.00,0.00,0.00,0.00,0.00,0.00,1897.00,0.00,325.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2508.00
19:54:38,94.44,0.00,1.01,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,796,3.33,2.79,2.66,0,5660844,10771276,65.55,136184,6923652,6196508,37.71,4309296,6144228,145480,lo,499.00,499.00,12284.00,12284.00,0.00,0.00,0.00,0.00,0.00,0.00,5396.00,0.00,286.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2597.00
19:54:39,95.94,0.00,2.03,0.00,0.00,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,796,3.33,2.79,2.66,0,5640544,10791576,65.67,136184,6923664,6196508,37.71,4329176,6144232,145492,lo,743.00,743.00,22682.43,22682.43,0.00,0.00,0.00,0.00,0.00,0.00,5762.00,0.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2295.00
19:54:40,95.45,0.00,1.52,0.00,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,796,3.33,2.79,2.66,0,5617512,10814608,65.81,136184,6923668,6196508,37.71,4352108,6144236,145496,lo,621.00,621.00,16597.18,16597.18,0.00,0.00,0.00,0.00,0.00,0.00,5576.00,0.00,326.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2408.00
19:54:41,97.00,0.00,1.50,0.00,0.00,1.50,42.00,0.00,55448.00,1320.19,0.32,7.62,0.48,2.00,45.00,0.00,45.00,0.00,55712.00,3,796,3.22,2.77,2.66,0,5617264,10814856,65.82,136184,6923672,6196508,37.71,4352512,6144236,145500,lo,373.00,373.00,10878.64,10878.64,0.00,0.00,0.00,0.00,0.00,27856.00,68.00,0.00,187.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1790.00
19:54:42,71.86,0.00,1.01,0.00,0.00,27.14,3.00,0.00,264.00,88.00,0.00,1.33,1.33,0.40,0.00,0.00,0.00,0.00,0.00,2,796,3.22,2.77,2.66,0,5617216,10814904,65.82,136188,6923676,6196508,37.71,4352696,6144236,117836,lo,510.00,510.00,13767.48,13767.48,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,167.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2164.00
