timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:14:21,67.01,0.00,4.57,0.00,0.00,28.43,3.00,0.00,80.00,26.67,0.00,1.33,1.33,0.40,3.00,0.00,3.00,0.00,80.00,2,711,2.96,2.71,2.74,0,5868260,10563860,64.29,137424,7552440,5259472,32.01,3428968,6801860,154480,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,40.00,31490.00,0.00,35434.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,3749.00
20:14:22,37.69,0.00,4.02,0.50,0.00,57.79,7.00,0.00,656.00,93.71,0.01,1.14,0.57,0.40,4.00,0.00,4.00,0.00,144.00,2,710,2.72,2.67,2.72,0,5948800,10483320,63.80,137424,7552436,5185884,31.56,3348020,6801852,154480,lo,17.00,17.00,1.58,1.58,0.00,0.00,0.00,0.00,0.00,328.00,25150.00,0.00,43271.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,54.00,2817.00
20:14:23,88.94,0.00,3.52,0.00,0.00,7.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,512.00,4,714,2.72,2.67,2.72,0,5836020,10596100,64.48,137436,7552224,5265144,32.04,3461052,6801628,154316,lo,6.00,6.00,1.16,1.16,0.00,0.00,0.00,0.00,0.00,0.00,29545.00,0.00,519.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,2560.00
20:14:24,90.50,0.00,5.50,0.00,0.00,4.00,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,7,758,2.72,2.67,2.72,0,5660196,10771924,65.55,137436,7552268,5577836,33.94,3635304,6801664,154364,lo,31.00,31.00,10.39,10.39,0.00,0.00,0.00,0.00,0.00,4.00,45895.00,0.00,2239.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,44.00,4770.00
20:14:25,96.02,0.00,3.98,0.00,0.00,0.00,90.00,0.00,154112.00,1712.36,1.33,14.80,0.40,3.60,90.00,0.00,90.00,0.00,154112.00,4,760,2.72,2.67,2.72,0,5553932,10878188,66.20,137436,7552336,5706268,34.73,3741004,6801672,77400,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,77056.00,27875.00,0.00,1494.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,3390.00
20:14:26,95.48,0.00,4.02,0.00,0.00,0.50,2.00,0.00,8.00,4.00,0.00,0.00,0.00,0.00,1.98,0.00,1.98,0.00,7.92,6,773,2.72,2.67,2.72,0,5433212,10998908,66.94,137436,7552336,5792808,35.25,3861400,6801664,77420,lo,94.00,94.00,15.48,15.48,0.00,0.00,0.00,0.00,0.00,4.00,30410.00,0.00,291.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.00,3633.00
20:14:27,69.50,0.00,12.00,0.00,0.00,18.50,152.00,0.00,153944.00,1012.79,2.59,17.03,0.24,3.60,152.00,0.00,152.00,0.00,153944.00,3,781,2.58,2.64,2.72,0,5161960,11270160,68.59,137436,7705632,6081512,37.01,4052648,6878292,154044,lo,2152.00,2152.00,76767.04,76767.04,0.00,0.00,0.00,0.00,0.00,76972.00,30686.00,0.00,14843.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,14492.00
20:14:28,97.47,0.00,2.02,0.00,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,786,2.58,2.64,2.72,0,5110588,11321532,68.90,137444,7706052,6081512,37.01,4104152,6878424,154520,lo,99.00,99.00,461.87,461.87,0.00,0.00,0.00,0.00,0.00,0.00,15099.00,0.00,2453.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,2526.00
20:14:29,97.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,790,2.58,2.64,2.72,0,5074912,11357208,69.12,137444,7707272,6081512,37.01,4138600,6879576,155740,lo,271.00,271.00,1429.96,1429.96,0.00,0.00,0.00,0.00,0.00,0.00,9088.00,0.00,132.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,2811.00
20:14:30,95.96,0.00,1.52,0.00,0.00,2.53,2.00,0.00,24.00,12.00,0.00,2.00,2.00,0.40,2.00,0.00,2.00,0.00,24.00,3,790,2.58,2.64,2.72,0,5066076,11366044,69.17,137444,7708480,6081512,37.01,4147328,6879456,156936,lo,72.00,72.00,64.36,64.36,0.00,0.00,0.00,0.00,0.00,12.00,1996.00,0.00,1054.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4237.00
