timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
23:18:55,0.75,0.00,0.50,0.00,0.00,98.75,53.00,0.00,688.00,12.98,0.02,0.45,0.45,2.40,4.00,0.00,4.00,0.00,776.00,2,694,2.71,2.08,1.99,0,26439804,6507116,19.75,75864,3581020,6381448,19.37,3660732,2592312,141908,lo,5.00,5.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,56.00,21712.00,0.00,148727.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.00,3805.00
23:18:56,12.34,0.00,2.77,0.00,0.00,84.89,136.00,0.00,219488.00,1613.88,51.81,23.24,4.00,54.40,53.00,0.00,53.00,0.00,688.00,5,673,2.71,2.08,1.99,0,26410144,6536776,19.84,75864,3463788,6395024,19.41,3803380,2481788,141608,lo,6.00,6.00,1.06,1.06,0.00,0.00,0.00,0.00,0.00,388.00,47070.00,0.00,1135.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2015.00
23:18:57,64.68,0.00,2.24,0.00,0.00,33.08,98.00,0.00,62096.00,633.63,30.96,812.33,3.43,33.60,136.00,0.00,136.00,0.00,219488.00,1,674,2.71,2.08,1.99,0,26329748,6617172,20.08,75956,3463696,6271640,19.04,3883512,2481740,142188,lo,31.00,31.00,3.71,3.71,0.00,0.00,0.00,0.00,0.00,344.00,13695.00,0.00,365.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,59.00,4030.00
23:18:58,52.39,0.00,1.26,0.50,0.00,45.84,12.00,0.00,56.00,4.67,0.01,0.67,0.67,0.80,98.00,0.00,98.00,0.00,62096.00,1,674,2.65,2.08,1.99,0,26284568,6662352,20.22,75956,3463784,6303964,19.13,3927508,2481732,1660,lo,74.00,74.00,9.83,9.83,0.00,0.00,0.00,0.00,0.00,140784.00,17015.00,0.00,2924.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.00,5236.00
23:18:59,66.83,0.00,2.01,0.00,0.00,31.16,44.00,0.00,184.00,4.18,0.03,0.64,0.64,2.80,12.00,0.00,12.00,0.00,56.00,1,673,2.65,2.08,1.99,0,26259968,6686952,20.30,75956,3463784,6409532,19.45,3952520,2481728,1480,lo,341.00,341.00,4854.44,4854.44,0.00,0.00,0.00,0.00,0.00,8.00,4787.00,0.00,710.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,4008.00
23:19:00,31.67,0.00,1.00,0.50,0.00,66.83,259.00,0.00,1872.00,7.23,0.09,0.36,0.34,8.80,44.00,0.00,44.00,0.00,184.00,1,672,2.65,2.08,1.99,0,26705880,6241040,18.94,75956,3463348,5625568,17.07,3508696,2481620,1496,lo,1324.00,1324.00,12164.30,12164.30,0.00,0.00,0.00,0.00,0.00,28.00,8210.00,0.00,118064.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,3332.00
23:19:01,42.32,0.00,1.26,0.00,0.00,56.42,210.00,0.00,952.00,4.53,0.04,0.19,0.19,4.00,259.00,0.00,259.00,0.00,1872.00,1,672,2.65,2.08,1.99,0,26702172,6244748,18.95,75956,3446788,5677356,17.23,3525132,2469000,5560,lo,3157.00,3157.00,60705.97,60705.97,0.00,0.00,0.00,0.00,0.00,92.00,2022.00,0.00,6828.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,1844.00
23:19:02,31.42,0.00,1.25,0.50,0.00,66.83,216.00,0.00,904.00,4.19,0.04,0.17,0.17,3.60,210.00,0.00,210.00,0.00,952.00,1,672,2.65,2.08,1.99,0,26692036,6254884,18.98,75964,3455552,5677356,17.23,3527656,2476440,14636,lo,1191.00,1191.00,11345.03,11345.03,0.00,0.00,0.00,0.00,0.00,936.00,2149.00,0.00,4888.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,4706.00
23:19:03,9.80,0.00,2.01,1.76,0.00,86.43,32.00,0.00,136.00,4.25,0.01,0.38,0.38,1.20,216.00,0.00,216.00,0.00,904.00,6,671,2.52,2.06,1.99,0,26677520,6269400,19.03,75964,3467432,5677356,17.23,3530228,2487704,26692,lo,168.00,168.00,1336.32,1336.32,0.00,0.00,0.00,0.00,0.00,476.00,1650.00,0.00,16452.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.00,4724.00
23:19:04,6.82,0.00,2.78,1.26,0.00,89.14,40.00,0.00,168.00,4.20,0.02,0.40,0.40,1.60,32.00,0.00,32.00,0.00,136.00,4,680,2.52,2.06,1.99,0,26620976,6325944,19.20,75964,3521732,5677356,17.23,3535424,2539220,80968,lo,279.00,279.00,3169.10,3169.10,0.00,0.00,0.00,0.00,0.00,452.00,1512.00,0.00,4525.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,128.00,10269.00
23:19:05,6.23,0.00,1.25,1.25,0.00,91.27,123.00,0.00,768.00,6.24,0.03,0.23,0.23,2.80,40.00,0.00,40.00,0.00,168.00,1,700,2.52,2.06,1.99,0,26609696,6337224,19.23,75964,3532228,5677356,17.23,3537600,2548928,91692,lo,1829.00,1829.00,23651.32,23651.32,0.00,0.00,0.00,0.00,0.00,68.00,215.00,0.00,694.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,104.00,10416.00
23:19:06,0.76,0.00,0.00,0.00,0.00,99.24,16.00,0.00,688.00,43.00,0.02,1.50,0.75,1.20,123.00,0.00,123.00,0.00,768.00,2,709,2.52,2.06,1.99,0,26606060,6340860,19.25,75964,3535260,5677356,17.23,3538748,2552048,94504,lo,6450.00,6450.00,94684.72,94684.72,0.00,0.00,0.00,0.00,0.00,84.00,351.00,0.00,1193.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,108.00,7477.00
23:19:07,0.75,0.00,0.50,0.25,0.00,98.50,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,16.00,0.00,16.00,0.00,688.00,4,759,2.52,2.06,1.99,0,26605496,6341424,19.25,75964,3535892,5677356,17.23,3538904,2552660,95140,lo,1032.00,1032.00,22719.18,22719.18,0.00,0.00,0.00,0.00,0.00,388.00,1061.00,0.00,6658.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,1902.00
23:19:08,8.52,0.00,1.75,0.75,0.00,88.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,0,759,2.32,2.03,1.98,0,26477300,6469620,19.64,75968,3636640,5709524,17.33,3560276,2652216,195564,lo,72.00,72.00,8.73,8.73,0.00,0.00,0.00,0.00,0.00,340.00,26390.00,0.00,30519.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,2017.00
23:19:09,41.01,0.00,12.91,0.00,0.00,46.08,4.00,0.00,16.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,758,2.32,2.03,1.98,0,26344892,6602028,20.04,75968,3677096,6313820,19.16,3655960,2689124,235176,lo,32.00,32.00,4.20,4.20,0.00,0.00,0.00,0.00,0.00,4.00,51353.00,0.00,17172.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,53.00,8183.00
23:19:10,49.50,0.00,5.75,0.00,0.00,44.75,10.00,0.00,2792.00,279.20,0.01,1.20,0.40,0.40,4.00,0.00,4.00,0.00,16.00,5,797,2.32,2.03,1.98,0,26200864,6746056,20.48,75968,3677176,6290844,19.09,3800912,2689472,235680,lo,75.00,75.00,286.25,286.25,0.00,0.00,0.00,0.00,0.00,0.00,31513.00,0.00,397.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,773.00,24117.00
23:19:11,56.57,0.00,1.52,0.00,0.00,41.92,1.00,0.00,24.00,24.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,2792.00,6,809,2.32,2.03,1.98,0,25998212,6948708,21.09,75968,3677172,6413360,19.47,4003648,2689428,235676,lo,24.00,24.00,4.38,4.38,0.00,0.00,0.00,0.00,0.00,8.00,55680.00,0.00,5518.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,296.00,8753.00
23:19:12,75.69,0.00,3.01,0.00,0.00,21.30,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,24.00,7,821,2.32,2.03,1.98,0,25981940,6964980,21.14,75968,3677504,6445568,19.56,4018716,2689624,236008,lo,1152.00,1152.00,278.48,278.48,0.00,0.00,0.00,0.00,0.00,1396.00,1607.00,0.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,3096.00
