timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
23:03:24,4.03,0.00,0.25,0.00,0.00,95.72,136.00,0.00,2528.00,18.59,0.10,0.76,0.74,10.00,33.00,0.00,33.00,0.00,19264.00,2,674,2.21,2.54,2.29,0,12112492,20834428,63.24,55556,17710448,6161208,18.70,9010552,11176436,334956,lo,5.00,5.00,0.51,0.51,0.00,0.00,0.00,0.00,0.00,84.00,33763.00,0.00,115018.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,1651.00
23:03:25,25.82,0.00,4.05,0.25,0.00,69.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,136.00,0.00,136.00,0.00,2528.00,2,677,2.21,2.54,2.29,0,11944196,21002724,63.75,55576,17710620,6193400,18.80,9178712,11176560,326232,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,9632.00,36550.00,0.00,450.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2213.00
23:03:26,65.42,0.00,2.24,0.00,0.00,32.34,6.00,8.00,80.00,14.67,0.01,1.33,1.33,0.80,0.00,0.00,0.00,0.00,0.00,0,679,2.21,2.54,2.29,0,11891384,21055536,63.91,55752,17710424,6111516,18.55,9230524,11176560,326200,lo,52.00,52.00,9.05,9.05,0.00,0.00,0.00,0.00,0.00,1264.00,13237.00,0.00,266.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,83.00,6294.00
23:03:27,48.35,0.00,1.27,2.03,0.00,48.35,26.00,0.00,104.00,4.00,0.01,0.46,0.46,1.20,6.00,1.00,5.00,8.00,80.00,0,679,2.21,2.54,2.29,0,11827296,21119624,64.10,55752,17710628,6212604,18.86,9295044,11176368,326096,lo,125.00,125.00,117.56,117.56,0.00,0.00,0.00,0.00,0.00,0.00,20434.00,0.00,3558.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,4136.00
23:03:28,70.71,0.00,1.77,0.00,0.00,27.53,137.00,0.00,2600.00,18.98,0.07,0.50,0.50,6.80,28.00,0.00,28.00,0.00,112.00,0,679,2.04,2.49,2.27,0,12268548,20678372,62.76,55752,17710304,5464040,16.58,8854800,11176368,325772,lo,876.00,876.00,12023.89,12023.89,0.00,0.00,0.00,0.00,4.00,40.00,5816.00,0.00,172877.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,4240.00
23:03:29,34.92,0.00,2.26,0.00,0.00,62.81,234.00,0.00,1888.00,8.07,0.07,0.31,0.31,7.20,135.00,0.00,135.00,0.00,2592.00,1,682,2.04,2.49,2.27,0,12481104,20465816,62.12,55752,17470352,5540928,16.82,8870668,10952008,201448,lo,1230.00,1230.00,11947.25,11947.25,0.00,0.00,0.00,0.00,0.00,56.00,8528.00,0.00,5578.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,3957.00
23:03:30,52.27,0.00,2.02,0.25,0.00,45.45,32.00,0.00,128.00,4.00,0.02,0.50,0.50,1.60,234.00,0.00,234.00,0.00,1888.00,5,681,2.04,2.49,2.27,0,12465536,20481384,62.16,55752,17482664,5540928,16.82,8875300,10962804,212776,lo,477.00,477.00,8665.61,8665.61,0.00,0.00,0.00,0.00,0.00,1296.00,2040.00,0.00,4836.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.89,2147.52
23:03:31,21.91,0.00,1.01,1.01,0.00,76.07,110.00,0.00,464.00,4.22,0.04,0.36,0.36,4.00,38.00,0.00,38.00,0.00,152.00,1,688,2.04,2.49,2.27,0,12453100,20493820,62.20,55760,17494036,5540928,16.82,8875780,10973828,224120,lo,2691.00,2691.00,49138.29,49138.29,0.00,0.00,0.00,0.00,0.00,944.00,1249.00,0.00,4864.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,4626.00
23:03:32,7.07,0.00,1.26,1.26,0.00,90.40,250.00,0.00,1040.00,4.16,0.06,0.22,0.22,5.60,192.00,0.00,192.00,0.00,808.00,3,705,2.04,2.49,2.27,0,12444320,20502600,62.23,55760,17502892,5540928,16.82,8876204,10982036,232988,lo,1277.00,1277.00,12802.47,12802.47,0.00,0.00,0.00,0.00,0.00,80.00,187.00,0.00,2487.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,65.00,7766.00
23:03:33,1.76,0.00,0.25,0.00,0.00,97.99,164.00,0.00,840.00,5.12,0.05,0.29,0.29,4.80,228.00,0.00,228.00,0.00,952.00,2,710,2.11,2.50,2.28,0,12406972,20539948,62.34,55760,17540316,5540928,16.82,8877900,11017116,270412,lo,4560.00,4560.00,48787.11,48787.11,0.00,0.00,0.00,0.00,0.00,400.00,953.00,0.00,13521.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,116.00,8704.00
23:03:34,3.80,0.00,3.29,1.01,0.00,91.90,5.00,0.00,2816.00,563.20,0.01,2.40,0.80,0.40,98.00,0.00,98.00,0.00,560.00,4,722,2.11,2.50,2.28,0,12373464,20573456,62.44,55760,17560400,5540928,16.82,8892348,11036588,290496,lo,4628.00,4628.00,90897.37,90897.37,0.00,0.00,0.00,0.00,0.00,484.00,4403.00,0.00,4911.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,2639.00
23:03:35,19.45,0.00,1.75,1.50,0.00,77.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,2816.00,0,769,2.11,2.50,2.28,0,12311064,20635856,62.63,55760,17600460,5540928,16.82,8914172,11074848,330884,lo,46.00,46.00,5.58,5.58,0.00,0.00,0.00,0.00,0.00,272.00,13985.00,0.00,18090.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,56.00,6493.00
23:03:36,45.50,0.00,6.00,0.50,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,768,2.11,2.50,2.28,0,12152972,20793948,63.11,56104,17704744,6143692,18.65,8968248,11176952,435500,lo,44.00,44.00,5.49,5.49,0.00,0.00,0.00,0.00,0.00,1408.00,50878.00,0.00,36027.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,124.00,7640.00
23:03:37,29.40,0.00,13.32,0.00,0.00,57.29,8.00,0.00,40.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,806,2.11,2.50,2.28,0,11984620,20962300,63.62,56104,17705024,6150304,18.67,9136904,11176516,435636,lo,88.00,88.00,288.34,288.34,0.00,0.00,0.00,0.00,0.00,0.00,39441.00,0.00,583.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,304.00,22381.00
23:03:38,58.00,0.00,2.50,0.00,0.00,39.50,400.00,0.00,195880.00,489.70,3.20,7.99,0.10,4.00,8.00,0.00,8.00,0.00,40.00,7,814,2.43,2.56,2.30,0,11762528,21184392,64.30,56104,17705020,6150304,18.67,9358496,11176476,435640,lo,25.00,25.00,3.99,3.99,0.00,0.00,0.00,0.00,0.00,0.00,58817.00,0.00,2204.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,822.00,16857.00
23:03:39,70.50,0.00,3.75,0.00,0.00,25.75,8.00,0.00,2760.00,345.00,0.02,2.00,1.00,0.80,400.00,0.00,400.00,0.00,195880.00,6,830,2.43,2.56,2.30,0,11745760,21201160,64.35,56104,17705360,6284940,19.08,9373588,11176692,435980,lo,1155.00,1155.00,279.04,279.04,0.00,0.00,0.00,0.00,0.00,20.00,4522.00,0.00,3545.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,4658.00
23:03:40,49.75,0.00,1.26,0.00,0.00,48.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,2760.00,4,837,2.43,2.56,2.30,0,11743912,21203008,64.36,56104,17705320,6284940,19.08,9375432,11176704,337760,lo,48.00,48.00,7.56,7.56,0.00,0.00,0.00,0.00,0.00,97940.00,685.00,0.00,340.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,3312.00
23:03:41,8.54,0.00,0.50,0.25,0.00,90.70,2.00,0.00,8.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,833,2.43,2.56,2.30,0,11700340,21246580,64.49,56172,17706132,6842316,20.77,9415288,11176704,338972,lo,185.00,185.00,1985.72,1985.72,0.00,0.00,0.00,0.00,0.00,1380.00,49696.00,0.00,23616.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.00,3712.00
23:03:42,36.80,0.00,5.58,0.25,0.00,57.36,6.00,0.00,24.00,4.00,0.00,0.67,0.67,0.40,2.00,0.00,2.00,0.00,8.00,2,832,2.43,2.56,2.30,0,11516080,21430840,65.05,56172,17706552,6842316,20.77,9601484,11176844,339420,lo,1622.00,1622.00,56943.51,56943.51,0.00,0.00,0.00,0.00,0.00,0.00,41070.00,0.00,556.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1414.00
23:03:43,85.86,0.00,3.54,0.00,0.00,10.61,10.00,0.00,792.00,79.20,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,24.00,2,830,2.39,2.55,2.30,0,11435124,21511796,65.29,56172,17707108,6842092,20.77,9682728,11176096,339980,lo,3294.00,3294.00,117653.81,117653.81,0.00,0.00,0.00,0.00,0.00,4.00,24087.00,0.00,642.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,265.00,14023.00
23:03:44,90.20,0.00,1.76,0.00,0.00,8.04,8.00,0.00,536.00,67.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,792.00,2,830,2.39,2.55,2.30,0,11325068,21621852,65.63,56172,17715740,6842092,20.77,9782992,11183712,348612,lo,3372.00,3372.00,120229.48,120229.48,0.00,0.00,0.00,0.00,0.00,12.00,24052.00,0.00,5358.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,7026.00
23:03:45,97.49,0.00,2.01,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,536.00,2,829,2.39,2.55,2.30,0,11292872,21654048,65.72,56172,17742784,6842092,20.77,9788228,11209136,375328,lo,3565.00,3565.00,122806.76,122806.76,0.00,0.00,0.00,0.00,0.00,396.00,931.00,0.00,4034.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.00,4995.00
23:03:46,61.71,0.00,2.27,0.00,0.00,36.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,767,2.39,2.55,2.30,0,11283388,21663532,65.75,56176,17770648,6842092,20.77,9770320,11235280,403472,lo,3135.00,3135.00,112309.89,112309.89,0.00,0.00,0.00,0.00,0.00,268.00,254.00,0.00,9331.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,6788.00
