timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
21:13:35,36.16,0.00,2.49,0.25,0.00,61.10,8.00,0.00,32.00,4.00,0.00,0.50,0.50,0.40,8.00,0.00,8.00,0.00,32.00,1,764,2.76,2.95,2.39,0,27074536,5872384,17.82,87512,2866640,6665680,20.23,3205868,2428548,2652,lo,76.00,76.00,465.71,465.71,0.00,0.00,0.00,0.00,0.00,16.00,36497.00,0.00,4881.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,3583.00
21:13:36,37.00,0.00,3.25,0.00,0.00,59.75,13.00,0.00,960.00,73.85,0.00,0.00,0.00,0.00,13.00,0.00,13.00,0.00,960.00,2,763,2.76,2.95,2.39,0,27151960,5794960,17.59,87524,2859080,6673492,20.26,3132240,2424744,2660,lo,13.00,13.00,10.35,10.35,0.00,0.00,0.00,0.00,0.00,480.00,42008.00,0.00,58215.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,83.00,5273.00
21:13:37,25.06,0.00,2.51,0.00,0.00,72.43,3.00,8.00,72.00,26.67,0.00,0.00,0.00,0.00,3.00,1.00,2.00,8.00,72.00,2,762,2.76,2.95,2.39,0,27222732,5724188,17.37,87528,2859088,6621808,20.10,3062128,2424744,2808,lo,20.00,20.00,2.16,2.16,0.00,0.00,0.00,0.00,4.00,36.00,33928.00,0.00,50425.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.00,3616.00
21:13:38,36.91,0.00,1.75,0.00,0.00,61.35,2.00,0.00,8.00,4.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,8.00,1,763,2.76,2.95,2.39,0,27077992,5868928,17.81,87528,2859108,6654092,20.20,3206268,2424744,2816,lo,17.00,17.00,1.54,1.54,0.00,0.00,0.00,0.00,0.00,4.00,36398.00,0.00,409.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,3083.00
21:13:39,29.25,0.00,3.75,0.00,0.00,67.00,5.00,0.00,152.00,30.40,0.00,0.80,0.80,0.40,5.00,0.00,5.00,0.00,152.00,2,763,2.62,2.91,2.38,0,27131872,5815048,17.65,87528,2859108,6654716,20.20,3152212,2424740,2816,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,76.00,48006.00,0.00,58832.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,49.00,4637.00
21:13:40,59.64,0.00,3.05,0.00,0.00,37.31,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,6,817,2.62,2.91,2.38,0,26965220,5981700,18.16,87528,2859112,7171164,21.77,3317496,2424740,2820,lo,35.00,35.00,10.99,10.99,0.00,0.00,0.00,0.00,0.00,4.00,43672.00,0.00,1662.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,56.00,5784.00
21:13:41,87.66,0.00,3.53,0.00,0.00,8.82,66.00,0.00,3016.00,45.70,0.01,0.18,0.12,0.80,66.00,0.00,66.00,0.00,3016.00,12,822,2.62,2.91,2.38,0,26728904,6218016,18.87,87532,2859048,7287372,22.12,3552652,2424672,1148,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,1508.00,60504.00,0.00,1528.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,5601.00
21:13:42,84.42,0.00,3.52,2.01,0.00,10.05,170.00,0.00,5144.00,30.26,0.08,0.47,0.47,8.00,170.00,0.00,170.00,0.00,5144.00,3,838,2.62,2.91,2.38,1,26560968,6385952,19.38,87756,2860140,7320488,22.22,3719396,2425552,1316,lo,86.00,86.00,11.72,11.72,0.00,0.00,0.00,0.00,0.00,2616.00,43793.00,0.00,2066.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,5383.00
21:13:43,60.71,0.00,0.77,5.87,0.00,32.65,520.00,0.00,8648.00,16.63,0.33,0.63,0.52,26.80,520.00,0.00,520.00,0.00,8648.00,2,844,2.62,2.91,2.38,0,26513752,6433168,19.53,88572,2860912,7367020,22.36,3765588,2426168,1416,lo,6.00,6.00,0.95,0.95,0.00,0.00,0.00,0.00,0.00,4280.00,12665.00,0.00,1376.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,5456.00
21:13:44,55.17,0.00,1.48,5.91,0.00,37.44,513.00,0.00,9304.00,18.14,0.27,0.53,0.52,26.80,515.00,0.00,515.00,0.00,9320.00,3,840,2.65,2.91,2.38,1,26512652,6434268,19.53,89200,2862028,7367020,22.36,3765764,2426228,2048,lo,6.00,6.00,0.53,0.53,0.00,0.00,0.00,0.00,0.00,4660.00,1159.00,0.00,1554.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,6528.00
21:13:45,46.82,0.00,1.27,4.07,0.00,47.84,356.00,0.00,7144.00,20.07,0.21,0.58,0.53,18.80,354.00,0.00,354.00,0.00,7128.00,1,841,2.65,2.91,2.38,0,26540956,6405964,19.44,89544,2862396,7399308,22.46,3736760,2426476,2380,lo,31.00,31.00,3.68,3.68,0.00,0.00,0.00,0.00,0.00,3564.00,3851.00,0.00,11569.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,5744.00
21:13:46,39.55,0.00,1.51,0.00,0.00,58.94,6.00,0.00,48.00,8.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,48.00,4,841,2.65,2.91,2.38,0,26527200,6419720,19.49,89544,2862904,7399308,22.46,3751308,2426608,2136,lo,27.00,27.00,3.80,3.80,0.00,0.00,0.00,0.00,0.00,24.00,4994.00,0.00,1370.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,5361.00
21:13:47,58.29,0.00,1.26,0.25,0.00,40.20,50.00,0.00,1064.00,21.28,0.05,0.96,0.88,4.40,50.00,0.00,50.00,0.00,1064.00,2,841,2.65,2.91,2.38,0,26506988,6439932,19.55,89572,2862880,7399308,22.46,3772268,2426612,2144,lo,37.00,37.00,4.94,4.94,0.00,0.00,0.00,0.00,0.00,532.00,5435.00,0.00,126.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5554.00
21:13:48,56.50,0.00,1.25,0.25,0.00,42.00,27.00,464.00,136.00,22.22,0.01,0.44,0.30,0.80,27.00,22.00,5.00,464.00,136.00,3,841,2.65,2.91,2.38,0,26475988,6470932,19.64,89572,2862992,7399308,22.46,3803252,2426456,2016,lo,28.00,28.00,4.39,4.39,0.00,0.00,0.00,0.00,232.00,68.00,8480.00,0.00,888.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5200.00
21:13:49,52.41,0.00,6.84,0.00,0.00,40.76,77.00,8.00,153352.00,1991.69,1.48,19.27,0.57,4.40,77.00,1.00,76.00,8.00,153352.00,2,849,2.76,2.93,2.39,0,26249516,6697404,20.33,89576,3016164,7466404,22.66,3950004,2502628,78276,lo,2077.00,2077.00,76790.82,76790.82,0.00,0.00,0.00,0.00,4.00,76676.00,17823.00,0.00,14363.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,16504.00
21:13:50,64.50,0.00,2.50,0.00,0.00,33.00,3.00,24.00,0.00,8.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,24.00,0.00,4,857,2.76,2.93,2.39,0,26165068,6781852,20.58,89576,3016520,7618224,23.12,4034672,2503124,78640,lo,112.00,112.00,266.16,266.16,0.00,0.00,0.00,0.00,12.00,0.00,22971.00,0.00,1442.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,5955.00
21:13:51,87.53,0.00,3.05,0.00,0.00,9.41,2.00,0.00,16.00,8.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,16.00,6,862,2.76,2.93,2.39,0,26155164,6791756,20.61,89576,3017436,7618224,23.12,4043760,2503784,79548,lo,903.00,903.00,18907.28,18907.28,0.00,0.00,0.00,0.00,0.00,8.00,4492.00,0.00,2433.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,6786.00
21:13:52,89.62,0.00,2.03,0.00,0.00,8.35,9.00,104.00,952.00,117.33,0.00,0.00,0.00,0.00,9.00,7.00,2.00,104.00,952.00,5,866,2.76,2.93,2.39,0,26121448,6825472,20.72,89580,3017760,7683788,23.32,4078160,2503476,80176,lo,346.00,346.00,498.10,498.10,0.00,0.00,0.00,0.00,52.00,476.00,8753.00,0.00,310.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,6982.00
21:13:53,46.23,0.00,0.75,0.50,0.00,52.51,94.00,16.00,408.00,4.51,0.03,0.34,0.34,3.20,96.00,2.00,94.00,16.00,416.00,1,873,2.76,2.93,2.39,0,26114416,6832504,20.74,89580,3018156,7683788,23.32,4085104,2503140,80568,lo,615.00,615.00,270.37,270.37,0.00,0.00,0.00,0.00,8.00,216.00,3382.00,0.00,2073.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.00,8319.00
21:13:54,8.23,0.00,2.00,0.50,0.00,89.28,32.00,0.00,1200.00,37.50,0.02,0.50,0.50,1.60,30.00,0.00,30.00,0.00,1192.00,0,745,2.53,2.88,2.38,0,27187328,5759592,17.48,89592,2940216,6062024,18.40,3020676,2498660,79240,lo,109.00,109.00,14.97,14.97,0.00,0.00,0.00,0.00,0.00,588.00,2377.00,0.00,270482.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.00,3712.00
21:13:55,0.25,0.00,0.00,0.00,0.00,99.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,745,2.53,2.88,2.38,0,27188072,5758848,17.48,89592,2940032,6062024,18.40,3019976,2498580,79100,lo,6.00,6.00,0.95,0.95,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,122.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1079.00
21:13:56,0.25,0.00,0.25,0.00,0.00,99.50,3.00,0.00,176.00,58.67,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,176.00,0,745,2.53,2.88,2.38,0,27188072,5758848,17.48,89592,2940036,6062024,18.40,3019976,2498580,79024,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,88.00,2.00,0.00,122.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1032.00
21:13:57,0.25,0.00,0.25,0.00,0.00,99.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,745,2.53,2.88,2.38,0,27188072,5758848,17.48,89592,2940036,6062024,18.40,3019976,2498580,79024,lo,6.00,6.00,1.68,1.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1026.00
21:13:58,0.00,0.00,0.25,0.00,0.00,99.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,745,2.53,2.88,2.38,0,27188072,5758848,17.48,89592,2940036,6062024,18.40,3019976,2498580,79024,lo,6.00,6.00,0.95,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1049.00
21:13:59,18.61,0.00,2.48,0.00,0.00,78.91,8.00,0.00,440.00,55.00,0.00,0.50,0.50,0.40,8.00,0.00,8.00,0.00,440.00,1,762,2.33,2.84,2.37,0,27134752,5812168,17.64,89604,2936316,6627428,20.12,3077812,2496816,78700,lo,13.00,13.00,10.54,10.54,0.00,0.00,0.00,0.00,0.00,220.00,27606.00,0.00,9726.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,92.00,4176.00
