timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
21:02:27,31.75,0.00,1.75,0.00,0.00,66.50,3.00,0.00,152.00,50.67,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,152.00,0,754,3.46,2.72,1.67,0,27683964,5262956,15.97,45456,2349352,6712348,20.37,3045008,1999936,393372,lo,20.00,20.00,2.89,2.89,0.00,0.00,0.00,0.00,0.00,76.00,33737.00,0.00,230.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2532.00
21:02:28,36.07,0.00,4.73,0.00,0.00,59.20,4.00,0.00,144.00,36.00,0.00,1.00,1.00,0.40,4.00,0.00,4.00,0.00,144.00,2,753,3.27,2.69,1.67,0,28043292,4903628,14.88,45456,2034504,6740432,20.46,2991832,1702304,78468,lo,6.00,6.00,1.16,1.16,0.00,0.00,0.00,0.00,0.00,72.00,52538.00,0.00,139870.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,57.00,5162.00
21:02:29,62.91,0.00,2.01,0.00,0.00,35.09,5.00,0.00,432.00,86.40,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,432.00,8,806,3.27,2.69,1.67,0,27859156,5087764,15.44,45468,2034376,7213764,21.90,3175648,1702196,78356,lo,32.00,32.00,10.36,10.36,0.00,0.00,0.00,0.00,0.00,216.00,49082.00,0.00,2312.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,55.00,5635.00
21:02:30,81.82,0.00,4.55,0.00,0.00,13.64,1.00,0.00,120.00,120.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,120.00,8,819,3.27,2.69,1.67,0,27638296,5308624,16.11,45468,2034428,7389420,22.43,3395384,1702220,78404,lo,26.00,26.00,7.13,7.13,0.00,0.00,0.00,0.00,0.00,60.00,55184.00,0.00,277.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,5480.00
21:02:31,60.71,0.00,7.05,0.00,0.00,32.24,76.00,0.00,153352.00,2017.79,1.47,19.37,0.47,3.60,76.00,0.00,76.00,0.00,153352.00,6,836,3.27,2.69,1.67,0,27287456,5659464,17.18,45468,2187652,7440264,22.58,3664340,1778700,154880,lo,2147.00,2147.00,76785.18,76785.18,0.00,0.00,0.00,0.00,0.00,76676.00,50498.00,0.00,15673.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.00,15651.00
21:02:32,84.92,0.00,2.76,0.00,0.00,12.31,76.00,0.00,1304.00,17.16,0.00,0.00,0.00,0.00,76.00,0.00,76.00,0.00,1304.00,8,848,3.27,2.69,1.67,0,27245672,5701248,17.30,45468,2187796,7560248,22.95,3704964,1778772,154124,lo,5838.00,5838.00,207128.09,207128.09,0.00,0.00,0.00,0.00,0.00,652.00,11852.00,0.00,2244.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,6473.00
21:02:33,78.54,0.00,7.32,0.25,0.00,13.89,2.00,0.00,8.00,4.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,8.00,11,844,3.32,2.71,1.68,0,27157344,5789576,17.57,45468,2273684,7596740,23.06,3704644,1864924,239972,lo,7270.00,7270.00,267069.75,267069.75,0.00,0.00,0.00,0.00,0.00,4.00,5190.00,0.00,26751.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,9523.00
21:02:34,86.73,0.00,6.38,0.00,0.00,6.89,2.00,0.00,720.00,360.00,0.00,2.00,2.00,0.40,2.00,0.00,2.00,0.00,720.00,6,844,3.32,2.71,1.68,0,27005220,5941700,18.03,45472,2358564,7629048,23.16,3806672,1914976,325184,lo,4321.00,4321.00,157077.18,157077.18,0.00,0.00,0.00,0.00,0.00,360.00,18951.00,0.00,22294.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,6746.00
21:02:35,91.00,0.00,2.25,0.00,0.00,6.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,844,3.32,2.71,1.68,0,26787476,6159444,18.70,45472,2402684,7629048,23.16,4025820,1910948,369316,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,44559.00,0.00,711.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2319.00
21:02:36,83.12,0.00,7.56,0.00,0.00,9.32,16.00,0.00,64.00,4.00,0.01,0.50,0.50,0.80,16.00,0.00,16.00,0.00,64.00,6,861,3.32,2.71,1.68,0,26639580,6307340,19.14,45472,2548144,7629048,23.16,4089624,1991076,514780,lo,3894.00,3894.00,120343.03,120343.03,0.00,0.00,0.00,0.00,0.00,32.00,1532.00,0.00,19515.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.00,24738.00
21:02:37,84.91,0.00,3.84,0.00,0.00,11.25,33.00,0.00,848.00,25.70,0.01,0.24,0.24,0.80,33.00,0.00,33.00,0.00,848.00,4,846,3.32,2.71,1.68,0,26609668,6337252,19.23,45472,2552800,7629048,23.16,4138472,1972076,518888,lo,1456.00,1456.00,40991.27,40991.27,0.00,0.00,0.00,0.00,0.00,424.00,7643.00,0.00,22454.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,11722.00
