timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:18:30,26.82,0.00,1.38,0.00,0.00,71.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,80.00,2,904,2.59,2.53,2.56,0,8559692,7871636,47.91,110396,4430156,6529204,39.74,3964268,3643796,81096,lo,22.00,22.00,2.46,2.46,0.00,0.00,0.00,0.00,0.00,40.00,33351.00,0.00,37573.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.00,6691.00
12:18:31,13.50,0.00,1.62,0.00,0.00,84.88,5.00,0.00,672.00,134.40,0.01,1.60,1.60,0.80,2.00,0.00,2.00,0.00,72.00,2,902,2.59,2.53,2.56,0,8626516,7804812,47.50,110396,4431296,6448388,39.24,3895520,3644172,82236,lo,5.00,5.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,36.00,24227.00,0.00,39715.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,55.00,4026.00
12:18:32,29.27,0.00,1.01,0.00,0.00,69.72,8.00,0.00,32.00,4.00,0.01,1.00,1.00,0.80,3.00,0.00,3.00,0.00,600.00,1,907,2.59,2.53,2.56,0,8530248,7901080,48.09,110400,4431184,6539140,39.80,3992780,3644368,82400,lo,47.00,47.00,5.46,5.46,0.00,0.00,0.00,0.00,0.00,300.00,25096.00,0.00,469.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,5508.00
12:18:33,17.65,0.00,1.25,0.25,0.00,80.85,33.00,0.00,200.00,6.06,0.02,0.61,0.61,2.00,41.00,0.00,41.00,0.00,232.00,1,866,2.59,2.53,2.56,0,8845008,7586320,46.17,110400,4431484,5812636,35.38,3677896,3644568,82704,lo,183.00,183.00,422.82,422.82,0.00,0.00,0.00,0.00,0.00,116.00,22962.00,0.00,102623.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.00,6430.00
12:18:34,17.29,0.00,1.00,0.00,0.00,81.70,14.00,0.00,136.00,9.71,0.01,0.86,0.86,1.20,14.00,0.00,14.00,0.00,136.00,3,900,2.54,2.52,2.56,0,8779276,7652052,46.57,110400,4431540,6188852,37.66,3742660,3644672,82840,lo,204.00,204.00,527.46,527.46,0.00,0.00,0.00,0.00,0.00,68.00,22033.00,0.00,5377.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,83.00,4879.00
12:18:35,29.06,0.00,1.01,0.00,0.00,69.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,901,2.54,2.52,2.56,0,8666472,7764856,47.26,110400,4431544,6332372,38.54,3856376,3644904,82796,lo,43.00,43.00,5.52,5.52,0.00,0.00,0.00,0.00,0.00,0.00,29084.00,0.00,435.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,6731.00
12:18:36,39.92,0.00,1.38,0.13,0.00,58.57,3.00,0.00,760.00,253.33,0.01,2.67,1.33,0.40,0.00,0.00,0.00,0.00,0.00,4,917,2.54,2.52,2.56,3,8524056,7907272,48.12,110408,4431536,6364928,38.74,3997436,3644792,82796,lo,35.00,35.00,4.66,4.66,0.00,0.00,0.00,0.00,0.00,0.00,37628.00,0.00,2383.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,4909.00
12:18:37,24.22,0.00,0.50,0.00,0.00,75.28,10.00,0.00,40.00,4.00,0.00,0.40,0.40,0.40,13.00,0.00,13.00,0.00,800.00,0,965,2.54,2.52,2.56,0,8464232,7967096,48.49,110412,4431556,6532824,39.76,4055820,3644788,83040,lo,67.00,67.00,127.80,127.80,0.00,0.00,0.00,0.00,0.00,400.00,15519.00,0.00,1046.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.00,4084.00
12:18:38,0.88,0.00,0.25,0.00,0.00,98.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,964,2.54,2.52,2.56,0,8456748,7974580,48.53,110412,4431692,6532824,39.76,4064496,3644900,83180,lo,20.00,20.00,2.77,2.77,0.00,0.00,0.00,0.00,0.00,0.00,1951.00,0.00,149.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1548.00
12:18:39,36.01,0.00,2.76,0.00,0.00,61.23,84.00,0.00,153416.00,1826.38,1.50,17.81,0.38,3.20,84.00,0.00,84.00,0.00,153416.00,2,1012,2.33,2.48,2.54,0,8329844,8101484,49.31,110412,4431696,7093488,43.17,4188692,3644900,6696,lo,68.00,68.00,13.99,13.99,0.00,0.00,0.00,0.00,0.00,76708.00,35589.00,0.00,2679.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,57.00,7111.00
12:18:40,52.52,0.00,2.64,0.00,0.00,44.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,1024,2.33,2.48,2.54,0,8160740,8270588,50.33,110412,4431904,7040184,42.85,4357668,3645032,6696,lo,181.00,181.00,831.64,831.64,0.00,0.00,0.00,0.00,0.00,0.00,42951.00,0.00,588.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,9780.00
12:18:41,25.32,0.00,2.03,0.00,0.00,72.66,9.00,0.00,704.00,78.22,0.01,1.33,1.33,1.20,7.00,0.00,7.00,0.00,160.00,5,994,2.33,2.48,2.54,5,8358828,8072500,49.13,110420,4432948,6838044,41.62,4159144,3645272,7756,lo,120.00,120.00,41.84,41.84,0.00,0.00,0.00,0.00,0.00,80.00,76583.00,0.00,126376.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,81.00,10143.00
