timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
22:13:11,5.34,0.00,11.63,4.65,0.00,78.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.00,0.00,177.00,0.00,215328.00,1,743,1.92,1.62,1.68,0,9777832,6653496,40.49,64204,3203328,5910568,35.97,4199264,2222528,167656,lo,5.00,5.00,0.51,0.51,0.00,0.00,0.00,0.00,0.00,56.00,187.00,0.00,662.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,6190.00
22:13:12,30.53,0.00,1.76,0.00,0.00,67.71,53.00,0.00,904.00,17.06,0.04,0.75,0.75,4.00,141.00,1.00,140.00,8.00,117296.00,1,742,1.92,1.62,1.68,0,9762704,6668624,40.58,64204,3203348,5910568,35.97,4213756,2222528,167788,lo,8.00,8.00,3.52,3.52,0.00,0.00,0.00,0.00,0.00,165880.00,19.00,0.00,126.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,4776.00
22:13:13,24.81,0.00,1.38,0.38,0.00,73.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,80.00,1,742,1.76,1.59,1.67,0,10099724,6331604,38.53,64204,3202612,5582344,33.97,3877208,2222288,167048,lo,3.00,3.00,0.41,0.41,0.00,0.00,0.00,0.00,4.00,20.00,7707.00,0.00,107749.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5294.00
22:13:14,35.34,0.00,1.13,0.00,0.00,63.53,8.00,0.00,168.00,21.00,0.00,0.50,0.50,0.40,47.00,0.00,47.00,0.00,872.00,1,742,1.76,1.59,1.67,0,10099352,6331976,38.54,64204,3202872,5582344,33.97,3876920,2222476,167280,lo,29.00,29.00,3.62,3.62,0.00,0.00,0.00,0.00,0.00,452.00,44166.00,0.00,14459.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,1822.00
22:13:15,25.03,0.00,0.63,0.00,0.00,74.34,10.00,0.00,48.00,4.80,0.00,0.40,0.40,0.40,6.00,0.00,6.00,0.00,32.00,1,742,1.76,1.59,1.67,0,10098444,6332884,38.54,64204,3202872,5582344,33.97,3876984,2222476,1444,lo,67.00,67.00,9.29,9.29,0.00,0.00,0.00,0.00,0.00,432.00,24479.00,0.00,29816.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,6455.00
22:13:16,18.39,0.00,0.76,0.00,0.00,80.86,54.00,0.00,224.00,4.15,0.02,0.44,0.44,2.40,8.00,0.00,8.00,0.00,168.00,1,742,1.76,1.59,1.67,0,10500520,5930808,36.09,64216,3174724,5320308,32.38,3476284,2222128,1508,lo,364.00,364.00,4975.26,4975.26,0.00,0.00,0.00,0.00,0.00,20.00,20531.00,0.00,1235.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.00,6516.00
22:13:17,32.32,0.00,0.88,0.25,0.00,66.54,138.00,0.00,1272.00,9.22,0.08,0.55,0.55,7.60,2.00,0.00,2.00,0.00,8.00,6,745,1.76,1.59,1.67,0,10394016,6037312,36.74,64216,3174844,5387896,32.79,3586880,2222260,1812,lo,818.00,818.00,8370.14,8370.14,0.00,0.00,0.00,0.00,0.00,84.00,9213.00,0.00,2504.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,68.00,6975.00
22:13:18,2.77,0.00,0.76,0.50,0.00,95.97,128.00,0.00,536.00,4.19,0.05,0.41,0.41,5.20,58.00,0.00,58.00,0.00,248.00,1,742,1.62,1.56,1.66,0,10414864,6016464,36.62,64316,3057716,5368156,32.67,3676760,2111784,1544,lo,600.00,600.00,4113.60,4113.60,0.00,0.00,0.00,0.00,0.00,4.00,4413.00,0.00,116913.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,64.00,5524.00
22:13:19,2.00,0.00,0.62,0.50,0.00,96.88,135.00,0.00,1424.00,10.55,0.03,0.24,0.24,3.20,126.00,0.00,126.00,0.00,1216.00,1,742,1.62,1.56,1.66,0,10338652,6092676,37.08,64316,3057648,5392700,32.82,3754660,2111648,1692,lo,478.00,478.00,6875.13,6875.13,0.00,0.00,0.00,0.00,0.00,124.00,6769.00,0.00,6595.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.00,3493.00
22:13:20,0.50,0.00,0.13,0.25,0.00,99.12,32.00,0.00,136.00,4.25,0.01,0.38,0.38,1.20,104.00,0.00,104.00,0.00,440.00,1,741,1.62,1.56,1.66,0,10310812,6120516,37.25,64316,3057648,5477972,33.34,3781140,2111648,1624,lo,513.00,513.00,8563.71,8563.71,0.00,0.00,0.00,0.00,0.00,608.00,929.00,0.00,3234.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,2954.00
