timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:29:13,33.38,0.00,1.14,3.54,0.00,61.95,682.00,0.00,14904.00,21.85,0.41,0.60,0.56,38.40,81.00,0.00,81.00,0.00,1656.00,2,950,2.97,2.77,2.60,0,23272180,9674212,29.36,117820,5627952,8419976,25.56,4578220,4766692,78712,lo,40.00,40.00,6.05,6.05,0.00,0.00,0.00,0.00,0.00,832.00,10337.00,0.00,129.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,5709.00
12:29:14,35.48,0.00,0.74,0.87,0.00,62.90,188.00,0.00,3800.00,20.21,0.08,0.45,0.43,8.00,703.00,0.00,703.00,0.00,13000.00,2,946,2.97,2.77,2.60,1,23237652,9708740,29.47,118004,5628124,8469484,25.71,4614208,4766760,79004,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,6496.00,1206.00,0.00,345.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,10228.00
12:29:15,25.34,0.00,0.87,3.87,0.00,69.91,707.00,0.00,13344.00,18.87,0.34,0.48,0.44,31.20,119.00,0.00,119.00,0.00,2520.00,3,946,2.89,2.76,2.60,0,23229812,9716580,29.49,119000,5629460,8469484,25.71,4621428,4767040,79536,lo,6.00,6.00,0.95,0.95,0.00,0.00,0.00,0.00,0.00,1260.00,7909.00,0.00,3612.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,5303.00
12:29:16,23.31,0.00,0.63,0.13,0.00,75.94,8.00,0.00,32.00,4.00,0.01,1.00,1.00,0.80,6.00,0.00,6.00,0.00,24.00,1,948,2.89,2.76,2.60,0,23207876,9738516,29.56,119000,5629948,8485716,25.76,4641780,4767132,79340,lo,49.00,49.00,6.37,6.37,0.00,0.00,0.00,0.00,0.00,12.00,4520.00,0.00,148.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,8066.00
12:29:17,27.05,0.00,0.99,0.00,0.00,71.96,18.00,0.00,328.00,18.22,0.00,0.22,0.22,0.40,182.00,0.00,182.00,0.00,4768.00,4,947,2.89,2.76,2.60,0,23193280,9753112,29.60,119008,5629944,8502000,25.81,4658624,4767132,79352,lo,33.00,33.00,4.56,4.56,0.00,0.00,0.00,0.00,0.00,2384.00,8744.00,0.00,263.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,6849.00
12:29:18,37.09,0.00,0.38,0.63,0.00,61.90,170.00,0.00,4464.00,26.26,0.20,1.15,0.31,5.20,77.00,0.00,77.00,0.00,153472.00,2,949,2.89,2.76,2.60,0,23157660,9788732,29.71,119140,5629960,8518192,25.85,4692800,4767124,77368,lo,44.00,44.00,7.04,7.04,0.00,0.00,0.00,0.00,0.00,76736.00,18256.00,0.00,13803.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,21698.00
12:29:19,29.67,0.00,3.79,0.00,0.00,66.54,77.00,0.00,153472.00,1993.14,1.42,18.39,0.47,3.60,0.00,0.00,0.00,0.00,0.00,2,961,2.89,2.76,2.60,0,22916680,10029712,30.44,119140,5783320,8605280,26.12,4853708,4843756,154032,lo,2106.00,2106.00,76821.20,76821.20,0.00,0.00,0.00,0.00,0.00,0.00,28845.00,0.00,3448.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,10820.00
12:29:20,40.28,0.00,1.63,0.00,0.00,58.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,973,3.22,2.83,2.62,0,22829556,10116836,30.71,119140,5783320,8767544,26.61,4940464,4843696,154036,lo,695.00,695.00,11925.01,11925.01,0.00,0.00,0.00,0.00,0.00,0.00,19869.00,0.00,5153.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,14152.00
12:29:21,73.68,0.00,1.89,0.00,0.00,24.43,6.00,0.00,40.00,6.67,0.00,0.00,0.00,0.00,117.00,0.00,117.00,0.00,1640.00,10,987,3.22,2.83,2.62,0,22763708,10182684,30.91,119140,5785808,8801456,26.71,5002820,4845956,156524,lo,321.00,321.00,6725.60,6725.60,0.00,0.00,0.00,0.00,0.00,820.00,4786.00,0.00,23041.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,87.00,15215.00
12:29:22,31.77,0.00,2.16,0.25,0.00,65.82,115.00,0.00,1768.00,15.37,0.06,0.52,0.52,6.00,9.00,0.00,9.00,0.00,288.00,0,835,3.22,2.83,2.62,0,23882476,9063916,27.51,119156,5710444,7133680,21.65,3889992,4842776,158228,lo,770.00,770.00,3814.57,3814.57,0.00,0.00,0.00,0.00,0.00,144.00,2720.00,0.00,265364.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,1549.00
12:29:23,0.13,0.00,0.00,0.00,0.00,99.87,5.00,0.00,120.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,835,3.22,2.83,2.62,0,23884088,9062304,27.51,119156,5710260,7133680,21.65,3888940,4842588,158108,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1103.00
12:29:24,0.00,0.00,0.13,0.00,0.00,99.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,835,3.22,2.83,2.62,0,23884088,9062304,27.51,119156,5710260,7133680,21.65,3888940,4842588,158108,lo,6.00,6.00,0.95,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1034.00
12:29:25,0.00,0.00,0.12,0.00,0.00,99.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,835,2.96,2.78,2.61,0,23884088,9062304,27.51,119156,5710260,7133680,21.65,3888940,4842588,158108,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1066.00
12:29:26,0.00,0.00,0.25,0.00,0.00,99.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,480.00,0,835,2.96,2.78,2.61,0,23884088,9062304,27.51,119156,5710260,7133680,21.65,3888940,4842588,158108,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,240.00,0.00,0.00,125.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1123.00
12:29:27,0.13,0.00,0.13,0.00,0.00,99.75,2.00,0.00,480.00,240.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,1,838,2.96,2.78,2.61,0,23882988,9063404,27.51,119168,5710260,7133680,21.65,3890016,4842588,158196,lo,6.00,6.00,0.95,0.95,0.00,0.00,0.00,0.00,0.00,4.00,43202.00,0.00,2097.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.00,6580.00
12:29:28,24.50,0.00,1.62,0.00,0.00,73.88,1.00,0.00,8.00,8.00,0.00,4.00,4.00,0.40,6.00,0.00,6.00,0.00,120.00,1,860,2.96,2.78,2.61,0,23695596,9250796,28.08,119168,5710292,7760932,23.56,4080148,4842620,158232,lo,15.00,15.00,1.29,1.29,0.00,0.00,0.00,0.00,0.00,60.00,34125.00,0.00,57702.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,91.00,5108.00
