timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
18:57:30,53.00,0.00,2.00,0.00,0.00,45.00,1.98,0.00,7.92,4.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,8.00,0,712,2.86,2.70,2.48,0,1175940,2869876,70.93,31256,740104,3648008,90.17,2343056,409400,78072,lo,17.00,17.00,1.54,1.54,0.00,0.00,0.00,0.00,0.00,4.00,13055.00,0.00,417.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,1865.00
18:57:31,73.87,0.00,4.52,0.50,0.00,21.11,4.00,0.00,88.00,22.00,0.00,1.00,1.00,0.40,4.00,0.00,4.00,0.00,88.00,1,712,2.86,2.70,2.48,3,1201100,2844716,70.31,31268,740100,3628572,89.69,2318224,409404,78076,lo,6.00,6.00,0.94,0.94,0.00,0.00,0.00,0.00,0.00,252.00,26005.00,0.00,29076.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,3661.00
18:57:32,40.50,0.00,4.50,0.00,0.00,55.00,6.00,0.00,560.00,93.33,0.01,1.33,1.33,0.80,6.00,0.00,6.00,0.00,560.00,2,710,2.86,2.70,2.48,0,1249120,2796696,69.13,31268,740112,3578520,88.45,2270380,409404,78072,lo,20.00,20.00,1.73,1.73,0.00,0.00,0.00,0.00,0.00,72.00,26612.00,0.00,36697.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,54.00,3165.00
18:57:33,80.40,0.00,4.52,0.00,0.00,15.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,712,2.87,2.70,2.48,0,1158676,2887140,71.36,31268,740116,3643132,90.05,2360412,409396,78080,lo,6.00,6.00,0.52,0.52,0.00,0.00,0.00,0.00,0.00,0.00,23854.00,0.00,574.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,2502.00
18:57:34,87.56,0.00,6.47,0.00,0.00,5.97,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,4,757,2.87,2.70,2.48,0,1042744,3003072,74.23,31268,740060,3888032,96.10,2475332,409332,78024,lo,35.00,35.00,11.12,11.12,0.00,0.00,0.00,0.00,0.00,4.00,30345.00,0.00,1952.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,44.00,4517.00
18:57:35,97.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,120.00,120.00,0.00,4.00,4.00,0.40,1.00,0.00,1.00,0.00,120.00,6,759,2.87,2.70,2.48,0,942644,3103172,76.70,31268,740104,4038060,99.81,2574776,409368,78068,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,60.00,25017.00,0.00,264.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,3187.00
18:57:36,94.06,0.00,5.45,0.00,0.00,0.50,14.00,0.00,408.00,29.14,0.00,0.00,0.00,0.00,14.00,0.00,14.00,0.00,408.00,7,772,2.87,2.70,2.48,2,799680,3246136,80.23,31276,740160,4204796,103.93,2717260,409376,77936,lo,75.00,75.00,13.49,13.49,0.00,0.00,0.00,0.00,0.00,420.00,39087.00,0.00,219.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,3340.00
18:57:37,73.00,0.00,13.00,0.00,0.00,14.00,220.00,0.00,262736.00,1194.25,4.29,19.49,0.75,16.40,220.00,0.00,220.00,0.00,262736.00,3,779,2.87,2.70,2.48,0,576336,3469480,85.75,31276,893568,4294492,106.15,2862588,485920,99992,lo,2169.00,2169.00,76768.81,76768.81,0.00,0.00,0.00,0.00,0.00,131152.00,16584.00,0.00,15168.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,14751.00
18:57:38,92.39,0.00,4.06,0.00,0.00,3.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,789,3.12,2.76,2.50,0,443124,3602692,89.05,31276,893464,4449660,109.98,2996488,486032,100140,lo,181.00,181.00,91.27,91.27,0.00,0.00,0.00,0.00,0.00,0.00,33893.00,0.00,1341.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,3487.00
18:57:39,88.44,0.00,5.53,0.00,0.00,6.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,798,3.12,2.76,2.50,0,388420,3657396,90.40,31276,893636,4548524,112.43,3050588,486020,100332,lo,352.00,352.00,232.05,232.05,0.00,0.00,0.00,0.00,0.00,0.00,15489.00,0.00,1469.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,6205.00
