timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
15:05:33,77.50,0.00,3.00,0.00,0.00,19.50,50.00,0.00,656.00,13.12,0.02,0.40,0.32,1.60,50.00,0.00,50.00,0.00,656.00,2,724,2.00,2.70,2.73,0,1273832,6900752,84.42,113452,3943808,4840796,59.22,3414376,3257280,2276,lo,98.00,98.00,21.75,21.75,0.00,0.00,0.00,0.00,0.00,96.00,21233.00,0.00,8451.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,3951.00
15:05:34,85.43,0.00,1.51,0.50,0.00,12.56,45.00,0.00,192.00,4.27,0.01,0.18,0.18,0.80,45.00,0.00,45.00,0.00,192.00,2,725,2.00,2.70,2.73,0,1173896,7000688,85.64,113452,3978356,5042680,61.69,3480120,3289748,36824,lo,1485.00,1485.00,34816.02,34816.02,0.00,0.00,0.00,0.00,0.00,0.00,22997.00,0.00,386.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,102.00,7553.00
15:05:35,69.39,0.00,7.65,0.51,0.00,22.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,748,2.00,2.70,2.73,0,1083096,7091488,86.75,113452,3978720,5154788,63.06,3571056,3289892,37176,lo,18.00,18.00,2.76,2.76,0.00,0.00,0.00,0.00,0.00,0.00,30716.00,0.00,1455.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,3137.00
15:05:36,85.93,0.00,3.02,0.00,0.00,11.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,749,2.00,2.70,2.73,0,965676,7208908,88.19,113452,3978716,5287420,64.68,3688416,3289800,37172,lo,60.00,60.00,7.45,7.45,0.00,0.00,0.00,0.00,0.00,16.00,8852.00,0.00,2491.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,2393.00
15:05:37,89.95,0.00,4.52,0.00,0.00,5.53,8.00,0.00,32.00,4.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,32.00,2,765,2.00,2.69,2.73,0,938200,7236384,88.52,113452,3978896,5370520,65.70,3714360,3289912,37352,lo,58.00,58.00,228.39,228.39,0.00,0.00,0.00,0.00,0.00,560.00,10817.00,0.00,1546.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,51.00,2792.00
15:05:38,65.33,0.00,1.01,0.50,0.00,33.17,8.00,0.00,1120.00,140.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,1120.00,0,812,2.00,2.69,2.73,0,900332,7274252,88.99,113464,3978952,5402520,66.09,3752120,3290004,37420,lo,45.00,45.00,7.74,7.74,0.00,0.00,0.00,0.00,0.00,8.00,22406.00,0.00,3140.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,1662.00
15:05:39,33.50,0.00,1.50,0.00,0.00,65.00,2.00,0.00,16.00,8.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,16.00,0,812,2.00,2.69,2.73,0,829236,7345348,89.86,113464,3979136,5749268,70.33,3821700,3290004,37648,lo,73.00,73.00,35.69,35.69,0.00,0.00,0.00,0.00,0.00,0.00,25450.00,0.00,456.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,44.00,3597.00
15:05:40,41.92,0.00,3.54,0.00,0.00,54.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,842,2.00,2.69,2.73,0,728864,7445720,91.08,113464,3979228,5783420,70.75,3921944,3290156,37716,lo,18.00,18.00,3.51,3.51,0.00,0.00,0.00,0.00,0.00,0.00,14893.00,0.00,2883.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,7008.00
15:05:41,96.98,0.00,3.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,844,2.00,2.69,2.73,0,679988,7494596,91.68,113464,3979404,5841712,71.46,3970244,3290148,37892,lo,51.00,51.00,8.06,8.06,0.00,0.00,0.00,0.00,0.00,0.00,19244.00,0.00,525.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,4990.00
15:05:42,96.50,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,852,2.08,2.69,2.73,0,603948,7570636,92.61,113464,3979684,5784360,70.76,4045940,3289864,38180,lo,82.00,82.00,13.26,13.26,0.00,0.00,0.00,0.00,0.00,248.00,69986.00,0.00,1516.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.00,2960.00
15:05:43,94.50,0.00,5.00,0.00,0.00,0.50,5.00,0.00,496.00,99.20,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,496.00,5,864,2.08,2.69,2.73,0,328996,7845588,95.98,113476,3979720,6022020,73.67,4321028,3289204,38316,lo,318.00,318.00,6551.82,6551.82,0.00,0.00,0.00,0.00,0.00,80.00,30984.00,0.00,148190.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,3272.00
15:05:44,95.98,0.00,4.02,0.00,0.00,0.00,8.00,0.00,160.00,20.00,0.00,0.50,0.50,0.40,8.00,0.00,8.00,0.00,160.00,4,866,2.08,2.69,2.73,0,802040,7372544,90.19,113480,3980328,5838020,71.42,3849188,3288896,38764,lo,172.00,172.00,76.83,76.83,0.00,0.00,0.00,0.00,0.00,0.00,22186.00,0.00,448.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,74.00,6468.00
15:05:45,83.16,0.00,7.14,0.00,0.00,9.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,844,2.08,2.69,2.73,0,714852,7459732,91.26,113480,3980288,5870848,71.82,3936212,3288820,38832,lo,22.00,22.00,6.42,6.42,0.00,0.00,0.00,0.00,0.00,0.00,14429.00,0.00,126.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,6473.00
15:05:46,96.50,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,846,2.08,2.69,2.73,0,656816,7517768,91.97,113480,3980448,5928292,72.52,3993728,3288900,38992,lo,47.00,47.00,10.18,10.18,0.00,0.00,0.00,0.00,0.00,0.00,39281.00,0.00,580.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,5115.00
15:05:47,95.48,0.00,4.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,854,2.16,2.70,2.73,0,501156,7673428,93.87,113480,3980752,5984212,73.21,4148712,3289256,39304,lo,196.00,196.00,2007.84,2007.84,0.00,0.00,0.00,0.00,0.00,616.00,43502.00,0.00,1398.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.00,2822.00
