timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
18:33:11,26.32,0.00,2.26,0.00,0.00,71.43,2.00,0.00,144.00,72.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,144.00,1,737,1.23,1.07,0.51,0,5298632,2875688,35.18,38720,473492,4701700,57.52,2488688,259644,53404,lo,19.00,19.00,1.71,1.71,0.00,0.00,0.00,0.00,0.00,72.00,26772.00,0.00,39242.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,46.00,2451.00
18:33:12,34.50,0.00,8.75,0.00,0.00,56.75,2.00,0.00,72.00,36.00,0.09,0.00,2.00,0.40,9.00,0.00,9.00,0.00,6128.00,1,719,1.23,1.07,0.51,1,5441156,2733164,33.44,41268,551996,4218844,51.61,2253004,336220,131984,lo,23.00,23.00,2.29,2.29,0.00,0.00,0.00,0.00,0.00,10932.00,37112.00,0.00,97632.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.00,5208.00
18:33:13,19.95,0.00,10.47,0.50,0.00,69.08,32.00,0.00,21832.00,682.25,0.08,5.25,0.50,1.60,25.00,0.00,25.00,0.00,15776.00,1,721,1.21,1.07,0.51,0,5236280,2938040,35.94,42228,602428,4278052,52.34,2385672,387172,193168,lo,47.00,47.00,56.09,56.09,0.00,0.00,0.00,0.00,0.00,20.00,33522.00,0.00,13857.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,3214.00
18:33:14,51.38,0.00,1.75,0.00,0.00,46.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,8.00,4,726,1.21,1.07,0.51,0,5193528,2980792,36.47,42228,612856,4279680,52.36,2416080,397132,203596,lo,19.00,19.00,1.67,1.67,0.00,0.00,0.00,0.00,0.00,0.00,9161.00,0.00,1406.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,4160.00
18:33:15,12.34,0.00,0.76,0.76,0.00,86.15,72.00,0.00,296.00,4.11,0.03,0.44,0.44,3.20,70.00,0.00,70.00,0.00,288.00,0,729,1.21,1.07,0.51,0,5187028,2987292,36.54,42228,612908,4279680,52.36,2421684,397168,203648,lo,282.00,282.00,36.74,36.74,0.00,0.00,0.00,0.00,0.00,148.00,2148.00,0.00,1179.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,49.00,3585.00
18:33:16,25.63,0.00,3.27,0.25,0.00,70.85,62.00,0.00,440.00,7.10,0.02,0.26,0.26,1.60,62.00,0.00,62.00,0.00,440.00,0,729,1.21,1.07,0.51,0,5128120,3046200,37.27,42228,664728,4287696,52.45,2431232,446176,255500,lo,2274.00,2274.00,51998.83,51998.83,0.00,0.00,0.00,0.00,0.00,220.00,2263.00,0.00,12261.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.00,8970.00
18:33:17,19.85,0.00,0.50,0.00,0.00,79.65,10.00,0.00,48.00,4.80,0.08,0.40,0.80,0.80,10.00,0.00,10.00,0.00,48.00,0,728,1.21,1.07,0.51,0,5099880,3074440,37.61,42236,664772,4314884,52.79,2458696,446228,255552,lo,71.00,71.00,113.18,113.18,0.00,0.00,0.00,0.00,0.00,8740.00,9496.00,0.00,2752.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,2349.00
18:33:18,19.90,0.00,3.27,0.50,0.00,76.32,24.00,0.00,17464.00,727.67,0.08,6.17,0.33,0.80,24.00,0.00,24.00,0.00,17464.00,2,755,1.20,1.07,0.51,0,4985888,3188432,39.01,42264,716924,4524608,55.35,2521408,495016,311768,lo,1538.00,1538.00,52040.17,52040.17,0.00,0.00,0.00,0.00,0.00,16.00,19050.00,0.00,3510.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,72.00,5408.00
18:33:19,55.50,0.00,1.75,0.00,0.00,42.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,759,1.20,1.07,0.51,0,4906112,3268208,39.98,42264,700260,4631636,56.66,2617252,479188,311776,lo,38.00,38.00,5.28,5.28,0.00,0.00,0.00,0.00,0.00,0.00,24392.00,0.00,4614.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,4623.00
18:33:20,65.91,0.00,3.01,0.00,0.00,31.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,772,1.20,1.07,0.51,0,4737140,3437180,42.05,42272,700264,4815140,58.91,2785096,479172,311780,lo,40.00,40.00,5.34,5.34,0.00,0.00,0.00,0.00,0.00,0.00,44052.00,0.00,2029.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,3914.00
