timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
19:46:37,72.43,0.00,2.51,5.51,0.00,19.55,370.00,0.00,8864.00,23.96,0.25,0.68,0.68,25.20,355.00,0.00,355.00,0.00,8608.00,2,819,3.81,3.44,3.18,1,7841236,8590620,52.28,126284,5239304,5625904,34.24,3671696,4641728,2132,lo,48.00,48.00,6.71,6.71,0.00,0.00,0.00,0.00,0.00,4564.00,4583.00,0.00,1433.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4370.00
19:46:38,48.88,0.00,2.00,4.24,0.00,44.89,320.00,0.00,5128.00,16.02,0.20,0.61,0.51,16.40,335.00,0.00,335.00,0.00,5384.00,4,820,3.81,3.44,3.18,0,7820124,8611732,52.41,126820,5240040,5751252,35.00,3693008,4642036,2140,lo,6.00,6.00,0.52,0.52,0.00,0.00,0.00,0.00,0.00,2432.00,5810.00,0.00,530.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,4955.00
19:46:39,63.66,0.00,1.25,3.51,0.00,31.58,210.00,0.00,4032.00,19.20,0.16,0.78,0.78,16.40,205.00,0.00,205.00,0.00,3936.00,2,819,3.74,3.44,3.18,1,7811756,8620100,52.46,127124,5240700,5767320,35.10,3700304,4642104,2724,lo,9.00,9.00,1.10,1.10,0.00,0.00,0.00,0.00,0.00,2108.00,1579.00,0.00,134.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3729.00
19:46:40,47.81,0.00,1.03,7.71,0.00,43.44,556.00,0.00,9792.00,17.61,0.41,0.73,0.69,38.40,559.00,0.00,559.00,0.00,9880.00,3,820,3.74,3.44,3.18,1,7805044,8626812,52.50,127852,5241572,5767320,35.10,3706744,4642364,3256,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,4804.00,1330.00,0.00,125.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,6830.00
19:46:41,49.00,0.00,2.49,1.74,0.00,46.77,131.00,0.00,2960.00,22.60,0.08,0.64,0.55,7.20,133.00,0.00,133.00,0.00,2968.00,2,823,3.74,3.44,3.18,0,7789552,8642304,52.59,128040,5242032,5767320,35.10,3721828,4642480,2764,lo,49.00,49.00,6.37,6.37,0.00,0.00,0.00,0.00,0.00,1480.00,4667.00,0.00,1093.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.00,4014.00
19:46:42,38.60,0.00,1.50,0.00,0.00,59.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,823,3.74,3.44,3.18,0,7773928,8657928,52.69,128040,5242036,5784532,35.20,3738240,4642476,2768,lo,6.00,6.00,0.95,0.95,0.00,0.00,0.00,0.00,0.00,0.00,4191.00,0.00,127.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4646.00
19:46:43,54.94,0.00,1.77,0.25,0.00,43.04,69.00,0.00,1248.00,18.09,0.06,0.87,0.81,5.60,69.00,0.00,69.00,0.00,1248.00,2,823,3.74,3.44,3.18,0,7765248,8666608,52.74,128152,5241940,5800636,35.30,3746700,4642472,2796,lo,36.00,36.00,4.71,4.71,0.00,0.00,0.00,0.00,0.00,624.00,3708.00,0.00,1721.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4726.00
19:46:44,61.65,0.00,1.25,0.00,0.00,37.09,5.00,0.00,144.00,28.80,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,144.00,3,823,3.68,3.43,3.18,0,7736852,8695004,52.92,128152,5242052,5881988,35.80,3775264,4642464,2700,lo,28.00,28.00,4.38,4.38,0.00,0.00,0.00,0.00,0.00,72.00,7786.00,0.00,879.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3393.00
19:46:45,45.73,0.00,9.05,0.00,0.00,45.23,76.00,0.00,153352.00,2017.79,1.62,21.32,0.47,3.60,76.00,0.00,76.00,0.00,153352.00,1,831,3.68,3.43,3.18,0,7451548,8980308,54.65,128152,5395116,5966008,36.31,3979912,4718960,79208,lo,2059.00,2059.00,76767.02,76767.02,0.00,0.00,0.00,0.00,0.00,76676.00,32137.00,0.00,14056.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,15584.00
19:46:46,75.26,0.00,4.08,0.00,0.00,20.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,832,3.68,3.43,3.18,0,7362872,9068984,55.19,128152,5395412,6081060,37.01,4068436,4719036,79324,lo,30.00,30.00,27.02,27.02,0.00,0.00,0.00,0.00,0.00,0.00,26175.00,0.00,3515.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,3159.00
