timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
17:08:29,13.44,0.00,1.00,0.08,0.00,85.49,45.40,224.00,7900.80,178.96,0.08,1.83,0.30,1.36,45.40,7.80,37.60,224.00,7900.80,3,870,2.63,2.21,2.25,0,5590596,10840732,65.98,46344,7419648,6490816,39.50,3687696,6796224,27788,lo,119.40,119.40,731.55,731.55,0.00,0.00,0.00,0.00,5.60,3932.00,400.00,0.00,50528.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,4487.60
17:08:34,19.69,0.00,3.19,0.08,0.00,77.05,26.00,216.00,212.80,16.49,0.01,0.31,0.31,0.80,26.00,13.20,12.80,216.00,212.80,2,841,2.58,2.20,2.25,0,12723468,3707860,22.57,46508,495656,6269532,38.16,3234808,216432,83188,lo,775.00,775.00,16025.96,16025.96,0.00,0.00,0.00,0.00,107.20,100.00,30535.00,3.60,321867.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.00,4484.40
17:08:39,25.30,0.00,1.03,0.15,0.00,73.52,55.40,1217.60,438.40,29.89,0.02,0.35,0.23,1.28,54.80,51.60,3.20,1204.80,438.40,1,936,2.54,2.20,2.25,0,11996508,4434820,26.99,46520,524788,7109444,43.27,3933068,240708,83852,lo,64.80,64.80,104.17,104.17,0.00,0.00,0.00,0.00,668.80,237.60,24378.20,1.00,122768.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.00,7339.20
17:08:44,40.20,0.00,0.78,0.10,0.00,58.92,394.80,45427.20,91.20,115.29,0.32,0.80,0.19,7.36,395.40,395.00,0.40,45440.00,91.20,3,1006,2.49,2.20,2.25,0,11851952,4579376,27.87,46528,656868,7126100,43.37,3990312,328944,128004,lo,773.00,773.00,23000.09,23000.09,0.00,0.00,0.00,0.00,11994.40,52.00,28706.00,0.00,1389.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.60,7419.40
17:08:49,31.89,0.00,0.58,0.05,0.00,67.48,290.60,33164.80,38.40,114.26,0.21,0.71,0.19,5.60,290.60,290.00,0.60,33164.80,38.40,4,1000,2.45,2.19,2.24,0,11704392,4726936,28.77,46532,801040,7126100,43.37,4054812,411812,41060,lo,579.40,579.40,17451.46,17451.46,0.00,0.00,0.00,0.00,15219.20,19.20,404.40,0.00,106.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3662.40
17:08:54,27.11,0.00,0.50,5.85,0.00,66.54,318.00,23740.80,59411.20,261.48,11.02,34.65,0.64,20.48,318.00,209.80,108.20,23740.80,59411.20,3,997,2.42,2.19,2.24,0,11496072,4935256,30.04,46536,1006244,7126100,43.37,4203492,471224,171732,lo,470.60,470.60,14440.76,14440.76,0.00,0.00,0.00,0.00,16280.00,29705.60,81.20,0.00,102.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3599.60
17:08:59,26.75,0.00,1.33,0.00,0.00,71.92,10.60,1.60,6281.60,592.75,0.07,7.02,0.23,0.24,10.60,0.20,10.40,1.60,6281.60,2,971,2.38,2.18,2.24,0,11636048,4795280,29.18,46548,1011176,7078928,43.08,4047068,486132,241608,lo,33.60,33.60,9.15,9.15,0.00,0.00,0.00,0.00,7720.00,3138.40,220.60,0.00,292.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.60,2869.20
17:09:04,40.61,0.00,0.93,0.03,0.00,58.44,413.60,48390.40,88.00,117.21,0.24,0.59,0.15,6.08,413.60,413.00,0.60,48390.40,88.00,4,1007,2.59,2.23,2.26,0,11360036,5071292,30.86,46560,1142396,7099704,43.21,4216616,592164,267452,lo,774.80,774.80,23051.00,23051.00,0.00,0.00,0.00,0.00,9709.60,46.40,26390.20,0.00,38692.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.60,7832.60
17:09:09,31.88,0.00,0.45,0.05,0.00,67.62,302.60,34731.20,30.40,114.88,0.19,0.62,0.15,4.64,302.60,302.20,0.40,34731.20,30.40,4,1007,2.63,2.25,2.26,0,11188260,5243068,31.91,46568,1311120,7099704,43.21,4301996,678948,349336,lo,594.20,594.20,18030.17,18030.17,0.00,0.00,0.00,0.00,17071.20,15.20,439.20,0.00,203.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4086.40
17:09:14,26.70,0.00,0.35,0.03,0.00,72.92,170.40,19244.80,22.40,113.07,0.08,0.48,0.13,2.16,170.40,170.00,0.40,19244.80,22.40,3,1005,2.58,2.24,2.26,0,10978236,5453092,33.19,46576,1519584,7099704,43.21,4463584,727164,509696,lo,456.00,456.00,13805.19,13805.19,0.00,0.00,0.00,0.00,17770.40,11.20,134.80,0.00,79.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3628.80
17:09:19,32.63,0.00,1.70,0.02,0.00,65.65,44.80,5784.00,57.60,130.39,0.05,1.14,0.29,1.28,42.40,41.20,1.20,5491.20,57.60,6,999,2.53,2.24,2.26,0,10974108,5457220,33.21,46584,1529348,7100408,43.21,4419712,776156,469888,lo,45.80,45.80,19.31,19.31,0.00,0.00,0.00,0.00,6632.80,14.40,133.00,0.00,63.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.60,2611.80
17:09:24,37.18,0.00,0.63,0.05,0.00,62.14,378.40,42472.00,137.60,112.60,0.24,0.63,0.16,5.92,380.80,377.00,3.80,42764.80,137.60,4,1011,2.49,2.23,2.26,0,10809740,5621588,34.21,46592,1687592,7108432,43.26,4496888,863180,541120,lo,814.40,814.40,24483.79,24483.79,0.00,0.00,0.00,0.00,17068.80,83.20,26392.20,0.00,37782.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.20,8738.80
17:09:29,32.86,0.00,0.60,0.03,0.00,66.52,322.40,35267.20,238.40,110.13,0.29,0.91,0.23,7.36,319.20,305.20,14.00,34876.80,238.40,4,1011,2.45,2.23,2.25,0,10676344,5754984,35.02,46592,1818580,7108432,43.26,4550876,942120,377324,lo,612.40,612.40,18606.40,18606.40,0.00,0.00,0.00,0.00,16673.60,119.20,293.20,0.00,74.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4257.80
17:09:34,21.32,0.00,1.73,14.26,0.00,62.68,236.00,18755.20,96339.20,487.69,23.64,100.19,1.61,37.92,239.20,170.80,68.40,19145.60,96339.20,3,1005,2.73,2.29,2.27,0,10474600,5956728,36.25,46600,2019428,7108432,43.26,4711532,982948,512736,lo,400.40,400.40,12004.55,12004.55,0.00,0.00,0.00,0.00,9443.20,48165.60,83.00,0.00,162.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3309.80
17:09:39,32.97,0.00,1.80,0.05,0.00,65.18,57.20,6753.60,67.20,119.24,0.05,0.85,0.24,1.36,54.20,53.00,1.20,6361.60,67.20,4,996,2.83,2.32,2.28,0,10481992,5949336,36.21,46604,2016724,7113844,43.29,4651084,1035836,456984,lo,47.20,47.20,9.27,9.27,0.00,0.00,0.00,0.00,7953.60,23.20,123.80,0.00,98.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.80,2665.80
17:09:44,36.23,0.00,0.60,0.00,0.00,63.17,369.20,41504.00,75.20,112.62,0.19,0.52,0.14,5.28,372.20,371.80,0.40,41896.00,75.20,4,1004,2.77,2.31,2.28,0,10313108,6118220,37.24,46616,2182100,7113844,43.29,4735732,1120792,537124,lo,803.00,803.00,24506.96,24506.96,0.00,0.00,0.00,0.00,17848.00,52.00,26561.40,0.00,37818.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,8366.00
17:09:49,29.28,0.00,2.54,10.26,0.00,57.92,366.20,35561.60,91238.40,346.26,28.29,77.24,1.16,42.48,366.20,314.40,51.80,35561.60,91238.40,6,1003,2.79,2.33,2.29,1,10176844,6254484,38.06,46624,2316240,7113844,43.29,4798668,1194008,370552,lo,578.60,578.60,17553.51,17553.51,0.00,0.00,0.00,0.00,17494.40,12.00,262.60,0.00,272.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3665.80
17:09:54,27.77,0.00,0.53,0.05,0.00,71.65,172.60,18739.20,121.60,109.27,0.10,0.57,0.13,2.32,172.60,168.00,4.60,18739.20,121.60,3,1001,2.72,2.32,2.28,0,9950336,6480992,39.44,46632,2540332,7113844,43.29,4980136,1239400,549292,lo,379.60,379.60,13226.70,13226.70,0.00,0.00,0.00,0.00,13172.00,45629.60,113.80,0.00,88.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3436.20
17:09:59,33.13,0.00,2.11,0.10,0.00,64.66,117.40,12326.40,168.00,106.43,0.12,1.04,0.26,3.04,110.60,101.80,8.80,11552.00,168.00,12,988,2.75,2.33,2.29,0,9972748,6458580,39.31,46640,2519116,7103092,43.23,4885616,1309708,456812,lo,51.40,51.40,10.43,10.43,0.00,0.00,0.00,0.00,2764.80,60.80,111.60,0.00,65.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.80,2611.80
17:10:04,34.07,0.00,0.30,0.05,0.00,65.58,321.60,35932.80,102.40,112.05,0.28,0.87,0.19,6.08,328.40,326.20,2.20,36707.20,102.40,3,1004,2.77,2.34,2.29,0,9805764,6625564,40.32,46652,2683100,7111124,43.28,4969400,1394184,537064,lo,798.60,798.60,24498.17,24498.17,0.00,0.00,0.00,0.00,21172.00,107.20,26619.60,0.00,37895.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,8101.80
17:10:09,32.52,0.00,2.39,2.34,0.00,62.75,382.80,37284.80,91265.60,335.82,25.18,65.78,0.71,27.36,376.80,325.60,51.20,36608.00,91265.60,8,1005,2.70,2.34,2.29,1,9632048,6799280,41.38,46660,2856028,7111124,43.28,5050304,1486820,388988,lo,614.60,614.60,18590.28,18590.28,0.00,0.00,0.00,0.00,17000.80,16.00,198.20,0.00,228.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.20,3743.80
17:10:14,27.41,0.00,0.78,0.05,0.00,71.77,151.00,16652.80,49.60,110.61,0.10,0.65,0.15,2.24,157.00,156.00,1.00,17329.60,49.60,4,1009,2.65,2.33,2.29,0,9355220,7076108,43.06,46676,3130916,7111124,43.28,5319092,1494980,656168,lo,395.60,395.60,11815.10,11815.10,0.00,0.00,0.00,0.00,12925.60,45643.20,73.80,0.00,95.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2924.40
17:10:19,33.95,0.00,1.45,0.05,0.00,64.55,244.00,27742.40,62.40,113.95,0.15,0.63,0.14,3.44,238.40,237.60,0.80,27065.60,62.40,3,1004,2.60,2.33,2.29,0,9441056,6990272,42.54,46680,3038256,7110688,43.28,5127420,1600760,457080,lo,229.00,229.00,5333.97,5333.97,0.00,0.00,0.00,0.00,0.00,35.20,514.00,0.00,36880.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.00,4736.20
17:10:24,33.79,0.00,0.45,0.02,0.00,65.73,275.40,31235.20,139.20,113.92,0.18,0.64,0.16,4.32,274.20,270.80,3.40,31078.40,139.20,4,1005,2.71,2.35,2.30,0,9275316,7156012,43.55,46680,3200492,7110688,43.28,5211132,1683308,537148,lo,632.40,632.40,19183.90,19183.90,0.00,0.00,0.00,0.00,24098.40,39.20,26555.20,0.00,892.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,6054.40
