timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
15:09:41,30.29,0.00,1.05,0.83,0.00,67.84,124.80,0.00,2124.80,17.03,0.06,0.47,0.42,5.20,198.40,0.00,198.40,0.00,3483.20,4,870,3.83,3.48,3.24,0,3027244,13404084,81.58,80680,9982432,5959956,36.27,3980668,8942996,18972,lo,169.60,169.60,3486.30,3486.30,0.00,0.00,0.00,0.00,0.00,3136.00,15215.40,0.00,95898.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.20,7206.40
15:09:46,29.82,0.00,1.10,0.00,0.00,69.08,6.80,1.60,206.40,30.59,0.00,0.24,0.24,0.16,5.20,0.20,5.00,1.60,200.00,2,965,3.53,3.42,3.22,0,2525336,13905992,84.63,80688,10000668,7222600,43.96,4461124,8959980,37436,lo,179.00,179.00,3536.07,3536.07,0.00,0.00,0.00,0.00,0.00,56.80,23518.00,0.00,2574.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.80,5567.40
15:09:51,45.66,0.00,1.83,0.00,0.00,52.51,0.40,0.00,75.20,188.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,81.60,2,1044,3.40,3.40,3.22,0,2049452,14381876,87.53,80696,10127184,7253740,44.15,4816112,9077800,164012,lo,1656.20,1656.20,50618.55,50618.55,0.00,0.00,0.00,0.00,0.80,72.00,25867.00,0.00,4729.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.60,15573.00
15:09:56,44.48,0.00,1.82,0.00,0.00,53.70,6.00,0.00,76.80,12.80,0.00,0.53,0.53,0.32,4.40,0.00,4.40,0.00,70.40,2,998,3.37,3.39,3.22,0,2198968,14232360,86.62,80708,10285256,7234360,44.03,4517876,9228392,322056,lo,2010.00,2010.00,61017.31,61017.31,0.00,0.00,0.00,0.00,0.00,52.00,2062.00,0.00,5629.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.40,15269.00
15:10:01,44.84,0.00,1.63,0.03,0.00,53.50,1.40,0.00,238.40,170.29,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,244.80,2,1044,3.34,3.38,3.22,0,1758756,14672572,89.30,80708,10419448,7257504,44.17,4828928,9354572,455960,lo,1749.80,1749.80,53712.94,53712.94,0.00,0.00,0.00,0.00,0.00,98.40,24493.20,0.00,27700.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.20,15152.20
15:10:06,38.94,0.00,1.81,0.03,0.00,59.22,6.80,0.00,420.80,61.88,0.00,0.35,0.35,0.24,5.20,0.00,5.20,0.00,412.80,2,1002,3.07,3.33,3.20,0,1912256,14519072,88.36,80716,10569784,7267380,44.23,4533872,9498104,605488,lo,1905.40,1905.40,57934.72,57934.72,0.00,0.00,0.00,0.00,0.00,235.20,1201.00,0.00,6558.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,14363.40
15:10:11,43.85,0.00,1.70,0.00,0.00,54.45,5.60,0.00,379.20,67.71,0.00,0.14,0.14,0.08,7.20,0.00,7.20,0.00,387.20,2,1048,2.99,3.30,3.19,0,1496128,14935200,90.89,80724,10703820,7253704,44.15,4821500,9624848,738992,lo,1756.00,1756.00,53829.39,53829.39,0.00,0.00,0.00,0.00,0.00,152.00,21834.60,0.00,25702.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.40,15302.80
15:10:16,39.88,0.00,1.60,0.03,0.00,58.49,41.60,0.00,14489.60,348.31,0.19,4.46,0.17,0.72,40.00,0.00,40.00,0.00,14483.20,2,998,2.75,3.25,3.17,0,1632760,14798568,90.06,80736,10854312,7236128,44.04,4542996,9767816,853852,lo,1901.40,1901.40,57716.47,57716.47,0.00,0.00,0.00,0.00,0.00,7242.40,2497.60,0.00,5769.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.00,13501.80
15:10:21,43.42,0.00,2.24,3.64,0.00,50.70,53.60,0.00,105800.00,1973.88,26.71,498.37,7.01,37.60,55.20,0.00,55.20,0.00,105806.40,9,1049,2.69,3.23,3.17,1,1230024,15201304,92.51,80748,10971164,7278440,44.30,4833024,9878480,706508,lo,1552.40,1552.40,47414.15,47414.15,0.00,0.00,0.00,0.00,0.00,48616.00,21687.80,0.00,24785.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.60,14335.20
15:10:26,42.11,0.00,1.93,0.00,0.00,55.96,9.60,0.00,8148.80,848.83,0.04,3.75,0.50,0.48,8.00,0.00,8.00,0.00,8142.40,1,1003,2.55,3.19,3.16,0,1339704,15091624,91.85,80748,11138720,7233228,44.02,4567096,10037876,853968,lo,2104.80,2104.80,64102.03,64102.03,0.00,0.00,0.00,0.00,0.00,4344.80,2680.20,0.00,5996.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.80,14919.80
