timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
21:43:37,15.92,0.00,1.13,0.05,0.00,82.90,27.00,0.00,16148.80,598.10,0.05,1.69,0.44,1.20,27.00,0.00,27.00,0.00,16148.80,1,830,2.50,1.68,0.79,1,8548800,7882528,47.97,41620,4921776,5789580,35.24,3179328,4427256,325476,lo,126.60,126.60,1495.31,1495.31,0.00,0.00,0.00,0.00,0.00,8074.40,18593.40,0.00,32939.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.80,6042.00
21:43:42,21.59,0.00,1.42,0.02,0.00,76.96,12.60,0.00,187.20,14.86,0.00,0.25,0.25,0.32,12.60,0.00,12.60,0.00,187.20,1,834,2.46,1.68,0.80,1,9144304,7287024,44.35,41644,4282808,5794524,35.27,3221856,3806200,3448,lo,104.80,104.80,227.47,227.47,0.00,0.00,0.00,0.00,0.00,93.60,26376.40,0.00,63133.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.40,5004.00
21:43:47,22.26,0.00,0.93,0.03,0.00,76.78,3.00,0.00,177.60,59.20,0.00,0.27,0.27,0.08,3.00,0.00,3.00,0.00,177.60,5,926,2.58,1.72,0.82,0,8819432,7611896,46.33,41656,4344092,6094028,37.09,3542740,3806404,64740,lo,275.00,275.00,8133.60,8133.60,0.00,0.00,0.00,0.00,0.00,129.60,25338.00,0.00,1545.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.20,6878.80
21:43:52,26.81,0.00,1.63,0.00,0.00,71.55,3.00,0.00,137.60,45.87,0.00,0.80,0.80,0.24,3.00,0.00,3.00,0.00,137.60,5,920,2.45,1.71,0.82,1,8870576,7560752,46.01,41680,4441184,6055120,36.85,3489908,3806304,161848,lo,717.60,717.60,24305.24,24305.24,0.00,0.00,0.00,0.00,0.00,28.00,33391.40,0.00,41138.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.20,6959.40
21:43:57,26.81,0.00,1.60,0.00,0.00,71.59,2.80,0.00,137.60,49.14,0.00,1.14,1.14,0.32,2.80,0.00,2.80,0.00,137.60,0,922,2.34,1.70,0.82,1,8610808,7820520,47.60,41692,4535464,6092332,37.08,3746296,3806436,256132,lo,502.00,502.00,16208.83,16208.83,0.00,0.00,0.00,0.00,0.00,68.80,34225.80,0.00,26770.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.20,6884.80
21:44:02,26.59,0.00,1.53,0.00,0.00,71.88,15.00,0.00,403.20,26.88,0.00,0.16,0.16,0.24,15.00,0.00,15.00,0.00,403.20,5,918,2.39,1.72,0.83,1,8654320,7777008,47.33,41708,4640012,6056336,36.86,3620784,3884304,320376,lo,828.80,828.80,27992.03,27992.03,0.00,0.00,0.00,0.00,0.00,201.60,33460.40,0.00,40110.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,42.80,11176.80
21:44:07,30.35,0.00,2.18,0.03,0.00,67.44,32.00,1.60,47633.60,1488.60,0.12,3.60,0.65,2.08,32.00,0.20,31.80,1.60,47633.60,1,924,2.60,1.77,0.85,0,8449448,7981880,48.58,41736,4785736,6037224,36.74,3603008,4101996,347628,lo,1128.80,1128.80,36232.68,36232.68,0.00,0.00,0.00,0.00,0.80,23816.80,19393.60,0.00,26350.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.20,9649.40
21:44:12,28.72,0.00,1.83,0.00,0.00,69.45,35.00,3.20,32190.40,919.82,0.09,2.51,0.39,1.36,35.00,0.40,34.60,3.20,32190.40,5,918,2.55,1.78,0.86,0,8428548,8002780,48.70,41764,4841996,6067708,36.93,3453880,4272324,324024,lo,1323.00,1323.00,43366.64,43366.64,0.00,0.00,0.00,0.00,1.60,16095.20,23543.20,0.00,31413.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.00,10968.00
21:44:17,30.67,0.00,2.06,0.05,0.00,67.22,41.60,1.60,48236.80,1159.58,0.13,3.13,0.56,2.32,41.60,0.20,41.40,1.60,48236.80,4,924,2.75,1.83,0.88,1,8438448,7992880,48.64,41784,4923360,5778300,35.17,3282732,4428296,324744,lo,1196.40,1196.40,36892.66,36892.66,0.00,0.00,0.00,0.00,0.80,24173.60,19683.80,0.00,26347.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.40,3817.80
21:44:22,7.71,0.00,0.67,0.05,0.00,91.57,10.80,8.00,243.20,23.26,0.00,0.37,0.37,0.40,10.80,1.00,9.80,8.00,243.20,2,831,2.69,1.83,0.89,4,8556660,7874668,47.92,41812,4921696,5755580,35.03,3171660,4426840,324660,lo,22.80,22.80,4.89,4.89,0.00,0.00,0.00,0.00,4.00,66.40,14004.20,0.00,29280.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.20,10290.00
