timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
21:57:43,10.71,0.00,1.07,2.56,0.00,85.66,74.20,8.00,137753.60,1856.63,51.44,629.83,5.46,40.48,34.60,1.00,33.60,8.00,44619.20,10,843,1.16,1.62,1.44,1,1702840,14728488,89.64,44760,12001960,4851900,29.53,3188588,11082752,347208,lo,23.95,23.95,5.11,5.11,0.00,0.00,0.00,0.00,3.98,65746.61,16674.10,0.00,22245.22,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.00,2980.40
21:57:48,5.84,0.00,4.51,25.81,0.00,63.85,72.60,0.00,142468.80,1962.38,58.53,871.06,8.25,59.92,118.80,0.00,118.80,0.00,235641.60,4,812,1.23,1.62,1.45,1,5388348,11042980,67.21,44792,7955456,5813400,35.38,3436900,7240752,2200,lo,22.00,22.00,178.32,178.32,0.00,0.00,0.00,0.00,0.00,74200.80,9451.20,0.00,237386.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.20,14997.40
21:57:53,59.65,0.00,3.89,0.05,0.00,36.41,18.80,38.40,31073.60,1654.89,0.29,15.62,0.38,0.72,18.20,1.80,16.40,36.80,30896.00,11,917,1.93,1.76,1.49,0,4157984,12273344,74.69,44804,8771220,6201672,37.74,3925612,7956204,741428,lo,9748.20,9748.20,359813.20,359813.20,0.00,0.00,0.00,0.00,19.20,15437.60,36982.80,0.00,5743.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,10094.60
21:57:58,70.76,0.00,10.73,2.70,0.00,15.81,133.80,8.00,181508.80,1356.63,44.23,328.97,4.16,55.68,109.98,0.40,109.58,3.19,145601.60,8,910,2.66,1.91,1.54,2,2792760,13638568,83.00,44856,9857740,6275564,38.19,4267568,8953240,1247908,lo,13833.20,13833.20,510486.09,510486.09,0.00,0.00,0.00,0.00,4.80,103656.80,19472.00,0.00,88302.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3102.20
21:58:03,66.36,0.00,0.83,5.95,0.00,26.86,157.40,30.40,238416.00,1514.91,49.90,309.58,6.35,100.00,165.00,4.40,160.60,35.20,246961.60,9,906,3.17,2.03,1.58,1,2625440,13805888,84.02,44940,10015272,6275564,38.19,4473560,8910580,802148,lo,6.60,6.60,0.71,0.71,0.00,0.00,0.00,0.00,15.20,119152.80,1102.80,0.00,370.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2525.60
21:58:08,56.95,0.00,0.50,1.93,0.00,40.62,44.40,32.00,66800.00,1505.23,3.52,110.52,4.56,20.24,59.80,0.40,59.40,3.20,94048.00,9,905,3.55,2.13,1.62,0,2433872,13997456,85.19,44960,10198312,6275564,38.19,4702260,8868600,952532,lo,5.40,5.40,2.67,2.67,0.00,0.00,0.00,0.00,15.20,20552.80,207.60,0.00,55.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2591.60
21:58:13,65.25,0.00,0.50,0.00,0.00,34.25,0.40,0.00,113.60,284.00,0.00,0.00,0.00,0.00,1.60,1.20,0.40,30.40,113.60,2,904,3.91,2.23,1.65,0,2231444,14199884,86.42,44960,10394508,6275564,38.19,4935552,8832652,1148864,lo,5.00,5.00,0.86,0.86,0.00,0.00,0.00,0.00,0.00,56.80,41.40,0.00,34.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2516.60
21:58:18,64.94,0.00,0.88,0.20,0.00,33.98,67.00,4.80,98436.80,1469.28,4.80,71.70,3.40,22.80,66.40,0.60,65.80,4.80,97606.40,10,904,4.24,2.33,1.69,0,2040752,14390576,87.58,44980,10578660,6275564,38.19,5176636,8776192,1087196,lo,5.40,5.40,2.75,2.75,0.00,0.00,0.00,0.00,2.40,49218.40,67.40,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2670.80
21:58:23,64.28,0.00,0.82,0.54,0.00,34.36,64.80,1.60,86545.60,1335.60,25.76,325.74,3.12,20.24,36.40,0.20,36.20,1.60,47881.60,3,904,4.54,2.42,1.72,1,1881568,14549760,88.55,44992,10732928,6275564,38.19,5356596,8751652,859776,lo,3.60,3.60,0.48,0.48,0.00,0.00,0.00,0.00,0.80,62501.60,39.80,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2349.20
21:58:28,35.44,0.00,5.39,25.41,0.00,33.76,157.40,0.00,282960.00,1797.71,148.46,912.82,7.61,119.84,142.20,0.00,142.20,0.00,235377.60,12,904,4.90,2.53,1.76,1,1822636,14608692,88.91,45000,10790372,6275564,38.19,5419960,8745532,307048,lo,6.20,6.20,3.03,3.03,0.00,0.00,0.00,0.00,0.00,122110.40,14.20,0.00,25.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2338.00
21:58:33,46.96,0.00,0.53,12.88,0.00,39.63,26.20,0.00,40436.80,1543.39,8.37,679.33,7.51,19.68,70.40,0.00,70.40,0.00,127513.60,8,904,5.15,2.62,1.80,0,1656444,14774884,89.92,45008,10952012,6275564,38.19,5627180,8700912,436684,lo,4.20,4.20,0.59,0.59,0.00,0.00,0.00,0.00,0.00,20359.20,33.40,0.00,46.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2817.40
21:58:38,64.57,0.00,0.63,0.00,0.00,34.81,0.40,0.00,72.00,180.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,72.00,2,901,5.37,2.71,1.83,0,1468912,14962416,91.06,45016,11133824,6275564,38.19,5844576,8664792,618580,lo,4.80,4.80,2.64,2.64,0.00,0.00,0.00,0.00,0.00,36.00,47.40,0.00,38.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2650.80
21:58:43,67.92,0.00,0.73,0.00,0.00,31.34,1.20,0.00,65.60,54.67,0.00,0.67,0.67,0.08,0.80,0.00,0.80,0.00,64.00,9,906,5.02,2.68,1.82,0,1273588,15157740,92.25,45024,11316148,6275564,38.19,6048576,8649692,801348,lo,8.80,8.80,1.28,1.28,0.00,0.00,0.00,0.00,0.00,32.80,298.40,0.00,31.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.40,16613.40
21:58:48,68.92,0.00,2.81,0.53,0.00,27.73,51.00,0.00,86166.40,1689.54,6.19,110.45,1.02,5.20,3.20,0.00,3.20,0.00,110.40,10,916,5.10,2.74,1.85,0,648468,15782860,96.05,45032,11907776,6297996,38.33,6418476,8886796,1163604,lo,2579.40,2579.40,77835.54,77835.54,0.00,0.00,0.00,0.00,0.00,45889.60,3206.40,0.00,13121.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,19247.33
21:58:54,50.00,0.00,8.02,6.57,0.00,35.41,151.80,1.60,275094.40,1812.23,87.17,536.75,4.54,68.88,162.40,0.20,162.20,1.60,286593.60,7,911,5.25,2.81,1.87,0,223232,16208096,98.64,45044,12330112,6330684,38.53,6638688,9082580,834572,lo,3385.40,3385.40,102234.18,102234.18,0.00,0.00,0.00,0.00,0.80,140068.80,3993.80,0.00,17456.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.60,12509.00
21:58:59,36.29,0.00,7.24,13.46,0.00,43.01,107.80,0.00,214336.00,1988.27,96.13,913.68,7.43,80.08,122.80,0.00,122.80,0.00,243017.60,3,909,5.47,2.89,1.91,2,176388,16254940,98.93,40388,12370592,6321532,38.47,6728024,9035956,600696,lo,772.60,772.60,23858.72,23858.72,0.00,0.00,0.00,0.00,0.00,119658.40,809.20,0.00,10395.60,6779.80,0.00,6631.60,97.81,0.00,0.00,0,0,0.00,0,0.00,4.60,41730.80
21:59:04,54.32,0.00,8.14,3.49,0.00,34.04,114.80,262.40,168953.60,1474.01,45.25,427.94,3.81,43.76,111.60,11.80,99.80,262.40,171401.60,7,907,5.52,2.95,1.93,0,243376,16187952,98.52,38780,12303636,6304736,38.37,6412292,9286444,1248716,lo,6589.20,6589.20,196838.91,196838.91,0.00,0.00,0.00,0.00,145.60,66658.40,1638.40,1.20,98217.00,31805.20,0.00,31280.60,98.35,0.00,0.00,0,0,0.00,0,0.00,1.80,16786.80
21:59:09,19.83,0.00,8.90,26.38,0.00,44.89,154.40,30.40,269003.20,1742.45,122.32,663.01,7.35,113.52,146.00,1.60,144.40,30.40,249576.00,8,903,5.32,2.95,1.94,1,137196,16294132,99.17,38760,12403948,6304736,38.37,6391136,9408404,1109380,lo,3640.20,3640.20,112364.58,112364.58,0.00,0.00,0.00,0.00,0.80,148677.60,173.40,0.00,25749.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.40,14081.40
21:59:14,13.88,0.00,4.17,20.97,0.00,60.97,114.80,35.20,205928.00,1794.10,78.86,860.69,6.96,79.92,137.40,0.40,137.00,20.80,249355.20,5,903,5.29,2.98,1.95,0,572928,15858400,96.51,38772,11981696,6295232,38.31,6011448,9365036,1076796,lo,3073.60,3073.60,94647.69,94647.69,0.00,0.00,0.00,0.00,17.60,88790.40,202.00,0.20,61117.40,16825.40,6722.00,23346.00,99.14,0.00,0.00,0,0,0.00,0,0.00,50.80,7044.40
21:59:19,16.65,0.00,2.32,0.17,0.00,80.85,62.80,2691.20,264.00,47.06,0.02,0.34,0.25,1.60,73.80,54.40,19.40,2688.00,19680.00,2,789,4.87,2.93,1.94,0,3624736,12806592,77.94,39084,9970520,5303968,32.28,3280864,9097608,1114008,lo,794.40,794.40,23633.94,23633.94,0.00,0.00,0.00,0.00,1345.60,129.60,20202.80,13.20,183068.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.20,14799.40
