timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:07:19,24.69,0.00,1.05,0.75,0.00,73.51,190.40,0.00,3324.80,17.46,0.09,0.47,0.44,8.40,190.40,0.00,190.40,0.00,3324.80,2,858,2.17,1.93,1.16,0,28026620,4919772,14.93,59244,1723488,7615696,23.12,3570608,1134384,35616,lo,329.40,329.40,6969.09,6969.09,0.00,0.00,0.00,0.00,0.00,1662.40,10219.60,0.00,2353.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.80,7430.60
20:07:24,22.67,0.00,0.87,0.00,0.00,76.46,2.20,0.00,129.60,58.91,0.00,0.36,0.36,0.08,2.20,0.00,2.20,0.00,129.60,2,947,2.08,1.92,1.16,0,27529132,5417260,16.44,59256,1724312,8047592,24.43,4065636,1134748,36532,lo,48.40,48.40,53.58,53.58,0.00,0.00,0.00,0.00,0.00,64.80,25840.20,0.00,860.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.40,4670.20
20:07:29,28.26,0.00,1.35,0.00,0.00,70.39,2.00,0.00,99.20,49.60,0.00,0.80,0.80,0.16,2.00,0.00,2.00,0.00,99.20,1,956,2.07,1.92,1.16,0,27356120,5590272,16.97,59268,1724628,8120400,24.65,4238180,1133488,36856,lo,106.40,106.40,58.30,58.30,0.00,0.00,0.00,0.00,0.00,49.60,38535.20,0.00,29774.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.40,6891.20
20:07:34,25.59,0.00,1.45,0.02,0.00,72.94,36.40,0.00,14872.00,408.57,0.11,2.92,0.22,0.80,36.40,0.00,36.40,0.00,14872.00,1,952,1.98,1.90,1.16,0,27528844,5417548,16.44,59280,1724768,8093396,24.57,4066704,1133516,628,lo,83.60,83.60,44.85,44.85,0.00,0.00,0.00,0.00,0.00,7436.00,35650.60,0.00,43789.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.00,6737.60
20:07:39,26.93,0.00,1.48,0.00,0.00,71.59,1.20,0.00,102.40,85.33,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,102.40,3,962,1.90,1.89,1.16,0,27352296,5594096,16.98,59292,1725032,8146044,24.73,4241572,1133588,964,lo,93.40,93.40,49.56,49.56,0.00,0.00,0.00,0.00,0.00,51.20,38154.60,0.00,29153.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.60,6552.40
20:07:44,27.83,0.00,1.44,0.02,0.00,70.70,4.60,1.60,139.20,30.61,0.00,0.52,0.52,0.24,4.60,0.20,4.40,1.60,139.20,3,951,1.91,1.89,1.17,0,27529836,5416556,16.44,59304,1725484,8071564,24.50,4064068,1133736,1424,lo,97.60,97.60,40.59,40.59,0.00,0.00,0.00,0.00,0.80,69.60,32434.40,0.00,40985.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.60,7195.00
20:07:49,29.24,0.00,1.18,0.00,0.00,69.58,4.80,3.20,128.00,27.33,0.00,0.33,0.33,0.16,4.80,0.40,4.40,3.20,128.00,2,959,1.84,1.87,1.17,0,27480920,5465472,16.59,59320,1725484,8078980,24.52,4114520,1133560,1468,lo,108.60,108.60,30.51,30.51,0.00,0.00,0.00,0.00,1.60,64.00,23105.60,0.00,20364.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,42.20,7571.00
20:07:54,28.33,0.00,1.40,0.03,0.00,70.24,6.40,0.00,155.20,24.25,0.00,0.75,0.75,0.48,6.40,0.00,6.40,0.00,155.20,2,952,1.77,1.86,1.16,0,27530164,5416228,16.44,59332,1725940,8087752,24.55,4064608,1133824,1968,lo,112.80,112.80,36.07,36.07,0.00,0.00,0.00,0.00,0.00,77.60,27414.60,0.00,29530.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,7361.40
20:07:59,19.42,0.00,0.93,0.03,0.00,79.62,32.20,4.80,827.20,25.84,0.00,0.12,0.12,0.40,32.20,0.60,31.60,4.80,827.20,0,911,1.71,1.84,1.16,0,27610840,5335552,16.19,59344,1726244,7824396,23.75,3983176,1133972,1008,lo,127.40,127.40,179.62,179.62,0.00,0.00,0.00,0.00,2.40,413.60,15075.20,0.00,19258.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.00,5522.60
20:08:04,0.92,0.00,0.18,0.05,0.00,98.85,4.40,0.00,81.60,18.55,0.00,0.73,0.73,0.32,4.40,0.00,4.40,0.00,81.60,1,835,1.57,1.81,1.16,0,28000172,4946220,15.01,59356,1708356,7109460,21.58,3611244,1117124,1052,lo,22.40,22.40,5.70,5.70,0.00,0.00,0.00,0.00,0.00,40.80,550.00,0.00,19899.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.60,1177.20
20:08:09,15.16,0.00,1.43,0.30,0.00,83.12,99.80,760.00,387.20,11.49,0.03,0.26,0.26,2.56,99.80,95.00,4.80,760.00,387.20,2,825,1.45,1.78,1.15,0,28287780,4658612,14.14,61276,1687112,6899700,20.94,3344832,1101276,2496,lo,30.20,30.20,171.18,171.18,0.00,0.00,0.00,0.00,380.00,193.60,34663.40,0.00,47885.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,50.40,5831.40
