timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
09:55:57,16.24,0.00,2.66,0.08,0.00,81.03,35.20,0.00,15868.80,450.82,0.09,2.57,0.23,0.80,35.20,0.00,35.20,0.00,15868.80,1,828,1.47,1.34,0.72,1,29014580,3931812,11.93,40276,993344,6813188,20.68,2932232,752824,306376,lo,112.60,112.60,108.56,108.56,0.00,0.00,0.00,0.00,0.00,7934.40,26762.40,0.00,38465.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.20,5009.20
09:56:02,11.84,0.00,0.98,0.15,0.00,87.04,52.60,0.00,20307.20,386.07,0.18,3.44,0.32,1.68,52.60,0.00,52.60,0.00,20307.20,3,863,1.35,1.32,0.72,1,28644732,4301660,13.06,40304,1097468,7405884,22.48,3199364,850776,381384,lo,843.60,843.60,20840.60,20840.60,0.00,0.00,0.00,0.00,0.00,10153.60,14600.60,0.00,3838.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.60,6076.40
09:56:07,29.28,0.00,1.56,0.00,0.00,69.17,9.20,0.00,12556.80,1364.87,0.06,6.87,0.35,0.32,9.20,0.00,9.20,0.00,12556.80,4,994,1.24,1.30,0.71,1,27879620,5066772,15.38,40316,1097836,9310656,28.26,3958752,850868,351160,lo,206.40,206.40,4172.70,4172.70,0.00,0.00,0.00,0.00,0.00,6278.40,40372.00,0.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.40,6215.60
09:56:12,37.04,0.00,2.69,0.03,0.00,60.25,9.00,0.00,8510.40,945.60,0.04,4.27,0.53,0.48,9.00,0.00,9.00,0.00,8510.40,3,984,1.30,1.31,0.72,4,28062876,4883516,14.82,40328,1098280,9328868,28.32,3776572,850836,330952,lo,383.60,383.60,8306.27,8306.27,0.00,0.00,0.00,0.00,0.00,4255.20,64505.00,0.00,73232.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,55.80,10359.00
09:56:17,42.48,0.00,2.56,0.05,0.00,54.91,9.20,0.00,12592.00,1368.70,0.07,7.57,0.61,0.56,9.20,0.00,9.20,0.00,12592.00,5,982,1.36,1.32,0.73,1,28054316,4892076,14.85,40340,1098776,9343076,28.36,3782792,850796,300516,lo,453.40,453.40,10508.12,10508.12,0.00,0.00,0.00,0.00,0.00,6296.00,75021.40,0.00,74243.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,57.80,11001.80
09:56:22,38.25,0.00,2.43,0.03,0.00,59.29,4.20,0.00,1091.20,259.81,0.00,0.76,0.76,0.32,3.80,0.00,3.80,0.00,1088.00,6,994,1.25,1.30,0.72,1,27871484,5074908,15.40,40352,1099256,9313400,28.27,3967148,850864,298800,lo,431.80,431.80,10365.33,10365.33,0.00,0.00,0.00,0.00,0.00,544.00,67000.80,0.00,57563.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.40,9375.00
09:56:27,34.09,0.00,2.50,0.00,0.00,63.40,258.40,0.00,46969.60,181.77,1.11,4.29,0.08,2.16,258.80,0.00,258.80,0.00,46972.80,2,997,1.39,1.33,0.74,0,27931292,5015100,15.22,40356,1099800,9327236,28.31,3904192,851988,182424,lo,317.00,317.00,6463.35,6463.35,0.00,0.00,0.00,0.00,0.00,23486.40,55028.20,0.00,60683.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,45.20,8989.00
09:56:32,19.81,0.00,1.53,0.03,0.00,78.64,198.40,0.00,53664.00,270.48,1.84,9.30,0.46,9.12,198.40,0.00,198.40,0.00,53664.00,3,991,1.36,1.32,0.74,0,28110868,4835524,14.68,40380,1100032,9332100,28.33,3725684,852036,59368,lo,204.80,204.80,4185.86,4185.86,0.00,0.00,0.00,0.00,0.00,26832.00,34095.00,0.00,44418.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.20,6849.40
09:56:37,22.29,0.00,1.40,0.03,0.00,76.29,31.80,0.00,25841.60,812.63,0.34,10.74,0.25,0.80,31.80,0.00,31.80,0.00,25841.60,0,999,1.25,1.30,0.73,1,27911076,5035316,15.28,40404,1100304,9311912,28.26,3925452,852156,1140,lo,279.60,279.60,6245.65,6245.65,0.00,0.00,0.00,0.00,0.00,12920.80,38958.20,0.00,28891.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.40,6085.80
09:56:42,19.90,0.00,1.32,0.00,0.00,78.78,6.00,0.00,352.00,58.67,0.00,0.27,0.27,0.16,5.60,0.00,5.60,0.00,348.80,5,992,1.39,1.33,0.75,0,28094072,4852320,14.73,40416,1100532,9342900,28.36,3743520,852200,1288,lo,205.00,205.00,4185.70,4185.70,0.00,0.00,0.00,0.00,0.00,174.40,33966.00,0.00,42743.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.80,6688.20
09:56:47,21.93,0.00,1.40,0.02,0.00,76.64,3.80,0.00,225.60,59.37,0.00,1.05,0.42,0.16,4.20,0.00,4.20,0.00,228.80,0,998,1.28,1.31,0.74,0,27904056,5042336,15.30,40432,1100804,9324024,28.30,3931680,852436,1392,lo,280.00,280.00,6245.33,6245.33,0.00,0.00,0.00,0.00,0.00,114.40,38360.20,0.00,28866.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.20,6165.00
09:56:52,19.29,0.00,1.30,0.00,0.00,79.41,4.40,0.00,350.40,79.64,0.00,0.36,0.36,0.16,4.20,0.00,4.20,0.00,251.20,1,991,1.42,1.33,0.75,0,28102252,4844140,14.70,40452,1101036,9338800,28.35,3734716,852468,1464,lo,206.00,206.00,4185.60,4185.60,0.00,0.00,0.00,0.00,0.00,175.20,33725.60,0.00,43259.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.60,6493.80
09:56:57,7.36,0.00,0.75,0.03,0.00,91.87,15.00,0.00,179.20,11.95,0.00,0.16,0.16,0.24,15.00,0.00,15.00,0.00,276.80,0,869,1.30,1.31,0.75,0,28401640,4544752,13.79,40460,1103208,7651688,23.22,3434144,854472,3360,lo,180.60,180.60,2606.37,2606.37,0.00,0.00,0.00,0.00,0.00,88.80,16392.80,0.00,31995.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.40,3244.00
09:57:02,2.28,0.00,0.38,0.00,0.00,97.35,10.00,0.00,192.00,19.20,0.00,0.24,0.24,0.24,10.00,0.00,10.00,0.00,192.00,2,826,1.20,1.29,0.74,0,28846444,4099948,12.44,40472,1102864,6868620,20.85,2991960,854292,55124,lo,538.40,538.40,10603.29,10603.29,0.00,0.00,0.00,0.00,0.00,96.00,1824.20,0.00,29216.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.20,3136.80
09:57:07,19.73,0.00,1.05,0.03,0.00,79.19,5.20,0.00,116.80,22.46,0.00,0.15,0.15,0.08,5.40,0.00,5.40,0.00,118.40,0,928,1.42,1.34,0.76,0,28399612,4546780,13.80,40500,1100752,7646140,23.21,3441632,852860,107624,lo,355.20,355.20,10533.79,10533.79,0.00,0.00,0.00,0.00,0.00,60.00,24713.40,0.00,4834.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.80,4674.80
09:57:12,11.44,0.00,0.87,0.02,0.00,87.67,13.20,0.00,345.60,26.18,0.00,0.06,0.06,0.08,13.20,0.00,13.20,0.00,345.60,3,954,1.31,1.31,0.76,0,28363676,4582716,13.91,40512,1103616,8496500,25.79,3476152,852868,109916,lo,59.80,59.80,376.82,376.82,0.00,0.00,0.00,0.00,0.00,213.60,18788.20,0.00,16921.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.00,4460.80
09:57:17,11.04,0.00,0.73,0.05,0.00,88.19,14.60,1.60,1276.80,87.56,0.01,0.60,0.49,0.72,14.60,0.20,14.40,1.60,1276.80,0,876,1.20,1.29,0.75,5,28418820,4527572,13.74,40528,1086316,7674264,23.29,3436900,838412,107632,lo,117.80,117.80,672.49,672.49,0.00,0.00,0.00,0.00,0.80,596.80,13272.20,0.00,16357.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,4047.00
09:57:22,14.58,0.00,3.08,0.03,0.00,82.32,3.40,0.00,545.60,160.47,0.00,0.94,0.47,0.16,3.40,0.00,3.40,0.00,545.60,0,825,1.19,1.29,0.75,5,29133432,3812960,11.57,43296,965276,6949212,21.09,2860504,722156,161556,lo,18.00,18.00,2.84,2.84,0.00,0.00,0.00,0.00,0.00,272.80,36975.40,0.00,77734.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.00,5232.40
