timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
00:58:51,29.28,0.00,1.47,1.15,0.00,68.10,122.80,0.00,2305.60,18.78,0.06,0.48,0.46,5.60,306.60,0.00,306.60,0.00,5883.20,2,838,1.44,2.16,1.76,0,19697404,13248988,40.21,170880,9593748,7083960,21.50,4318988,8480824,2252,lo,13.40,13.40,1.72,1.72,0.00,0.00,0.00,0.00,0.00,2935.73,15456.69,0.00,1161.08,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,6450.20
00:58:56,22.20,0.00,1.25,0.03,0.00,76.52,17.00,0.00,1206.40,70.96,0.01,0.66,0.42,0.72,19.40,0.00,19.40,0.00,182.40,0,838,1.49,2.15,1.77,0,19649172,13297220,40.36,170892,9613268,7109428,21.58,4350000,8496908,21168,lo,232.20,232.20,3697.04,3697.04,0.00,0.00,0.00,0.00,0.00,91.20,17387.40,0.00,20030.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.80,6043.40
00:59:01,24.67,0.00,0.75,0.00,0.00,74.58,3.00,0.00,172.80,57.60,0.00,0.53,0.53,0.16,4.20,0.00,4.20,0.00,1142.40,2,933,1.37,2.12,1.76,0,19178856,13767536,41.79,170900,9632012,7981460,24.23,4800764,8514560,42532,lo,200.60,200.60,3636.01,3636.01,0.00,0.00,0.00,0.00,0.00,571.20,24381.60,0.00,1812.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.20,4217.20
00:59:06,30.48,0.00,1.30,0.03,0.00,68.20,38.80,0.00,17347.20,447.09,0.14,3.55,0.12,0.48,38.40,0.00,38.40,0.00,17353.60,5,973,1.58,2.15,1.77,0,18853664,14092728,42.77,170900,9632484,8310160,25.22,5126292,8511812,132,lo,111.40,111.40,1272.46,1272.46,0.00,0.00,0.00,0.00,0.00,8676.80,35600.80,0.00,19004.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.40,6251.60
00:59:11,32.15,0.00,1.05,0.00,0.00,66.80,1.20,0.00,104.00,86.67,0.00,0.67,0.67,0.08,2.40,0.00,2.40,0.00,174.40,5,964,1.45,2.11,1.76,0,19047588,13898804,42.19,170904,9632456,8277484,25.12,4932204,8511632,804,lo,88.40,88.40,637.25,637.25,0.00,0.00,0.00,0.00,0.00,87.20,26226.20,0.00,35339.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.80,6300.20
00:59:16,25.38,0.00,1.05,0.00,0.00,73.57,1.00,0.00,104.00,104.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,102.40,0,936,1.74,2.16,1.78,0,19161344,13785048,41.84,170908,9632532,8257592,25.06,4817020,8511608,940,lo,117.00,117.00,1275.21,1275.21,0.00,0.00,0.00,0.00,0.00,52.00,30269.60,0.00,35585.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.60,6439.40
00:59:21,28.60,0.00,1.15,0.03,0.00,70.23,1.20,0.00,78.40,65.33,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,92.80,4,971,1.76,2.16,1.78,0,18858544,14087848,42.76,170912,9632960,8336156,25.30,5121420,8511896,1388,lo,108.00,108.00,1255.38,1255.38,0.00,0.00,0.00,0.00,0.00,45.60,34321.40,0.00,18572.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.20,5521.60
00:59:26,30.12,0.00,1.23,0.00,0.00,68.65,5.80,0.00,128.00,22.07,0.01,1.38,1.10,0.64,1.40,0.00,1.40,0.00,91.20,8,964,1.62,2.12,1.77,0,19048084,13898308,42.18,170916,9632912,8283384,25.14,4932144,8511704,1348,lo,83.80,83.80,591.25,591.25,0.00,0.00,0.00,0.00,0.00,45.60,26360.60,0.00,35423.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.60,6746.00
00:59:31,29.99,0.00,1.28,0.03,0.00,68.71,25.00,4.80,822.40,33.09,0.03,1.12,0.29,0.72,25.40,0.00,25.40,0.00,771.20,0,961,1.81,2.15,1.78,0,18968484,13977908,42.43,170928,9633424,8555172,25.97,5010488,8511984,188,lo,125.60,125.60,50.39,50.39,0.00,0.00,0.00,0.00,0.00,385.60,26318.20,0.00,22031.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.40,7888.60
00:59:36,29.64,0.00,1.18,0.00,0.00,69.18,6.40,3.20,132.80,21.25,0.00,0.38,0.37,0.24,7.00,0.60,6.40,4.80,185.60,5,964,2.14,2.22,1.80,0,19044684,13901708,42.19,170932,9633440,8276500,25.12,4934564,8511896,856,lo,93.60,93.60,35.96,35.96,0.00,0.00,0.00,0.00,2.40,92.80,28068.80,0.00,31615.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.00,7528.60
00:59:41,22.68,0.00,1.03,0.03,0.00,76.26,40.00,0.00,680.00,17.00,0.01,0.18,0.18,0.72,27.80,0.40,27.40,3.20,609.60,4,965,2.29,2.25,1.82,0,18949460,13996932,42.48,170944,9634360,8264504,25.08,5028660,8512512,620,lo,158.80,158.80,198.64,198.64,0.00,0.00,0.00,0.00,1.60,304.80,27861.20,0.00,22960.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,6948.00
00:59:46,1.17,0.00,0.25,0.07,0.00,98.50,3.00,0.00,57.60,19.20,0.00,0.53,0.53,0.16,16.60,0.00,16.60,0.00,182.40,0,880,2.11,2.21,1.81,0,19153044,13793348,41.87,170948,9633692,7986152,24.24,4826144,8512000,18280,lo,220.80,220.80,3493.33,3493.33,0.00,0.00,0.00,0.00,0.00,91.20,305.20,0.00,12326.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.20,1958.60
00:59:51,19.67,0.00,0.83,0.00,0.00,79.50,27.00,0.00,14723.20,545.30,0.16,5.81,0.15,0.40,26.80,0.00,26.80,0.00,14603.20,5,889,2.18,2.22,1.81,0,19183944,13762448,41.77,170968,9633436,7893352,23.96,4794800,8515060,96,lo,162.40,162.40,3652.01,3652.01,0.00,0.00,0.00,0.00,0.00,7301.60,23462.40,0.00,25545.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.60,4630.80
00:59:56,22.70,0.00,1.28,0.03,0.00,76.00,2.00,0.00,108.80,54.40,0.00,2.00,2.00,0.40,4.40,0.00,4.40,0.00,195.20,2,963,2.41,2.27,1.83,0,19063000,13883392,42.14,170972,9633948,8211104,24.92,4914288,8514144,1032,lo,72.80,72.80,69.99,69.99,0.00,0.00,0.00,0.00,0.00,97.60,21072.40,0.00,14977.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.40,5926.00
01:00:01,26.84,0.00,1.35,0.00,0.00,71.81,1.80,0.00,131.20,72.89,0.00,0.89,0.89,0.16,1.40,0.00,1.40,0.00,107.20,1,967,2.29,2.25,1.83,0,18895172,14051220,42.65,170972,9634308,8260160,25.07,5080764,8514388,1464,lo,101.00,101.00,43.74,43.74,0.00,0.00,0.00,0.00,0.00,53.60,37593.80,0.00,29040.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.20,6987.80
01:00:06,25.55,0.00,1.55,0.03,0.00,72.88,1.20,0.00,97.60,81.33,0.00,0.67,0.67,0.08,1.60,0.00,1.60,0.00,129.60,1,960,2.51,2.29,1.84,0,19066364,13880028,42.13,170980,9634372,8212644,24.93,4911324,8514216,1544,lo,84.40,84.40,36.76,36.76,0.00,0.00,0.00,0.00,0.00,64.80,34952.00,0.00,42952.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,6446.60
01:00:11,26.08,0.00,1.38,0.00,0.00,72.55,12.80,0.00,216.00,16.88,0.00,0.25,0.25,0.32,1.20,0.00,1.20,0.00,97.60,1,966,2.39,2.27,1.84,0,18897960,14048432,42.64,170984,9634432,8240128,25.01,5079556,8514260,1672,lo,97.00,97.00,42.02,42.02,0.00,0.00,0.00,0.00,0.00,48.80,37464.00,0.00,28908.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.40,6800.00
01:00:16,6.38,0.00,0.50,0.05,0.00,93.08,21.20,0.00,904.00,42.64,0.00,0.19,0.19,0.40,32.80,0.00,32.80,0.00,990.40,0,846,2.28,2.25,1.83,0,19554320,13392072,40.65,170984,9633276,7193132,21.83,4423192,8514320,72,lo,104.80,104.80,189.48,189.48,0.00,0.00,0.00,0.00,0.00,495.20,11508.20,0.00,44247.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.60,3342.60
01:00:21,10.40,0.00,1.03,0.00,0.00,88.57,5.20,0.00,164.80,31.69,0.01,1.08,1.08,0.56,2.80,0.00,2.80,0.00,124.80,1,831,2.10,2.21,1.82,0,19851736,13094656,39.75,170992,9597372,7026572,21.33,4163444,8482820,900,lo,23.20,23.20,94.25,94.25,0.00,0.00,0.00,0.00,0.00,62.40,10504.00,0.00,24962.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.00,3431.80
