timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
23:09:48,30.17,0.00,1.65,0.03,0.00,68.15,14.00,1.60,22891.20,1635.20,0.16,11.60,0.40,0.56,13.60,0.00,13.60,0.00,22798.40,2,1008,1.60,1.95,2.19,1,12831648,20114744,61.05,88904,15507336,8081528,24.53,9935580,9572648,904444,lo,1297.40,1297.40,50935.19,50935.19,0.00,0.00,0.00,0.00,0.80,11445.60,14391.40,0.00,59952.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,6106.80
23:09:53,27.77,0.00,1.58,0.00,0.00,70.65,6.20,0.00,3774.40,608.77,0.02,2.45,0.39,0.24,5.20,0.20,5.00,1.60,3836.80,3,1008,1.63,1.95,2.19,0,12683664,20262728,61.50,88912,15650620,8081528,24.53,9966828,9688508,1299768,lo,2025.80,2025.80,81149.48,81149.48,0.00,0.00,0.00,0.00,0.00,1878.40,259.20,0.00,13844.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4490.60
23:09:58,35.16,0.00,2.31,0.00,0.00,62.53,18.80,0.00,26739.20,1422.30,0.24,12.81,0.38,0.72,19.80,0.00,19.80,0.00,26675.20,1,1009,1.66,1.95,2.19,2,13282268,19664124,59.69,88920,15076772,8079584,24.52,9290164,9784564,893980,lo,1818.20,1818.20,73287.61,73287.61,0.00,0.00,0.00,0.00,0.00,13378.40,14779.00,0.00,63129.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,6336.60
23:10:03,28.49,0.00,1.48,0.00,0.00,70.03,0.60,0.00,30.40,50.67,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,121.60,2,1009,1.69,1.95,2.19,1,13162224,19784168,60.05,88924,15187736,8079584,24.52,9275864,9918140,1329900,lo,2488.60,2488.60,101158.77,101158.77,0.00,0.00,0.00,0.00,0.00,15.20,514.60,0.00,17177.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4417.20
23:10:08,31.50,0.00,0.78,0.00,0.00,67.73,5.80,0.00,7539.20,1299.86,0.03,5.38,0.55,0.32,5.80,0.00,5.80,0.00,7516.80,2,1010,1.79,1.97,2.19,0,13073820,19872572,60.32,88924,15270808,8079584,24.52,9359840,9923364,1410176,lo,160.60,160.60,4201.83,4201.83,0.00,0.00,0.00,0.00,0.00,3769.60,404.60,0.00,1211.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,5054.40
23:10:13,28.23,0.00,0.60,0.00,0.00,71.17,0.40,0.00,19.20,48.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,51.20,2,1010,1.81,1.97,2.19,0,13062940,19883452,60.35,88924,15280896,8079584,24.52,9361032,9932504,1420268,lo,113.60,113.60,2028.66,2028.66,0.00,0.00,0.00,0.00,0.00,9.60,63.80,0.00,283.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4645.60
23:10:18,32.20,0.00,1.40,0.05,0.00,66.35,15.40,0.00,292.80,19.01,0.02,1.04,0.10,0.16,15.20,0.00,15.20,0.00,220.80,1,1008,1.82,1.97,2.19,2,13887660,19058732,57.85,88932,14489116,8078436,24.52,8518112,9970832,736452,lo,834.40,834.40,31307.08,31307.08,0.00,0.00,0.00,0.00,0.00,146.40,14324.80,0.00,56418.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.20,5800.00
23:10:23,27.26,0.00,1.20,0.00,0.00,71.54,3.40,0.00,128.00,37.65,0.00,0.00,0.00,0.00,3.40,0.00,3.40,0.00,182.40,2,1009,1.84,1.97,2.19,1,13731808,19214584,58.32,88940,14635660,8078436,24.52,8598496,10047172,1082200,lo,1518.00,1518.00,60628.36,60628.36,0.00,0.00,0.00,0.00,0.00,64.00,408.80,0.00,10584.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.20,4974.00
23:10:28,31.91,0.00,2.20,0.00,0.00,65.88,4.20,0.00,177.60,42.29,0.00,0.00,0.00,0.00,3.40,0.00,3.40,0.00,110.40,8,1007,2.01,2.01,2.20,2,14357948,18588444,56.42,88964,14039984,8075736,24.51,7872220,10164940,802300,lo,2334.80,2334.80,94185.25,94185.25,0.00,0.00,0.00,0.00,0.00,88.00,14572.40,0.00,67454.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,6180.60
23:10:33,29.67,0.00,1.25,0.00,0.00,69.08,7.00,0.00,7577.60,1082.51,0.04,5.03,0.23,0.16,7.40,0.00,7.40,0.00,7617.60,2,1009,2.57,2.12,2.23,1,14230976,18715416,56.81,88968,14150860,8075736,24.51,7892396,10268712,1153664,lo,1930.60,1930.60,78235.18,78235.18,0.00,0.00,0.00,0.00,0.00,3789.60,710.60,0.00,13721.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,4300.40
