timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
10:24:28,12.44,0.00,1.55,2.33,0.00,83.68,24.20,3.20,35299.20,1458.78,5.31,782.31,8.33,20.16,36.40,0.40,36.00,3.20,60286.40,1,847,7.61,5.20,3.26,0,19190484,13755908,41.75,52116,10471800,7252688,22.01,3922292,9364812,2645236,lo,38.80,38.80,8.10,8.10,0.00,0.00,0.00,0.00,1.60,3928.00,27100.60,0.00,130387.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,47.00,4949.80
10:24:33,10.99,0.00,6.35,16.70,0.00,65.95,120.75,4.49,244327.48,2023.49,107.16,754.38,7.73,93.31,120.80,0.60,120.20,4.80,243817.60,4,882,7.48,5.21,3.27,2,18953744,13992648,42.47,52164,10471876,7304144,22.17,4158340,9364816,1866436,lo,11.20,11.20,2.71,2.71,0.00,0.00,0.00,0.00,3.20,148328.00,17672.00,0.00,12270.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.80,2729.80
10:24:38,10.44,0.00,4.82,21.83,0.00,62.92,169.40,56.00,304844.80,1799.89,136.03,859.67,7.09,120.08,136.80,2.60,134.20,49.60,241188.80,4,932,7.04,5.16,3.27,2,18645564,14300828,43.41,52200,10472152,8080852,24.53,4465028,9364952,1244588,lo,19.80,19.80,2.69,2.69,0.00,0.00,0.00,0.00,26.40,119612.80,15815.40,0.00,857.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.05,3418.12
10:24:43,6.22,0.00,5.44,25.29,0.00,63.05,124.00,1.60,249120.00,2009.05,127.80,1000.17,8.06,100.00,119.60,0.80,118.80,8.00,237817.60,2,933,6.72,5.12,3.27,3,18476932,14469460,43.92,52232,10548828,8166048,24.79,4555992,9441552,702708,lo,414.80,414.80,15363.20,15363.20,0.00,0.00,0.00,0.00,1.60,119891.20,5107.20,0.00,3490.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,4541.20
10:24:48,5.69,0.00,2.89,19.13,0.00,72.29,112.80,0.00,229840.00,2037.59,127.33,1058.44,8.86,99.92,125.60,0.00,125.60,0.00,255236.80,3,936,6.42,5.08,3.26,1,18215268,14731124,44.71,52252,10625536,8397768,25.49,4814528,9441520,135968,lo,9.20,9.20,5.74,5.74,0.00,0.00,0.00,0.00,0.00,127617.60,9186.20,0.00,217.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.20,2623.40
10:24:53,52.72,0.00,6.27,3.09,0.00,37.92,23.60,22.40,43964.80,1863.86,4.06,990.88,8.37,19.76,56.20,1.40,54.80,22.40,111139.20,11,957,6.55,5.13,3.29,0,16391480,16554912,50.25,52260,10625620,10104392,30.67,6631704,9441492,77284,lo,18483.80,18483.80,624008.28,624008.28,0.00,0.00,0.00,0.00,11.20,29150.40,93751.80,0.00,3090.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.00,14369.80
10:24:58,77.51,0.00,5.33,0.00,0.00,17.17,3.00,56.00,105.60,53.87,0.00,0.27,0.27,0.08,3.00,2.60,0.40,56.00,105.60,10,950,6.42,5.13,3.30,0,16234404,16711988,50.72,52268,10686968,10137708,30.77,6736048,9494996,138640,lo,36216.20,36216.20,1204111.97,1204111.97,0.00,0.00,0.00,0.00,28.00,52.80,6102.40,0.00,5307.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.80,12291.40
10:25:03,85.22,0.00,5.50,0.00,0.00,9.28,1.80,0.00,174.40,96.89,0.00,0.44,0.44,0.08,1.80,0.00,1.80,0.00,174.40,11,957,6.79,5.23,3.34,0,16010332,16936060,51.40,52276,10888940,10092924,30.63,6776528,9671592,340672,lo,35670.40,35670.40,1194380.20,1194380.20,0.00,0.00,0.00,0.00,0.00,87.20,2940.00,0.00,4221.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.40,11098.60
10:25:08,73.28,0.00,4.10,0.03,0.00,22.60,5.60,70.40,190.40,46.57,0.00,0.29,0.29,0.16,5.60,4.40,1.20,70.40,190.40,8,972,6.97,5.29,3.37,0,15805932,17140460,52.03,52284,10928792,10230420,31.05,7207172,9443192,380300,lo,22306.80,22306.80,758960.19,758960.19,0.00,0.00,0.00,0.00,35.20,95.20,9463.00,0.00,6943.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.60,15365.20
10:25:13,79.50,0.00,3.94,0.00,0.00,16.56,3.40,0.00,118.40,34.82,0.00,0.24,0.24,0.08,3.40,0.00,3.40,0.00,118.40,8,972,7.05,5.34,3.40,0,15822692,17123700,51.97,52292,10928852,10181164,30.90,7191572,9443184,380292,lo,27587.20,27587.20,938586.66,938586.66,0.00,0.00,0.00,0.00,0.00,59.20,2535.20,0.00,5203.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.60,10517.60
10:25:18,68.30,0.00,2.80,0.76,0.00,28.14,177.40,3152.00,30966.40,192.32,0.46,2.57,0.42,7.44,177.40,154.20,23.20,3152.00,30966.40,11,969,7.13,5.38,3.42,0,15651588,17294804,52.49,52304,11073796,10181164,30.90,7233868,9568676,440120,lo,16337.20,16337.20,559599.72,559599.72,0.00,0.00,0.00,0.00,1576.00,15483.20,1563.40,0.00,2303.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,11879.20
10:25:23,81.86,0.00,3.56,0.00,0.00,14.58,0.40,0.00,108.80,272.00,0.00,2.00,0.00,0.00,0.40,0.00,0.40,0.00,108.80,1,967,7.12,5.41,3.44,0,15454572,17491820,53.09,52312,11263964,10203312,30.97,7259624,9735216,630508,lo,22254.60,22254.60,766895.62,766895.62,0.00,0.00,0.00,0.00,0.00,54.40,881.40,0.00,3059.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.20,12028.40
10:25:28,71.57,0.00,4.01,0.05,0.00,24.37,10.00,241.60,94.40,33.60,0.00,0.40,0.24,0.24,10.00,9.60,0.40,241.60,94.40,8,970,7.35,5.49,3.48,0,15726068,17220324,52.27,52320,10699624,10419360,31.63,7233048,9505148,65616,lo,17885.20,17885.20,610385.70,610385.70,0.00,0.00,0.00,0.00,120.80,47.20,15023.40,0.00,44075.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.40,11094.80
10:25:33,81.51,0.00,3.59,0.00,0.00,14.90,1.00,0.00,220.80,220.80,0.00,0.80,0.80,0.08,1.00,0.00,1.00,0.00,220.80,8,965,7.48,5.54,3.51,0,15521296,17425096,52.89,52328,10896904,10414704,31.61,7259300,9677100,262832,lo,22494.40,22494.40,772991.45,772991.45,0.00,0.00,0.00,0.00,0.00,110.40,2762.20,0.00,3633.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.60,11794.40
