timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:26:31,40.90,0.00,6.03,6.33,0.00,46.73,991.40,10177.60,9436.80,19.78,0.76,0.77,0.13,13.04,991.40,979.40,12.00,10177.60,9436.80,0,685,2.16,2.24,1.56,0,900928,3144888,77.73,19508,692516,4102488,101.40,2595728,389188,29604,lo,15.60,15.60,3.63,3.63,0.00,0.00,0.00,0.00,5088.80,4718.40,13926.20,12.60,23715.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.20,3692.00
13:26:36,59.65,0.00,10.87,4.57,0.00,24.90,635.60,24304.00,43736.00,107.05,3.34,5.25,0.27,17.20,635.80,424.20,211.60,24305.60,43736.00,2,658,2.07,2.22,1.56,0,791184,3254632,80.44,30744,936788,3686260,91.11,2467172,582860,114876,lo,46.40,46.40,740.78,740.78,0.00,0.00,0.00,0.00,12152.80,21868.00,22308.40,0.60,33525.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.00,3834.00
13:26:41,20.40,0.00,3.23,2.53,0.00,73.84,423.40,1054.40,30184.00,73.78,0.77,1.82,0.18,7.60,423.20,68.00,355.20,1052.80,30184.00,0,664,1.98,2.20,1.55,0,771648,3274168,80.93,31224,940476,3694620,91.32,2483120,585104,73992,lo,655.80,655.80,88.09,88.09,0.00,0.00,0.00,0.00,526.40,15092.00,2646.80,0.20,3592.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,112.80,5395.40
13:26:46,13.58,0.00,2.11,2.21,0.00,82.09,174.40,816.00,1580.80,13.74,0.07,0.39,0.32,5.60,174.40,37.80,136.60,816.00,1580.80,5,665,1.82,2.16,1.54,0,743300,3302516,81.63,31376,968268,3694620,91.32,2489276,606736,100148,lo,669.40,669.40,5069.70,5069.70,0.00,0.00,0.00,0.00,408.00,790.40,1300.20,0.40,2349.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,88.00,5805.00
13:26:51,67.17,0.00,4.02,2.31,0.00,26.51,313.40,3897.60,70926.40,238.75,2.63,8.41,0.28,8.88,313.40,153.80,159.60,3897.60,70926.40,3,749,1.84,2.16,1.55,0,377848,3667968,90.66,31424,1057480,4163776,102.92,2779784,679872,484,lo,579.20,579.20,15868.83,15868.83,0.00,0.00,0.00,0.00,1948.80,35463.20,15056.40,1.60,3444.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.80,3192.20
13:26:56,59.50,0.00,5.83,0.20,0.00,34.47,25.00,585.60,1134.40,68.80,0.02,0.74,0.48,1.20,25.00,20.80,4.20,585.60,1134.40,2,801,2.01,2.19,1.56,1,634260,3411556,84.32,31588,534344,4850424,119.89,2844100,398504,3912,lo,47.60,47.60,37.32,37.32,0.00,0.00,0.00,0.00,292.80,567.20,16358.80,2.40,28632.40,1020.60,9.00,1020.80,99.15,0.00,0.00,0,0,0.00,0,0.00,15.80,4129.00
13:27:01,86.13,0.00,6.83,3.32,0.00,3.72,334.20,129145.60,140.80,386.85,0.39,1.17,0.52,17.36,334.80,332.40,2.40,129452.80,140.80,4,784,2.33,2.25,1.58,1,462448,3583368,88.57,32748,755868,4540116,112.22,2798332,623956,5772,lo,2692.20,2692.20,64297.44,64297.44,0.00,0.00,0.00,0.00,64726.40,70.40,37876.00,6.80,45861.60,0.00,2.40,2.40,100.00,0.00,0.00,0,0,0.00,0,0.00,31.60,4993.60
13:27:06,87.79,0.00,6.31,0.20,0.00,5.71,250.60,121281.60,134.40,484.50,0.19,0.77,0.44,11.04,250.00,248.20,1.80,120974.40,134.40,3,773,2.30,2.25,1.59,0,325360,3720456,91.96,32768,1059400,4360952,107.79,2634776,925568,7596,lo,2510.80,2510.80,59933.01,59933.01,0.00,0.00,0.00,0.00,60487.20,67.20,31419.80,6.20,39371.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.80,5162.60
13:27:11,87.66,0.00,7.02,0.40,0.00,4.91,167.20,82598.40,118.40,494.72,0.12,0.69,0.43,7.20,167.20,165.80,1.40,82598.40,118.40,5,791,2.44,2.28,1.60,0,259416,3786400,93.59,32780,1049412,4601972,113.75,2720280,917180,9128,lo,1722.40,1722.40,41408.36,41408.36,0.00,0.00,0.00,0.00,41299.20,59.20,31320.00,0.20,38038.60,8702.60,0.00,8679.20,99.73,0.00,0.00,0,0,0.00,0,0.00,23.80,4800.40
13:27:16,90.46,0.00,6.53,0.00,0.00,3.01,253.40,124094.40,132.80,490.24,0.19,0.75,0.42,10.56,253.40,252.00,1.40,124094.40,132.80,2,774,2.65,2.32,1.62,0,330920,3714896,91.82,32792,1050008,4379040,108.24,2651104,925908,11012,lo,2358.20,2358.20,62098.96,62098.96,0.00,0.00,0.00,0.00,62047.20,66.40,36016.20,2.00,55239.80,15606.60,0.00,15555.40,99.67,0.00,0.00,0,0,0.00,0,0.00,30.00,4959.80
13:27:21,88.69,0.00,7.91,0.10,0.00,3.30,253.00,123859.20,324.80,490.85,0.18,0.72,0.42,10.72,253.00,247.60,5.40,123859.20,324.80,1,771,2.91,2.38,1.64,0,355168,3690648,91.22,32804,1080800,4318144,106.73,2586596,974228,12508,lo,2740.00,2740.00,62118.93,62118.93,0.00,0.00,0.00,0.00,61929.60,162.40,37161.40,0.00,53851.40,13992.20,0.00,13952.20,99.71,0.00,0.00,0,0,0.00,0,0.00,28.80,5506.80
13:27:26,89.54,0.00,5.73,0.30,0.00,4.43,183.00,82569.60,1457.60,459.17,0.14,0.77,0.42,7.60,183.00,165.20,17.80,82569.60,1457.60,5,792,2.92,2.39,1.65,0,272896,3772920,93.25,32812,1067852,4583592,113.29,2673768,971580,10728,lo,1587.40,1587.40,41401.74,41401.74,0.00,0.00,0.00,0.00,41284.80,728.80,31681.20,0.00,37847.60,11051.40,0.00,11022.80,99.74,0.00,0.00,0,0,0.00,0,0.00,23.60,5048.40
13:27:31,89.33,0.00,7.35,0.10,0.00,3.22,249.80,123854.40,705.60,498.64,0.16,0.65,0.38,9.60,249.80,247.20,2.60,123854.40,705.60,2,774,3.09,2.44,1.67,0,317624,3728192,92.15,32800,1080564,4449244,109.97,2607284,998624,11240,lo,2278.00,2278.00,62094.33,62094.33,0.00,0.00,0.00,0.00,61927.20,352.80,36639.20,0.00,54363.20,14959.00,0.00,14925.60,99.78,0.00,0.00,0,0,0.00,0,0.00,30.40,4767.00
