timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
03:03:46,85.77,0.00,2.22,3.43,0.00,8.58,184.00,0.00,3275.20,17.80,0.09,0.50,0.48,8.80,173.60,0.00,173.60,0.00,3142.40,3,723,1.52,1.66,1.71,0,2796248,5378336,65.79,103700,2887632,4469912,54.68,2720176,2476740,19812,lo,189.00,189.00,3486.43,3486.43,0.00,0.00,0.00,0.00,0.00,437.60,17010.20,0.00,2557.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.60,4831.00
03:03:51,60.24,0.00,3.01,0.00,0.00,36.75,5.20,0.00,284.80,54.77,0.00,0.46,0.46,0.24,17.60,0.00,17.60,0.00,513.60,4,802,1.56,1.67,1.71,0,2442180,5732404,70.12,103704,2905392,5023944,61.46,3055144,2493068,37300,lo,172.20,172.20,3529.08,3529.08,0.00,0.00,0.00,0.00,0.00,260.00,14076.60,0.00,1308.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.80,2668.40
03:03:56,70.27,0.00,3.13,0.10,0.00,26.49,18.80,0.00,488.00,25.96,0.00,0.09,0.09,0.16,5.40,0.00,5.40,0.00,152.00,0,788,1.60,1.67,1.71,0,2288048,5886536,72.01,103712,2908352,5204024,63.66,3206200,2494568,39436,lo,112.80,112.80,1148.00,1148.00,0.00,0.00,0.00,0.00,0.00,73.60,15679.40,0.00,16691.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.80,3382.60
03:04:01,60.65,0.00,2.43,0.00,0.00,36.92,4.80,0.00,134.40,28.00,0.00,0.67,0.50,0.24,4.80,0.00,4.80,0.00,235.20,2,811,1.47,1.65,1.71,0,2349132,5825452,71.26,103716,2913224,5216672,63.82,3140976,2499056,44264,lo,165.40,165.40,2279.89,2279.89,0.00,0.00,0.00,0.00,0.00,127.20,12869.40,0.00,16028.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.40,3045.80
03:04:06,71.86,0.00,3.32,0.10,0.00,24.72,6.40,0.00,270.40,42.25,0.01,0.88,0.75,0.48,5.60,0.00,5.60,0.00,176.00,2,806,1.59,1.67,1.71,0,2397780,5776804,70.67,103724,2918200,5117312,62.60,3086400,2503716,48972,lo,163.00,163.00,2292.30,2292.30,0.00,0.00,0.00,0.00,0.00,80.80,13599.20,0.00,8765.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.60,3303.80
03:04:11,63.95,0.00,2.72,0.00,0.00,33.33,3.80,0.00,163.20,42.95,0.00,0.21,0.21,0.08,7.20,0.00,7.20,0.00,361.60,1,791,1.70,1.69,1.72,0,2260736,5913848,72.34,103732,2921068,5318256,65.06,3221832,2506312,51816,lo,113.20,113.20,1142.11,1142.11,0.00,0.00,0.00,0.00,0.00,178.40,14911.40,0.00,15565.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.60,3044.80
03:04:16,55.30,0.00,2.90,0.20,0.00,41.60,15.80,0.00,398.40,25.22,0.01,0.46,0.46,0.72,31.80,0.00,31.80,0.00,7180.80,0,737,1.57,1.66,1.71,0,2393168,5781416,70.72,103736,2926100,5123324,62.67,3084816,2510972,56316,lo,197.40,197.40,2335.26,2335.26,0.00,0.00,0.00,0.00,0.00,3589.60,1501.80,0.00,8644.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.40,3605.00
03:04:21,5.02,0.00,0.60,0.10,0.00,94.28,21.00,0.00,7080.00,337.14,0.04,2.13,0.23,0.48,8.20,0.00,8.20,0.00,7056.00,0,699,1.44,1.64,1.70,0,2391952,5782632,70.74,103740,2925824,5123324,62.67,3086812,2510748,55980,lo,179.40,179.40,3488.61,3488.61,0.00,0.00,0.00,0.00,0.00,3533.60,8539.40,0.00,20341.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.80,1129.80
03:04:26,54.77,0.00,3.52,0.00,0.00,41.71,12.80,0.00,7158.40,559.25,0.05,3.81,0.50,0.64,18.00,0.00,18.00,0.00,1339.20,0,786,1.41,1.62,1.70,0,2435876,5738708,70.20,103752,2926040,4999136,61.15,3042112,2512392,56168,lo,174.20,174.20,3602.38,3602.38,0.00,0.00,0.00,0.00,0.00,664.80,17363.60,0.00,1057.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.80,2867.60
03:04:31,67.07,0.00,2.42,0.10,0.00,30.41,24.40,0.00,1328.00,54.43,0.02,0.75,0.26,0.64,14.60,0.00,14.60,0.00,2161.60,0,741,1.53,1.65,1.70,0,2362452,5812132,71.10,103764,2946220,5127500,62.72,3095216,2530196,73588,lo,470.00,470.00,9536.42,9536.42,0.00,0.00,0.00,0.00,0.00,1086.40,4237.60,0.00,28775.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.20,4044.80
03:04:36,3.60,0.00,0.50,0.10,0.00,95.80,7.00,0.00,2104.00,300.57,0.01,0.91,0.34,0.24,4.80,0.00,4.80,0.00,115.20,0,695,1.41,1.62,1.70,0,2767980,5406604,66.14,103776,2908668,4668708,57.11,2727780,2494720,38700,lo,29.20,29.20,5.87,5.87,0.00,0.00,0.00,0.00,0.00,62.40,4272.60,0.00,20857.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.60,1209.20
03:04:41,37.27,0.00,3.21,0.00,0.00,59.52,6.00,1.60,228.80,38.40,0.00,0.40,0.40,0.24,5.80,0.20,5.60,1.60,225.60,1,686,1.30,1.59,1.69,0,3016124,5158460,63.10,103788,2883784,4328840,52.95,2501896,2476128,21492,lo,24.60,24.60,17.61,17.61,0.00,0.00,0.00,0.00,0.80,102.40,31953.60,0.00,17395.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.20,2757.60
