timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
17:27:12,56.86,0.00,2.76,1.61,0.00,38.77,189.80,0.00,6931.20,36.52,0.12,0.64,0.42,7.92,190.60,0.00,190.60,0.00,6936.00,3,760,1.98,1.95,1.37,0,3498608,4675712,57.20,73296,2008728,4694724,57.43,3116784,1384368,63468,lo,32.40,32.40,91.88,91.88,0.00,0.00,0.00,0.00,0.00,3465.60,18265.40,0.00,23714.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.80,4567.00
17:27:17,37.68,0.00,2.72,0.15,0.00,59.46,18.40,33.60,1188.80,66.43,0.02,0.87,0.65,1.20,18.40,1.80,16.60,33.60,1188.80,2,780,1.90,1.94,1.37,0,3513476,4660844,57.02,73316,1982388,4731116,57.88,3142620,1357416,39772,lo,355.60,355.60,6980.92,6980.92,0.00,0.00,0.00,0.00,16.80,594.40,17845.00,0.00,20773.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.60,3691.80
17:27:22,41.22,0.00,1.81,0.00,0.00,56.97,3.20,0.00,196.80,61.50,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,196.80,3,864,1.91,1.94,1.37,0,3016588,5157732,63.10,73328,1983004,5283164,64.63,3637812,1355772,40524,lo,56.60,56.60,65.11,65.11,0.00,0.00,0.00,0.00,0.00,98.40,26541.40,0.00,1774.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.80,4229.40
17:27:27,37.45,0.00,1.86,0.05,0.00,60.64,4.40,0.00,182.40,41.45,0.00,0.73,0.73,0.32,4.40,0.00,4.40,0.00,182.40,4,857,1.75,1.91,1.36,0,3199124,4975196,60.86,73340,1982952,5209668,63.73,3456892,1355188,40352,lo,69.60,69.60,32.92,32.92,0.00,0.00,0.00,0.00,0.00,91.20,23685.40,0.00,32510.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.80,4324.00
17:27:32,46.22,0.00,2.32,0.00,0.00,51.46,4.00,0.00,155.20,38.80,0.00,0.20,0.20,0.08,4.00,0.00,4.00,0.00,155.20,4,860,1.61,1.87,1.36,0,3183048,4991272,61.06,73356,1983108,5299948,64.84,3472388,1355232,40484,lo,77.00,77.00,40.92,40.92,0.00,0.00,0.00,0.00,0.00,77.60,33347.00,0.00,32307.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.40,3512.00
17:27:37,46.20,0.00,2.25,0.05,0.00,51.50,5.60,0.00,348.80,62.29,0.00,0.00,0.00,0.00,5.60,0.00,5.60,0.00,348.80,7,859,1.48,1.84,1.35,0,3182680,4991640,61.06,73368,1983264,5298112,64.81,3472604,1355256,40140,lo,75.40,75.40,40.04,40.04,0.00,0.00,0.00,0.00,0.00,174.40,32566.20,0.00,32304.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.40,3977.00
17:27:42,37.21,0.00,2.05,0.00,0.00,60.74,4.20,0.00,518.40,123.43,0.00,0.19,0.19,0.08,4.20,0.00,4.20,0.00,518.40,0,836,1.69,1.88,1.36,0,3275284,4899036,59.93,73380,1983304,5080132,62.15,3379448,1355192,39256,lo,69.00,69.00,34.90,34.90,0.00,0.00,0.00,0.00,0.00,259.20,27600.40,0.00,32292.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.40,5537.20
17:27:47,53.93,0.00,2.49,0.00,0.00,43.58,24.00,0.00,8372.80,348.87,0.09,3.57,0.10,0.24,24.00,0.00,24.00,0.00,8372.80,2,858,1.79,1.90,1.37,0,3185100,4989220,61.04,73392,1983604,5293572,64.76,3470060,1355252,18972,lo,93.40,93.40,37.13,37.13,0.00,0.00,0.00,0.00,0.00,4186.40,32546.60,0.00,27498.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.60,5397.20
17:27:52,56.29,0.00,3.07,0.00,0.00,40.63,11.20,0.00,7292.80,651.14,0.03,2.79,0.29,0.32,11.20,0.00,11.20,0.00,7292.80,4,869,1.97,1.93,1.39,0,3110020,5064300,61.95,73412,1984040,5295512,64.78,3544924,1355516,1664,lo,110.40,110.40,27.37,27.37,0.00,0.00,0.00,0.00,0.00,3646.40,26138.20,0.00,21973.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.00,5506.20
17:27:57,56.43,0.00,3.00,0.00,0.00,40.56,8.60,0.00,292.80,34.05,0.00,0.37,0.37,0.32,8.60,0.00,8.60,0.00,292.80,3,859,2.13,1.97,1.40,0,3183616,4990704,61.05,73424,1984008,5299796,64.83,3472304,1355332,1436,lo,106.80,106.80,31.36,31.36,0.00,0.00,0.00,0.00,0.00,146.40,29952.00,0.00,33378.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.80,3255.80
17:28:02,37.46,0.00,2.00,0.15,0.00,60.39,13.40,0.00,200.00,14.93,0.00,0.30,0.30,0.40,13.40,0.00,13.40,0.00,200.00,0,780,1.96,1.94,1.39,0,3279280,4895040,59.88,73444,1984496,5065392,61.97,3374504,1355640,1848,lo,128.60,128.60,176.38,176.38,0.00,0.00,0.00,0.00,0.00,100.00,17024.40,0.00,22007.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.40,2494.40
17:28:07,2.75,0.00,0.30,0.10,0.00,96.85,17.00,0.00,185.60,10.92,0.00,0.28,0.28,0.48,17.00,0.00,17.00,0.00,185.60,0,770,1.80,1.90,1.39,0,3281084,4893236,59.86,73452,1984136,5065392,61.97,3374592,1355380,19080,lo,208.40,208.40,3491.39,3491.39,0.00,0.00,0.00,0.00,0.00,92.80,147.80,0.00,1912.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.00,3316.40
17:28:12,36.91,0.00,1.86,0.05,0.00,61.18,5.20,0.00,190.40,36.62,0.00,0.31,0.31,0.16,5.20,0.00,5.20,0.00,190.40,0,840,1.74,1.89,1.38,0,3304968,4869352,59.57,73496,1984256,4968352,60.78,3347836,1358776,37240,lo,187.20,187.20,3708.27,3708.27,0.00,0.00,0.00,0.00,0.00,95.20,19552.80,0.00,21616.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.40,4837.00
17:28:17,42.35,0.00,2.46,0.00,0.00,55.19,2.80,0.00,158.40,56.57,0.00,0.57,0.57,0.16,2.80,0.00,2.80,0.00,158.40,2,861,1.68,1.87,1.38,0,3254224,4920096,60.19,73512,1984472,5162636,63.16,3398280,1357608,37360,lo,87.40,87.40,27.30,27.30,0.00,0.00,0.00,0.00,0.00,79.20,32289.80,0.00,29334.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.00,4858.20
17:28:22,50.35,0.00,3.02,0.00,0.00,46.63,11.80,0.00,240.00,20.34,0.00,0.07,0.07,0.08,11.80,0.00,11.80,0.00,240.00,4,863,1.71,1.88,1.38,0,3127484,5046836,61.74,73524,1984692,5318396,65.06,3525460,1357668,37280,lo,83.40,83.40,22.64,22.64,0.00,0.00,0.00,0.00,0.00,120.00,35502.20,0.00,28912.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.00,4343.20
17:28:27,44.59,0.00,2.97,0.05,0.00,52.39,3.60,0.00,160.00,44.44,0.00,0.44,0.44,0.16,3.60,0.00,3.60,0.00,160.00,1,857,1.65,1.86,1.38,0,3243528,4930792,60.32,73536,1984804,5266300,64.42,3409348,1357668,37288,lo,101.60,101.60,29.12,29.12,0.00,0.00,0.00,0.00,0.00,80.00,36825.40,0.00,42131.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.40,3605.60
17:28:32,40.38,0.00,1.80,0.05,0.00,57.77,14.40,0.00,352.00,24.44,0.00,0.22,0.22,0.32,14.40,0.00,14.40,0.00,352.00,0,783,1.60,1.85,1.38,0,3261444,4912876,60.10,73548,1985292,5090780,62.28,3390308,1357808,37348,lo,114.40,114.40,148.09,148.09,0.00,0.00,0.00,0.00,0.00,176.00,22252.00,0.00,23414.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,1999.20
17:28:37,1.25,0.00,0.25,0.05,0.00,98.45,4.00,0.00,84.80,21.20,0.00,0.40,0.40,0.16,4.00,0.00,4.00,0.00,84.80,0,743,1.47,1.82,1.37,0,3659084,4515236,55.24,73560,1967208,4633928,56.69,3010952,1340976,19716,lo,20.60,20.60,5.10,5.10,0.00,0.00,0.00,0.00,0.00,42.40,533.40,0.00,20210.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.40,4827.20
17:28:42,38.81,0.00,2.30,0.05,0.00,58.84,8.40,0.00,614.40,73.14,0.02,1.81,0.48,0.40,8.40,0.00,8.40,0.00,614.40,2,737,1.75,1.87,1.39,0,3931716,4242604,51.90,73572,1946184,4290492,52.49,2759316,1324836,1476,lo,26.40,26.40,86.74,86.74,0.00,0.00,0.00,0.00,0.00,307.20,28150.60,0.00,40106.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.40,4203.80
