timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
01:26:29,38.30,0.00,1.55,0.10,0.00,60.05,24.00,0.00,817.60,34.07,0.02,0.63,0.40,0.96,22.40,0.00,22.40,0.00,544.00,0,776,1.41,1.90,1.90,0,7863712,8568144,52.14,181828,5364380,5691540,34.64,3449348,4831600,1676,lo,142.00,142.00,410.12,410.12,0.00,0.00,0.00,0.00,0.00,403.20,13906.00,0.00,15873.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.00,4712.00
01:26:34,39.07,0.00,2.65,0.15,0.00,58.13,25.40,0.00,390.40,15.37,0.01,0.28,0.28,0.72,25.60,0.00,25.60,0.00,392.00,1,741,1.38,1.88,1.90,0,8127712,8304144,50.54,181848,5353336,5329064,32.43,3195296,4821336,2980,lo,63.60,63.60,95.83,95.83,0.00,0.00,0.00,0.00,0.00,196.00,30211.20,0.00,52880.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.20,4053.00
01:26:39,35.89,0.00,1.56,0.00,0.00,62.55,3.60,0.00,192.00,53.33,0.00,0.67,0.67,0.24,3.40,0.00,3.40,0.00,190.40,0,832,1.67,1.93,1.91,0,7709460,8722396,53.08,181852,5353852,5936680,36.13,3610504,4821712,3264,lo,75.20,75.20,159.80,159.80,0.00,0.00,0.00,0.00,0.00,100.00,22011.60,0.00,2576.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.20,3629.40
01:26:44,40.95,0.00,2.21,0.00,0.00,56.83,2.40,0.00,136.00,56.67,0.00,0.33,0.33,0.08,2.40,0.00,2.40,0.00,136.00,3,855,1.77,1.95,1.92,0,7533384,8898472,54.15,181868,5354868,5989752,36.45,3785328,4821856,4268,lo,79.20,79.20,108.10,108.10,0.00,0.00,0.00,0.00,0.00,68.80,31187.00,0.00,26768.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.40,4759.20
01:26:49,46.25,0.00,2.05,0.05,0.00,51.65,4.20,0.00,161.60,38.48,0.00,0.57,0.57,0.24,4.20,0.00,4.20,0.00,161.60,3,864,1.63,1.92,1.91,0,7703392,8728464,53.12,181880,5355340,5939232,36.14,3615932,4821752,4664,lo,86.60,86.60,150.84,150.84,0.00,0.00,0.00,0.00,0.00,73.60,35153.60,0.00,27078.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.60,4534.40
01:26:54,41.30,0.00,2.25,0.05,0.00,56.40,2.20,0.00,136.00,61.82,0.01,3.27,2.18,0.48,2.20,0.00,2.20,0.00,136.00,3,851,1.82,1.95,1.92,0,7552524,8879332,54.04,181892,5356340,5987072,36.44,3765972,4821892,5732,lo,81.40,81.40,103.64,103.64,0.00,0.00,0.00,0.00,0.00,75.20,30037.20,0.00,38329.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.20,4427.60
01:26:59,44.20,0.00,2.21,0.00,0.00,53.59,5.20,0.00,236.80,45.54,0.01,1.23,0.62,0.32,5.20,0.00,5.20,0.00,236.80,3,859,1.67,1.92,1.91,0,7697856,8734000,53.15,181896,5356992,5954032,36.23,3621088,4822592,6152,lo,83.80,83.80,118.79,118.79,0.00,0.00,0.00,0.00,0.00,108.00,29451.80,0.00,25260.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,5023.40
01:27:04,43.57,0.00,1.66,0.00,0.00,54.77,10.00,0.00,465.60,46.56,0.01,1.20,0.32,0.32,10.00,0.00,10.00,0.00,465.60,0,862,1.86,1.96,1.92,0,7696356,8735500,53.16,181896,5358336,5944256,36.18,3621200,4824292,6708,lo,107.00,107.00,489.43,489.43,0.00,0.00,0.00,0.00,0.00,235.20,16541.20,0.00,16105.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.20,4494.20
01:27:09,43.38,0.00,2.07,0.05,0.00,54.51,35.80,0.00,1497.60,41.83,0.03,0.87,0.16,0.56,36.60,0.00,36.60,0.00,1500.80,3,852,1.87,1.96,1.92,0,7630224,8801632,53.56,181908,5360072,5920980,36.03,3684352,4826284,5140,lo,109.00,109.00,368.24,368.24,0.00,0.00,0.00,0.00,0.00,704.80,20313.60,0.00,23471.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,5325.00
01:27:14,51.03,0.00,1.81,0.00,0.00,47.16,29.60,44.80,550.40,20.11,0.02,0.57,0.38,1.12,28.80,5.60,23.20,44.80,547.20,1,860,1.72,1.93,1.91,0,7770408,8661448,52.71,182032,5361888,5690756,34.63,3540660,4828668,6160,lo,115.00,115.00,420.52,420.52,0.00,0.00,0.00,0.00,22.40,244.00,20052.40,0.00,15995.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.00,5109.60
