timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
19:43:29,25.11,0.00,1.30,0.15,0.00,73.44,23.20,0.00,1008.00,43.45,0.01,0.31,0.31,0.72,23.20,0.00,23.20,0.00,1088.00,2,752,1.92,1.60,0.86,2,12362236,4069620,24.77,42180,1274440,5595964,34.06,3150304,761412,4448,lo,141.40,141.40,444.06,444.06,0.00,0.00,0.00,0.00,0.00,491.20,9335.80,0.00,15832.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.20,3625.00
19:43:34,37.86,0.00,2.36,0.00,0.00,59.78,4.80,0.00,195.20,40.67,0.00,0.17,0.17,0.08,4.80,0.00,4.80,0.00,115.20,6,728,2.01,1.62,0.87,0,12769260,3662596,22.29,42192,1270560,5557612,33.82,2748500,757892,2140,lo,122.00,122.00,643.35,643.35,0.00,0.00,0.00,0.00,0.00,116.00,26845.20,0.00,45167.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.40,4517.80
19:43:39,43.51,0.00,1.66,0.05,0.00,54.78,15.80,0.00,227.20,14.38,0.00,0.30,0.30,0.48,15.80,0.00,15.80,0.00,227.20,0,812,2.17,1.66,0.89,0,12381292,4050564,24.65,42204,1267848,5554252,33.80,3138720,755376,3424,lo,123.40,123.40,252.43,252.43,0.00,0.00,0.00,0.00,0.00,122.40,24650.20,0.00,6093.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.40,3563.20
19:43:44,37.54,0.00,2.06,0.00,0.00,60.40,14.40,0.00,454.40,31.56,0.00,0.28,0.28,0.40,14.40,0.00,14.40,0.00,454.40,2,836,2.23,1.68,0.90,0,12341064,4090792,24.90,42216,1268792,5825380,35.45,3177920,755428,3868,lo,80.00,80.00,173.71,173.71,0.00,0.00,0.00,0.00,0.00,160.00,29776.40,0.00,27429.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.60,5034.60
19:43:49,42.43,0.00,2.32,0.00,0.00,55.26,3.60,0.00,140.80,39.11,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,140.80,2,838,2.13,1.67,0.90,0,12245624,4186232,25.48,42228,1269748,5808200,35.35,3273340,755472,4880,lo,80.40,80.40,170.82,170.82,0.00,0.00,0.00,0.00,0.00,70.40,30326.80,0.00,25333.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.00,4421.80
19:43:54,37.09,0.00,2.50,0.00,0.00,60.41,1.40,0.00,44.80,32.00,0.00,0.57,0.57,0.08,1.40,0.00,1.40,0.00,44.80,4,829,1.96,1.64,0.90,0,12337432,4094424,24.92,42240,1271008,5836696,35.52,3181988,755448,6232,lo,95.80,95.80,252.92,252.92,0.00,0.00,0.00,0.00,0.00,57.60,33719.00,0.00,37976.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.80,4786.80
19:43:59,44.88,0.00,2.11,0.00,0.00,53.01,5.40,0.00,387.20,71.70,0.00,0.15,0.15,0.08,5.40,0.00,5.40,0.00,387.20,1,835,1.97,1.65,0.90,0,12239320,4192536,25.51,42252,1271964,5817844,35.41,3278924,756252,6752,lo,84.00,84.00,252.94,252.94,0.00,0.00,0.00,0.00,0.00,158.40,25802.40,0.00,20728.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.00,4937.80
19:44:04,41.64,0.00,2.27,0.10,0.00,55.99,13.20,0.00,702.40,53.21,0.01,0.91,0.36,0.48,13.20,0.00,13.20,0.00,702.40,4,829,2.05,1.67,0.91,0,12332260,4099596,24.95,42264,1273368,5831816,35.49,3184208,758688,6628,lo,128.40,128.40,502.16,502.16,0.00,0.00,0.00,0.00,0.00,396.00,18982.00,0.00,23421.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.60,5150.60
19:44:09,47.53,0.00,1.97,0.00,0.00,50.50,21.80,0.00,1137.60,52.18,0.00,0.00,0.00,0.00,21.60,0.00,21.60,0.00,1137.60,1,836,2.05,1.68,0.92,0,12220652,4211204,25.63,42276,1274172,5804360,35.32,3293736,760152,5352,lo,103.80,103.80,336.87,336.87,0.00,0.00,0.00,0.00,0.00,524.00,21387.60,0.00,15685.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.60,5084.60
19:44:14,30.37,0.00,1.61,0.10,0.00,67.92,25.20,8.00,924.80,37.02,0.02,0.63,0.44,1.12,25.40,1.00,24.40,8.00,924.80,2,749,2.12,1.70,0.93,0,12509812,3922044,23.87,42304,1274264,5518116,33.58,3007000,760932,4520,lo,144.80,144.80,446.49,446.49,0.00,0.00,0.00,0.00,4.00,518.40,16386.60,0.00,30148.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.80,4213.00
