timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
22:25:00,26.91,0.00,1.57,0.30,0.00,71.21,42.60,0.00,884.80,20.77,0.02,0.54,0.43,1.84,69.80,0.00,69.80,0.00,1449.60,1,858,2.27,2.96,2.87,0,46717300,19259220,29.19,158260,15069648,9369320,14.20,5020764,13578748,63808,lo,16.40,16.40,1.96,1.96,0.00,0.00,0.00,0.00,0.00,1636.00,19595.00,0.00,1156.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.60,5263.80
22:25:05,17.78,0.00,1.23,0.08,0.00,80.92,29.00,0.00,1464.00,50.48,0.02,0.55,0.30,0.88,29.00,0.00,29.00,0.00,1464.00,3,872,2.25,2.94,2.87,0,46827776,19148744,29.02,158268,15071300,9928904,15.05,4936388,13562180,67548,lo,524.00,524.00,10000.72,10000.72,0.00,0.00,0.00,0.00,0.00,732.00,13607.60,0.00,23956.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.40,5811.40
22:25:10,24.51,0.00,0.95,0.00,0.00,74.54,2.20,0.00,136.00,61.82,0.00,0.36,0.36,0.08,2.20,0.00,2.20,0.00,136.00,4,962,2.31,2.94,2.87,0,46374160,19602360,29.71,158272,15071676,10324684,15.65,5389304,13562264,68108,lo,52.00,52.00,54.22,54.22,0.00,0.00,0.00,0.00,0.00,68.00,24774.40,0.00,1872.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.00,4409.20
22:25:15,76.37,0.00,0.45,0.00,0.00,23.18,0.60,0.00,83.20,138.67,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,83.20,7,956,2.77,3.03,2.90,0,46134628,19841892,30.07,158276,15071948,10454416,15.85,5635600,13554504,68404,lo,131.20,131.20,3149.96,3149.96,0.00,0.00,0.00,0.00,0.00,41.60,13296.00,0.00,1269.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5765.80
22:25:20,78.66,0.00,0.58,0.03,0.00,20.74,51.40,0.00,27457.60,534.19,0.34,6.52,0.11,0.56,51.40,0.00,51.40,0.00,27457.60,8,951,3.19,3.11,2.93,0,46132108,19844412,30.08,158280,15071956,10454416,15.85,5638644,13554504,388,lo,76.20,76.20,1656.67,1656.67,0.00,0.00,0.00,0.00,0.00,13728.80,202.60,0.00,73.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4155.80
22:25:25,52.68,0.00,0.85,0.00,0.00,46.47,1.60,0.00,99.20,62.00,0.00,0.50,0.50,0.08,1.60,0.00,1.60,0.00,99.20,1,958,3.25,3.12,2.93,0,46127680,19848840,30.08,158292,15072200,10433624,15.81,5643764,13554540,1180,lo,97.20,97.20,1575.90,1575.90,0.00,0.00,0.00,0.00,0.00,49.60,20198.20,0.00,19624.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.80,5591.20
22:25:30,77.55,0.00,0.30,0.00,0.00,22.15,0.40,0.00,12.80,32.00,0.00,2.00,2.00,0.08,0.40,0.00,0.40,0.00,12.80,1,958,3.07,3.09,2.92,0,46137584,19838936,30.07,158300,15072200,10433624,15.81,5632664,13554536,1184,lo,96.60,96.60,2447.20,2447.20,0.00,0.00,0.00,0.00,0.00,6.40,235.80,0.00,826.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4133.80
22:25:35,57.04,0.00,0.63,0.00,0.00,42.33,0.80,0.00,28.80,36.00,0.00,1.00,1.00,0.08,0.80,0.00,0.80,0.00,28.80,4,952,2.90,3.05,2.91,0,46469400,19507120,29.57,158304,15072068,10339068,15.67,5299476,13554272,1060,lo,58.40,58.40,794.20,794.20,0.00,0.00,0.00,0.00,0.00,14.40,2114.00,0.00,18650.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.80,4769.20
22:25:40,68.44,0.00,0.65,0.00,0.00,30.91,0.40,0.00,78.40,196.00,0.00,2.00,2.00,0.08,0.40,0.00,0.40,0.00,78.40,8,960,3.31,3.14,2.94,0,46135608,19840912,30.07,158312,15072436,10449240,15.84,5635456,13554544,1456,lo,121.80,121.80,2750.16,2750.16,0.00,0.00,0.00,0.00,0.00,39.20,17891.60,0.00,964.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.40,4847.40
22:25:45,77.56,0.00,0.48,0.00,0.00,21.97,0.40,0.00,16.00,40.00,0.00,2.00,2.00,0.08,0.40,0.00,0.40,0.00,16.00,1,960,3.13,3.10,2.93,0,46134404,19842116,30.07,158312,15072452,10449240,15.84,5636168,13554552,1472,lo,84.60,84.60,2049.66,2049.66,0.00,0.00,0.00,0.00,0.00,8.00,145.80,0.00,108.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3957.00
